time,births,population,reported_cases
44.01923,39,42748,0
44.0608967,38,42645,0
44.1025633,38,42555,0
44.14423,37,42479,3
44.1858967,36,42414,0
44.2275633,36,42361,0
44.26923,35,42320,0
44.3108967,35,42288,0
44.3525633,35,42267,0
44.39423,34,42256,0
44.4358967,34,42253,1
44.4775633,34,42259,2
44.51923,34,42272,0
44.5608967,33,42293,0
44.6025633,33,42321,0
44.64423,33,42355,1
44.6858967,33,42395,1
44.7275633,33,42439,0
44.76923,33,42489,0
44.8108967,33,42542,0
44.8525633,33,42599,0
44.89423,33,42659,0
44.9358967,33,42721,12
44.9775633,33,42785,0
45.01923,33,42850,2
45.0608967,33,42917,4
45.1025633,33,42983,7
45.14423,33,43051,27
45.1858967,33,43118,46
45.2275633,33,43185,61
45.26923,33,43252,48
45.3108967,33,43318,45
45.3525633,34,43383,29
45.39423,34,43447,21
45.4358967,34,43509,15
45.4775633,34,43570,7
45.51923,34,43629,0
45.5608967,34,43685,0
45.6025633,34,43738,0
45.64423,34,43789,0
45.6858967,35,43837,1
45.7275633,35,43881,0
45.76923,35,43922,0
45.8108967,35,43959,0
45.8525633,35,43992,0
45.89423,35,44020,0
45.9358967,35,44044,0
45.9775633,35,44062,0
46.01923,35,44076,0
46.0608967,35,44084,0
46.1025633,35,44087,0
46.14423,35,44087,2
46.1858967,35,44082,0
46.2275633,35,44075,0
46.26923,35,44064,0
46.3108967,35,44051,0
46.3525633,35,44036,1
46.39423,35,44020,0
46.4358967,35,44003,0
46.4775633,35,43986,0
46.51923,35,43968,0
46.5608967,35,43951,0
46.6025633,35,43935,0
46.64423,35,43920,1
46.6858967,35,43908,2
46.7275633,35,43897,1
46.76923,35,43890,0
46.8108967,35,43885,0
46.8525633,35,43885,0
46.89423,35,43888,1
46.9358967,35,43897,0
46.9775633,35,43910,9
47.01923,35,43930,15
47.0608967,35,43954,6
47.1025633,35,43985,30
47.14423,35,44019,39
47.1858967,35,44059,17
47.2275633,35,44102,7
47.26923,35,44149,15
47.3108967,35,44199,4
47.3525633,35,44252,2
47.39423,35,44306,13
47.4358967,35,44363,25
47.4775633,35,44421,35
47.51923,35,44480,13
47.5608967,35,44540,18
47.6025633,35,44599,2
47.64423,35,44659,2
47.6858967,35,44717,2
47.7275633,35,44775,3
47.76923,35,44830,0
47.8108967,35,44884,0
47.8525633,35,44935,2
47.89423,35,44984,1
47.9358967,35,45028,3
47.9775633,35,45070,0
48.01923,35,45106,2
48.0608967,35,45139,2
48.1025633,34,45168,0
48.14423,34,45193,2
48.1858967,34,45214,0
48.2275633,34,45232,0
48.26923,34,45248,0
48.3108967,33,45261,0
48.3525633,33,45271,1
48.39423,33,45280,4
48.4358967,33,45287,1
48.4775633,33,45292,4
48.51923,32,45296,4
48.5608967,32,45300,5
48.6025633,32,45303,4
48.64423,32,45306,2
48.6858967,31,45308,4
48.7275633,31,45311,4
48.76923,31,45315,0
48.8108967,31,45320,49
48.8525633,31,45326,42
48.89423,30,45333,23
48.9358967,30,45342,23
48.9775633,30,45353,27
49.01923,30,45367,24
49.0608967,30,45382,42
49.1025633,30,45400,83
49.14423,30,45420,111
49.1858967,30,45442,70
49.2275633,30,45465,20
49.26923,29,45489,4
49.3108967,29,45514,4
49.3525633,29,45539,4
49.39423,29,45565,3
49.4358967,29,45591,7
49.4775633,29,45617,5
49.51923,29,45642,0
49.5608967,29,45667,0
49.6025633,29,45690,0
49.64423,29,45713,2
49.6858967,30,45734,1
49.7275633,30,45753,0
49.76923,30,45771,0
49.8108967,30,45786,0
49.8525633,30,45799,0
49.89423,30,45809,1
49.9358967,30,45816,0
49.9775633,30,45819,0
50.01923,30,45820,0
50.0608967,30,45816,2
50.1025633,30,45810,4
50.14423,30,45801,8
50.1858967,30,45789,2
50.2275633,30,45775,0
50.26923,30,45758,2
50.3108967,30,45740,0
50.3525633,30,45721,0
50.39423,30,45701,0
50.4358967,30,45679,4
50.4775633,30,45657,8
50.51923,30,45635,7
50.5608967,30,45613,25
50.6025633,30,45592,22
50.64423,30,45571,15
50.6858967,30,45550,3
50.7275633,29,45532,2
50.76923,29,45514,4
50.8108967,29,45499,2
50.8525633,29,45486,0
50.89423,29,45475,1
50.9358967,29,45467,1
50.9775633,29,45461,1
51.01923,29,45460,2
51.0608967,29,45461,6
51.1025633,29,45466,1
51.14423,29,45474,3
51.1858967,29,45484,9
51.2275633,29,45497,1
51.26923,29,45512,4
51.3108967,29,45529,26
51.3525633,29,45548,111
51.39423,29,45569,89
51.4358967,29,45591,126
51.4775633,29,45614,101
51.51923,29,45638,72
51.5608967,29,45662,52
51.6025633,29,45688,55
51.64423,29,45713,44
51.6858967,29,45739,19
51.7275633,29,45764,1
51.76923,29,45789,2
51.8108967,29,45813,0
51.8525633,29,45837,0
51.89423,29,45859,0
51.9358967,29,45881,0
51.9775633,29,45900,0
52.01923,29,45918,0
52.0608967,29,45934,0
52.1025633,29,45949,1
52.14423,29,45962,2
52.1858967,30,45974,4
52.2275633,30,45985,2
52.26923,30,45995,3
52.3108967,30,46004,12
52.3525633,30,46013,7
52.39423,30,46022,0
52.43589670000001,30,46030,8
52.47756329999999,30,46039,14
52.51923000000001,31,46048,25
52.56089670000001,31,46057,6
52.60256329999999,31,46067,9
52.64423000000001,31,46078,10
52.68589670000001,31,46090,4
52.72756329999999,31,46103,1
52.76923000000001,31,46117,0
52.81089670000001,31,46133,6
52.85256329999999,32,46151,5
52.89423000000001,32,46170,9
52.93589670000001,32,46192,25
52.97756329999999,32,46216,66
53.01923000000001,32,46243,70
53.06089670000001,32,46272,79
53.10256329999999,32,46303,72
53.14423000000001,32,46336,67
53.18589670000001,32,46371,115
53.22756329999999,32,46407,71
53.26923000000001,32,46444,61
53.31089670000001,32,46483,41
