time,births,population,reported_cases
44.01923,9,12849,0
44.0608967,9,12829,0
44.1025633,9,12812,0
44.14423,9,12799,0
44.1858967,9,12789,0
44.2275633,9,12781,0
44.26923,9,12777,2
44.3108967,9,12776,1
44.3525633,9,12777,1
44.39423,9,12780,0
44.4358967,9,12786,0
44.4775633,9,12793,0
44.51923,9,12803,0
44.5608967,9,12815,0
44.6025633,9,12828,0
44.64423,9,12843,0
44.6858967,9,12859,12
44.7275633,9,12877,5
44.76923,9,12895,2
44.8108967,9,12915,1
44.8525633,9,12935,11
44.89423,8,12956,11
44.9358967,8,12977,9
44.9775633,8,12998,9
45.01923,8,13020,7
45.0608967,8,13042,12
45.1025633,8,13063,24
45.14423,8,13085,30
45.1858967,8,13106,25
45.2275633,8,13128,22
45.26923,8,13148,24
45.3108967,8,13169,14
45.3525633,8,13189,10
45.39423,8,13208,9
45.4358967,8,13227,2
45.4775633,8,13245,0
45.51923,8,13262,0
45.5608967,8,13278,1
45.6025633,8,13294,0
45.64423,8,13308,0
45.6858967,8,13322,0
45.7275633,8,13334,0
45.76923,8,13345,0
45.8108967,8,13354,0
45.8525633,8,13363,0
45.89423,8,13370,0
45.9358967,9,13375,0
45.9775633,9,13379,0
46.01923,9,13381,0
46.0608967,9,13381,0
46.1025633,9,13380,0
46.14423,9,13378,0
46.1858967,9,13374,0
46.2275633,10,13369,0
46.26923,10,13363,0
46.3108967,10,13356,0
46.3525633,10,13349,0
46.39423,10,13340,0
46.4358967,11,13332,0
46.4775633,11,13323,0
46.51923,11,13313,0
46.5608967,11,13304,0
46.6025633,11,13295,1
46.64423,11,13285,0
46.6858967,12,13276,0
46.7275633,12,13268,0
46.76923,12,13260,0
46.8108967,12,13252,0
46.8525633,12,13245,0
46.89423,12,13240,0
46.9358967,12,13235,0
46.9775633,12,13231,0
47.01923,12,13229,0
47.0608967,12,13228,0
47.1025633,12,13228,8
47.14423,12,13230,4
47.1858967,12,13232,4
47.2275633,12,13235,2
47.26923,12,13240,0
47.3108967,12,13244,2
47.3525633,12,13250,4
47.39423,11,13256,0
47.4358967,11,13262,3
47.4775633,11,13269,3
47.51923,11,13276,3
47.5608967,11,13283,12
47.6025633,11,13290,14
47.64423,11,13297,2
47.6858967,11,13304,0
47.7275633,10,13311,0
47.76923,10,13317,0
47.8108967,10,13323,2
47.8525633,10,13328,0
47.89423,10,13332,0
47.9358967,10,13336,0
47.9775633,10,13339,2
48.01923,10,13341,2
48.0608967,10,13342,0
48.1025633,10,13342,1
48.14423,9,13341,1
48.1858967,9,13340,3
48.2275633,9,13339,3
48.26923,9,13337,0
48.3108967,9,13335,0
48.3525633,9,13333,0
48.39423,9,13331,0
48.4358967,9,13329,0
48.4775633,10,13328,0
48.51923,10,13327,2
48.5608967,10,13327,0
48.6025633,10,13328,3
48.64423,10,13329,4
48.6858967,10,13332,6
48.7275633,10,13336,42
48.76923,10,13341,83
48.8108967,10,13348,119
48.8525633,10,13356,35
48.89423,10,13366,18
48.9358967,10,13378,1
48.9775633,10,13392,0
49.01923,10,13408,0
49.0608967,10,13426,0
49.1025633,10,13446,4
49.14423,10,13467,3
49.1858967,10,13490,12
49.2275633,9,13514,68
49.26923,9,13538,18
49.3108967,9,13564,4
49.3525633,9,13590,1
49.39423,9,13615,0
49.4358967,9,13641,0
49.4775633,9,13666,0
49.51923,9,13691,0
49.5608967,9,13715,0
49.6025633,9,13738,0
49.64423,9,13759,0
49.6858967,9,13779,0
49.7275633,9,13796,0
49.76923,8,13812,0
49.8108967,8,13826,0
49.8525633,8,13836,0
49.89423,8,13844,0
49.9358967,8,13849,0
49.9775633,8,13851,0
50.01923,8,13849,0
50.0608967,8,13843,0
50.1025633,8,13834,0
50.14423,8,13822,0
50.1858967,8,13806,0
50.2275633,8,13788,0
50.26923,8,13768,0
50.3108967,8,13745,0
50.3525633,8,13720,0
50.39423,8,13693,0
50.4358967,8,13665,0
50.4775633,8,13635,0
50.51923,8,13604,2
50.5608967,8,13572,0
50.6025633,8,13539,0
50.64423,8,13506,0
50.6858967,8,13472,0
50.7275633,8,13438,2
50.76923,8,13405,0
50.8108967,8,13371,5
50.8525633,8,13338,24
50.89423,8,13306,34
50.9358967,8,13275,34
50.9775633,8,13246,28
51.01923,8,13217,9
51.0608967,8,13190,0
51.1025633,8,13165,3
51.14423,8,13141,1
51.1858967,8,13118,3
51.2275633,8,13097,7
51.26923,8,13078,0
51.3108967,8,13059,0
51.3525633,8,13042,5
51.39423,8,13027,4
51.4358967,8,13012,4
51.4775633,8,12999,20
51.51923,8,12987,0
51.5608967,8,12977,7
51.6025633,8,12967,4
51.64423,8,12959,0
51.6858967,8,12951,7
51.7275633,8,12945,0
51.76923,8,12940,0
51.8108967,8,12936,0
51.8525633,8,12933,0
51.89423,8,12931,0
51.9358967,8,12930,0
51.9775633,8,12930,0
52.01923,8,12930,0
52.0608967,8,12932,0
52.1025633,8,12934,1
52.14423,8,12937,0
52.1858967,8,12941,2
52.2275633,8,12946,0
52.26923,8,12951,0
52.3108967,8,12956,0
52.3525633,8,12962,2
52.39423,8,12969,0
52.43589670000001,8,12975,0
52.47756329999999,8,12982,0
52.51923000000001,8,12989,1
52.56089670000001,8,12997,1
52.60256329999999,8,13004,2
52.64423000000001,8,13012,2
52.68589670000001,8,13019,2
52.72756329999999,8,13027,3
52.76923000000001,8,13034,0
52.81089670000001,8,13041,0
52.85256329999999,8,13048,0
52.89423000000001,8,13055,0
52.93589670000001,8,13061,1
52.97756329999999,8,13067,2
53.01923000000001,8,13072,7
53.06089670000001,8,13077,2
53.10256329999999,8,13082,3
53.14423000000001,8,13086,2
53.18589670000001,8,13089,8
53.22756329999999,8,13093,11
53.26923000000001,8,13095,42
53.31089670000001,8,13098,39
53.35256329999999,8,13100,78
53.39423000000001,8,13101,56
53.43589670000001,8,13103,41
53.47756329999999,8,13104,23
53.51923000000001,8,13105,4
53.56089670000001,8,13105,7
53.60256329999999,8,13106,11
53.64423000000001,8,13106,12
53.68589670000001,8,13106,0
53.72756329999999,8,13105,0
53.76923000000001,8,13105,0
53.81089670000001,8,13104,0
53.85256329999999,8,13103,0
53.89423000000001,8,13103,0
53.93589670000001,8,13102,0
53.97756329999999,8,13101,0
54.01923000000001,8,13100,0
54.06089670000001,8,13098,2
54.10256329999999,8,13097,0
54.14423000000001,8,13096,0
54.18589670000001,8,13095,0
54.22756329999999,8,13094,0
54.26923000000001,8,13093,0
54.31089670000001,8,13091,0
54.35256329999999,8,13090,0
54.39423000000001,8,13089,0
54.43589670000001,8,13088,0
54.47756329999999,8,13087,0
54.51923000000001,8,13086,0
54.56089670000001,8,13085,0
54.60256329999999,8,13084,0
54.64423000000001,8,13083,19
54.68589670000001,8,13083,8
54.72756329999999,8,13082,7
54.76923000000001,8,13081,11
54.81089670000001,8,13081,2
54.85256329999999,8,13080,1
54.89423000000001,8,13080,1
54.93589670000001,8,13080,0
54.97756329999999,8,13080,0
55.01923000000001,8,13080,0
55.06089670000001,8,13080,0
55.10256329999999,8,13081,0
55.14423000000001,8,13081,0
55.18589670000001,8,13082,0
55.22756329999999,8,13083,0
55.26923000000001,8,13083,7
55.31089670000001,8,13084,4
55.35256329999999,8,13085,6
55.39423000000001,8,13086,15
55.43589670000001,8,13087,9
55.47756329999999,7,13088,14
55.51923000000001,7,13089,37
55.56089670000001,7,13090,16
55.60256329999999,7,13091,9
55.64423000000001,7,13092,0
55.68589670000001,7,13094,0
55.72756329999999,7,13095,0
55.76923000000001,7,13096,0
55.81089670000001,7,13097,0
55.85256329999999,7,13097,0
55.89423000000001,7,13098,1
55.93589670000001,7,13099,1
55.97756329999999,7,13100,0
56.01923000000001,7,13100,0
56.06089670000001,7,13101,0
56.10256329999999,7,13101,0
56.14423000000001,8,13101,0
56.18589670000001,8,13102,0
56.22756329999999,8,13102,0
56.26923000000001,8,13102,0
56.31089670000001,8,13102,2
56.35256329999999,8,13102,0
56.39423000000001,8,13102,0
56.43589670000001,8,13102,0
56.47756329999999,8,13101,0
56.51923000000001,8,13101,0
56.56089670000001,8,13101,0
56.60256329999999,9,13101,0
56.64423000000001,9,13101,0
56.68589670000001,9,13101,0
56.72756329999999,9,13100,0
56.76923000000001,9,13100,0
56.81089670000001,9,13100,0
56.85256329999999,9,13100,0
56.89423000000001,9,13100,0
56.93589670000001,9,13100,0
56.97756329999999,9,13100,0
57.01923000000001,9,13100,0
57.06089670000001,9,13100,0
57.10256329999999,9,13100,0
57.14423000000001,9,13101,0
57.18589670000001,9,13101,0
57.22756329999999,9,13101,0
57.26923000000001,9,13102,35
57.31089670000001,9,13102,125
57.35256329999999,9,13103,86
57.39423000000001,9,13103,44
57.43589670000001,9,13104,18
57.47756329999999,9,13104,9
57.51923000000001,8,13105,4
57.56089670000001,8,13105,2
57.60256329999999,8,13106,1
57.64423000000001,8,13107,2
57.68589670000001,8,13107,0
57.72756329999999,8,13108,0
57.76923000000001,8,13108,0
57.81089670000001,8,13108,0
57.85256329999999,8,13109,0
57.89423000000001,8,13109,2
57.93589670000001,8,13110,1
57.97756329999999,8,13110,0
58.01923000000001,8,13110,0
58.06089670000001,8,13110,0
58.10256329999999,8,13110,0
58.14423000000001,8,13110,0
58.18589670000001,8,13111,0
58.22756329999999,8,13111,0
58.26923000000001,8,13111,0
58.31089670000001,8,13110,0
58.35256329999999,8,13110,0
58.39423000000001,8,13110,0
58.43589670000001,9,13110,4
58.47756329999999,9,13110,0
58.51923000000001,9,13110,0
58.56089670000001,9,13110,0
58.60256329999999,9,13110,0
58.64423000000001,9,13110,0
58.68589670000001,9,13110,0
58.72756329999999,9,13110,0
58.76923000000001,9,13110,1
58.81089670000001,9,13110,4
58.85256329999999,9,13110,0
58.89423000000001,9,13110,12
58.93589670000001,9,13110,25
58.97756329999999,9,13110,34
59.01923000000001,10,13110,11
59.06089670000001,10,13110,9
59.10256329999999,9,13111,26
59.14423000000001,9,13111,2
59.18589670000001,9,13111,1
59.22756329999999,9,13111,0
59.26923000000001,9,13112,4
59.31089670000001,9,13112,19
59.35256329999999,9,13112,18
59.39423000000001,9,13112,11
59.43589670000001,9,13112,1
59.47756329999999,9,13112,0
59.51923000000001,9,13111,0
59.56089670000001,9,13111,3
59.60256329999999,9,13110,1
59.64423000000001,9,13109,0
59.68589670000001,9,13108,0
59.72756329999999,9,13106,0
59.76923000000001,9,13105,0
59.81089670000001,9,13103,0
59.85256329999999,8,13100,0
59.89423000000001,8,13098,0
59.93589670000001,8,13095,0
59.97756329999999,8,13092,0
60.01923000000001,8,13088,0
60.06089670000001,8,13084,0
60.10256329999999,8,13080,0
60.14423000000001,8,13076,0
60.18589670000001,8,13071,0
60.22756329999999,8,13066,0
60.26923000000001,8,13061,0
60.31089670000001,8,13056,0
60.35256329999999,9,13051,0
60.39423000000001,9,13045,2
60.43589670000001,9,13040,1
60.47756329999999,9,13035,0
60.51923000000001,9,13030,0
60.56089670000001,9,13025,0
60.60256329999999,9,13020,0
60.64423000000001,9,13015,0
60.68589670000001,9,13011,0
60.72756329999999,9,13007,0
60.76923000000001,9,13003,0
60.81089670000001,9,13000,0
60.85256329999999,9,12997,1
60.89423000000001,9,12994,4
60.93589670000001,9,12992,5
60.97756329999999,9,12991,1
61.01923000000001,9,12990,31
61.06089670000001,9,12989,27
61.10256329999999,9,12989,29
61.14423000000001,9,12990,28
61.18589670000001,9,12991,4
61.22756329999999,9,12993,11
61.26923000000001,9,12995,2
61.31089670000001,9,12998,0
61.35256329999999,9,13001,6
61.39423000000001,9,13004,7
61.43589670000001,9,13008,13
61.47756329999999,9,13012,11
61.51923000000001,9,13016,20
61.56089670000001,9,13021,0
61.60256329999999,9,13026,1
61.64423000000001,9,13031,0
61.68589670000001,9,13036,0
61.72756329999999,9,13042,0
61.76923000000001,9,13047,0
61.81089670000001,9,13053,0
61.85256329999999,9,13059,0
61.89423000000001,9,13065,0
61.93589670000001,9,13071,0
61.97756329999999,9,13077,0
62.01923000000001,9,13083,0
62.06089670000001,9,13089,2
62.10256329999999,9,13095,35
62.14423000000001,9,13101,20
62.18589670000001,9,13106,18
62.22756329999999,9,13112,52
62.26923000000001,8,13118,28
62.31089670000001,8,13123,24
62.35256329999999,8,13129,4
62.39423000000001,8,13134,0
62.43589670000001,8,13139,0
62.47756329999999,8,13144,4
62.51923000000001,8,13149,0
62.56089670000001,8,13154,10
62.60256329999999,8,13158,0
62.64423000000001,8,13163,0
62.68589670000001,8,13167,6
62.72756329999999,8,13171,0
62.76923000000001,8,13174,0
62.81089670000001,8,13178,4
62.85256329999999,8,13181,9
62.89423000000001,9,13184,18
62.93589670000001,9,13187,2
62.97756329999999,9,13189,0
63.01923000000001,9,13191,0
63.06089670000001,9,13193,1
63.10256329999999,9,13194,10
63.14423000000001,9,13195,2
63.18589670000001,9,13196,1
63.22756329999999,9,13196,13
63.26923000000001,9,13196,2
63.31089670000001,9,13196,0
63.35256329999999,9,13195,1
63.39423000000001,9,13194,14
63.43589670000001,9,13193,4
63.47756329999999,9,13191,3
63.51923000000001,9,13189,0
63.56089670000001,9,13187,0
63.60256329999999,9,13184,1
63.64423000000001,9,13181,0
63.68589670000001,9,13178,0
63.72756329999999,9,13174,0
63.76923000000001,9,13170,0
63.81089670000001,9,13165,0
63.85256329999999,9,13160,0
63.89423000000001,9,13155,0
63.93589670000001,9,13149,0
63.97756329999999,9,13143,0
