time,births,population,reported_cases
44.01923,7,6908,0
44.0608967,7,6897,0
44.1025633,7,6888,0
44.14423,6,6881,0
44.1858967,6,6876,0
44.2275633,6,6873,0
44.26923,6,6872,0
44.3108967,6,6873,2
44.3525633,6,6875,3
44.39423,6,6879,0
44.4358967,6,6884,0
44.4775633,6,6891,0
44.51923,6,6899,0
44.5608967,6,6908,0
44.6025633,6,6918,0
44.64423,6,6929,0
44.6858967,6,6941,0
44.7275633,6,6953,0
44.76923,6,6967,0
44.8108967,6,6981,0
44.8525633,6,6995,0
44.89423,6,7010,0
44.9358967,6,7025,0
44.9775633,6,7041,0
45.01923,6,7056,0
45.0608967,6,7072,7
45.1025633,6,7087,0
45.14423,6,7102,0
45.1858967,6,7118,0
45.2275633,6,7133,15
45.26923,6,7148,9
45.3108967,6,7162,0
45.3525633,6,7177,1
45.39423,6,7190,2
45.4358967,6,7204,5
45.4775633,6,7217,0
45.51923,6,7229,0
45.5608967,6,7241,0
45.6025633,6,7253,1
45.64423,6,7263,2
45.6858967,6,7273,1
45.7275633,6,7282,0
45.76923,6,7291,0
45.8108967,6,7298,0
45.8525633,6,7305,0
45.89423,6,7310,0
45.9358967,6,7315,1
45.9775633,6,7319,0
46.01923,6,7321,0
46.0608967,6,7322,0
46.1025633,6,7323,0
46.14423,6,7322,0
46.1858967,6,7320,0
46.2275633,6,7318,0
46.26923,6,7315,0
46.3108967,6,7312,0
46.3525633,6,7308,0
46.39423,6,7303,0
46.4358967,6,7298,0
46.4775633,6,7293,0
46.51923,6,7288,0
46.5608967,6,7283,0
46.6025633,6,7277,1
46.64423,6,7272,1
46.6858967,6,7266,0
46.7275633,6,7261,0
46.76923,6,7257,0
46.8108967,6,7252,0
46.8525633,5,7249,0
46.89423,5,7245,0
46.9358967,5,7243,0
46.9775633,5,7241,0
47.01923,6,7240,0
47.0608967,6,7239,1
47.1025633,6,7240,0
47.14423,6,7241,6
47.1858967,6,7243,17
47.2275633,6,7246,7
47.26923,6,7249,2
47.3108967,6,7253,0
