time,births,population,reported_cases
44.01923,5,7567,4
44.0608967,5,7531,0
44.1025633,5,7500,0
44.14423,4,7474,1
44.1858967,4,7452,0
44.2275633,4,7434,4
44.26923,4,7420,0
44.3108967,4,7410,4
44.3525633,4,7404,1
44.39423,4,7401,0
44.4358967,4,7402,11
44.4775633,4,7406,2
44.51923,4,7413,4
44.5608967,4,7422,4
44.6025633,4,7435,1
44.64423,4,7449,0
44.6858967,4,7466,0
44.7275633,4,7485,0
44.76923,4,7506,0
44.8108967,4,7529,0
44.8525633,4,7553,0
44.89423,4,7579,0
44.9358967,4,7606,1
44.9775633,5,7634,0
45.01923,5,7662,0
45.0608967,5,7692,0
45.1025633,5,7722,0
45.14423,5,7752,0
45.1858967,5,7783,0
45.2275633,5,7815,0
45.26923,5,7846,2
45.3108967,6,7877,3
45.3525633,6,7909,27
45.39423,6,7940,48
45.4358967,6,7971,31
45.4775633,6,8002,21
45.51923,6,8032,7
45.5608967,6,8062,3
45.6025633,6,8090,4
45.64423,7,8119,3
45.6858967,7,8146,0
45.7275633,7,8172,0
45.76923,7,8197,2
45.8108967,7,8221,4
45.8525633,7,8244,0
45.89423,7,8265,0
45.9358967,7,8285,1
45.9775633,7,8303,0
46.01923,7,8319,0
46.0608967,7,8334,0
46.1025633,7,8347,1
46.14423,7,8358,0
46.1858967,7,8368,0
46.2275633,7,8377,0
46.26923,7,8384,0
46.3108967,7,8391,0
46.3525633,7,8396,0
46.39423,7,8401,0
46.4358967,7,8405,0
46.4775633,7,8408,0
46.51923,7,8410,2
46.5608967,7,8412,2
46.6025633,7,8414,0
46.64423,7,8416,0
46.6858967,7,8417,0
46.7275633,7,8419,2
46.76923,7,8420,0
46.8108967,7,8422,0
46.8525633,7,8424,3
46.89423,7,8427,1
46.9358967,7,8430,0
46.9775633,7,8434,0
47.01923,7,8438,0
47.0608967,7,8444,0
47.1025633,7,8450,2
47.14423,7,8456,14
47.1858967,7,8464,6
47.2275633,7,8472,0
47.26923,6,8480,15
47.3108967,6,8489,2
47.3525633,6,8499,4
47.39423,6,8509,6
47.4358967,6,8519,2
47.4775633,6,8530,0
47.51923,6,8540,0
47.5608967,6,8551,1
47.6025633,6,8562,0
47.64423,6,8573,0
47.6858967,6,8584,0
47.7275633,6,8596,0
47.76923,6,8607,0
47.8108967,6,8618,2
47.8525633,6,8628,0
47.89423,6,8639,0
47.9358967,6,8649,0
47.9775633,6,8659,0
48.01923,6,8668,0
48.0608967,6,8677,2
48.1025633,6,8686,28
48.14423,6,8694,30
48.1858967,6,8702,15
48.2275633,6,8710,13
48.26923,6,8717,0
48.3108967,6,8724,4
48.3525633,6,8731,0
48.39423,6,8737,3
48.4358967,6,8743,0
