time,births,population,reported_cases
44.01923,28,33421,0
44.0608967,27,33284,0
44.1025633,27,33164,0
44.14423,26,33059,0
44.1858967,26,32969,0
44.2275633,26,32894,0
44.26923,26,32833,0
44.3108967,25,32786,2
44.3525633,25,32752,0
44.39423,25,32730,0
44.4358967,25,32721,1
44.4775633,25,32722,0
44.51923,25,32735,4
44.5608967,25,32758,0
44.6025633,25,32792,3
44.64423,25,32834,0
44.6858967,26,32885,1
44.7275633,26,32945,0
44.76923,26,33012,4
44.8108967,26,33086,11
44.8525633,26,33167,0
44.89423,26,33255,0
44.9358967,27,33348,1
44.9775633,27,33445,0
45.01923,27,33548,0
45.0608967,28,33654,0
45.1025633,28,33764,64
45.14423,28,33878,52
45.1858967,29,33995,32
45.2275633,29,34114,66
45.26923,29,34235,136
45.3108967,30,34359,89
45.3525633,30,34484,28
45.39423,30,34610,56
45.4358967,31,34737,34
45.4775633,31,34864,3
45.51923,31,34992,0
45.5608967,32,35120,2
45.6025633,32,35247,0
45.64423,32,35373,0
45.6858967,33,35497,0
45.7275633,33,35620,0
45.76923,33,35742,0
45.8108967,34,35860,0
45.8525633,34,35976,0
45.89423,34,36089,0
45.9358967,34,36199,0
45.9775633,35,36305,0
46.01923,35,36406,0
46.0608967,35,36504,0
46.1025633,35,36597,0
46.14423,35,36687,4
46.1858967,36,36773,1
46.2275633,36,36855,0
46.26923,36,36934,0
46.3108967,36,37010,0
46.3525633,36,37082,0
46.39423,36,37152,0
46.4358967,36,37220,0
46.4775633,36,37285,0
46.51923,36,37348,0
46.5608967,36,37409,0
46.6025633,36,37467,3
46.64423,36,37525,6
46.6858967,36,37580,1
46.7275633,36,37635,2
46.76923,36,37688,0
46.8108967,36,37740,0
46.8525633,36,37791,1
46.89423,35,37842,2
46.9358967,35,37893,6
46.9775633,35,37943,6
47.01923,35,37993,13
47.0608967,35,38043,27
47.1025633,34,38093,41
47.14423,34,38143,20
47.1858967,34,38193,10
47.2275633,34,38241,0
47.26923,33,38290,0
47.3108967,33,38337,1
47.3525633,33,38384,0
47.39423,33,38430,2
47.4358967,32,38475,2
47.4775633,32,38519,6
47.51923,32,38561,18
47.5608967,32,38602,5
47.6025633,31,38642,0
47.64423,31,38680,0
47.6858967,31,38716,0
47.7275633,31,38750,0
47.76923,30,38782,0
47.8108967,30,38812,0
47.8525633,30,38840,0
47.89423,30,38866,0
47.9358967,30,38889,0
47.9775633,30,38910,0
48.01923,30,38928,0
48.0608967,29,38943,4
48.1025633,29,38956,0
48.14423,29,38967,0
48.1858967,29,38977,0
48.2275633,29,38984,2
48.26923,29,38991,2
48.3108967,29,38996,9
48.3525633,29,39001,61
48.39423,29,39005,58
48.4358967,29,39009,96
48.4775633,30,39014,31
48.51923,30,39018,28
48.5608967,30,39024,10
48.6025633,30,39030,4
48.64423,30,39038,3
48.6858967,30,39047,0
48.7275633,30,39057,1
48.76923,30,39070,2
48.8108967,30,39085,0
48.8525633,30,39103,1
48.89423,30,39123,2
48.9358967,30,39147,0
48.9775633,30,39174,0
49.01923,30,39205,2
49.0608967,31,39239,9
49.1025633,31,39276,13
49.14423,31,39317,65
49.1858967,31,39360,103
49.2275633,31,39405,48
49.26923,31,39452,30
49.3108967,31,39500,26
49.3525633,31,39549,14
49.39423,31,39599,5
49.4358967,30,39648,2
49.4775633,30,39698,2
49.51923,30,39747,4
49.5608967,30,39796,4
49.6025633,30,39843,1
49.64423,30,39888,1
49.6858967,30,39931,1
49.7275633,30,39972,0
49.76923,30,40009,0
49.8108967,30,40044,0
49.8525633,30,40075,0
49.89423,30,40102,0
49.9358967,30,40125,1
49.9775633,30,40142,0
50.01923,30,40155,0
50.0608967,30,40163,0
50.1025633,29,40166,0
50.14423,29,40164,0
50.1858967,29,40158,0
50.2275633,29,40149,0
50.26923,29,40136,4
50.3108967,29,40120,0
50.3525633,29,40101,0
50.39423,29,40080,0
50.4358967,29,40057,9
50.4775633,29,40032,0
50.51923,29,40006,30
50.5608967,29,39980,8
50.6025633,29,39952,3
50.64423,28,39924,1
50.6858967,28,39897,0
50.7275633,28,39870,0
50.76923,28,39844,2
50.8108967,28,39819,13
50.8525633,28,39795,84
50.89423,28,39774,43
50.9358967,28,39754,62
50.9775633,28,39738,39
51.01923,28,39724,11
51.0608967,28,39713,16
51.1025633,28,39706,10
51.14423,27,39701,4
51.1858967,27,39698,7
51.2275633,27,39698,35
51.26923,27,39700,123
51.3108967,27,39704,120
51.3525633,27,39710,96
51.39423,27,39718,42
51.4358967,27,39727,85
51.4775633,27,39738,59
51.51923,27,39749,13
51.5608967,27,39762,10
51.6025633,27,39775,2
51.64423,27,39789,1
51.6858967,27,39804,0
51.7275633,27,39819,0
51.76923,27,39834,0
51.8108967,26,39848,0
51.8525633,26,39863,3
51.89423,26,39877,2
51.9358967,26,39891,1
51.9775633,26,39903,0
52.01923,27,39915,2
52.0608967,27,39926,0
52.1025633,27,39936,4
52.14423,27,39945,24
52.1858967,27,39954,107
52.2275633,27,39962,56
52.26923,27,39970,47
52.3108967,27,39977,25
52.3525633,27,39985,6
52.39423,27,39992,0
52.43589670000001,27,39999,2
52.47756329999999,27,40007,3
52.51923000000001,27,40015,2
52.56089670000001,28,40023,1
52.60256329999999,28,40032,0
52.64423000000001,28,40042,0
52.68589670000001,28,40053,0
52.72756329999999,28,40064,0
52.76923000000001,28,40076,0
52.81089670000001,28,40090,4
52.85256329999999,28,40105,2
52.89423000000001,29,40121,3
52.93589670000001,29,40139,12
52.97756329999999,29,40159,4
53.01923000000001,29,40180,6
53.06089670000001,29,40203,29
53.10256329999999,29,40228,37
53.14423000000001,29,40255,53
53.18589670000001,29,40283,58
53.22756329999999,29,40312,39
53.26923000000001,30,40343,56
53.31089670000001,30,40376,73
53.35256329999999,30,40410,21
53.39423000000001,30,40445,18
53.43589670000001,30,40481,34
53.47756329999999,30,40518,23
53.51923000000001,30,40556,17
53.56089670000001,30,40596,0
53.60256329999999,30,40636,8
53.64423000000001,30,40677,2
53.68589670000001,30,40719,0
53.72756329999999,31,40761,0
53.76923000000001,31,40804,0
53.81089670000001,31,40848,0
53.85256329999999,31,40892,0
53.89423000000001,31,40936,1
53.93589670000001,31,40981,0
53.97756329999999,31,41026,0
54.01923000000001,31,41071,0
54.06089670000001,31,41116,0
54.10256329999999,31,41162,0
54.14423000000001,31,41208,0
54.18589670000001,31,41254,0
54.22756329999999,31,41301,0
54.26923000000001,31,41348,0
54.31089670000001,31,41396,0
54.35256329999999,31,41444,4
54.39423000000001,31,41493,0
54.43589670000001,31,41543,2
54.47756329999999,31,41594,31
54.51923000000001,31,41646,11
54.56089670000001,31,41699,5
54.60256329999999,31,41752,1
54.64423000000001,32,41807,0
54.68589670000001,32,41863,1
54.72756329999999,32,41920,0
54.76923000000001,32,41979,0
54.81089670000001,32,42039,0
54.85256329999999,32,42100,0
54.89423000000001,32,42163,0
54.93589670000001,32,42228,1
54.97756329999999,32,42294,0
55.01923000000001,32,42362,4
55.06089670000001,32,42431,0
55.10256329999999,32,42502,17
55.14423000000001,32,42575,82
55.18589670000001,32,42649,130
55.22756329999999,32,42724,268
55.26923000000001,32,42800,168
55.31089670000001,32,42877,80
55.35256329999999,32,42956,52
55.39423000000001,32,43035,57
55.43589670000001,33,43114,63
55.47756329999999,33,43194,19
55.51923000000001,33,43275,28
55.56089670000001,33,43356,66
55.60256329999999,33,43437,49
55.64423000000001,33,43518,10
55.68589670000001,33,43600,0
55.72756329999999,33,43681,2
55.76923000000001,33,43762,0
55.81089670000001,33,43842,0
55.85256329999999,33,43922,0
55.89423000000001,34,44002,0
55.93589670000001,34,44080,0
55.97756329999999,34,44158,0
56.01923000000001,34,44235,0
56.06089670000001,34,44311,0
56.10256329999999,34,44387,0
56.14423000000001,34,44461,0
56.18589670000001,35,44534,1
56.22756329999999,35,44606,0
56.26923000000001,35,44677,2
56.31089670000001,35,44747,2
56.35256329999999,35,44816,12
56.39423000000001,35,44885,16
56.43589670000001,35,44952,4
56.47756329999999,36,45018,1
56.51923000000001,36,45084,2
56.56089670000001,36,45148,9
56.60256329999999,36,45211,3
56.64423000000001,36,45274,2
56.68589670000001,36,45336,2
56.72756329999999,36,45396,0
56.76923000000001,36,45456,0
56.81089670000001,37,45515,0
56.85256329999999,37,45573,0
56.89423000000001,37,45630,0
56.93589670000001,37,45686,0
56.97756329999999,37,45741,0
57.01923000000001,37,45795,0
57.06089670000001,37,45848,2
57.10256329999999,37,45901,35
57.14423000000001,37,45952,39
57.18589670000001,37,46003,60
57.22756329999999,37,46053,114
57.26923000000001,37,46102,119
57.31089670000001,37,46150,69
57.35256329999999,37,46197,59
57.39423000000001,37,46244,76
57.43589670000001,37,46290,61
57.47756329999999,37,46335,54
57.51923000000001,37,46380,52
57.56089670000001,37,46424,32
57.60256329999999,37,46467,17
57.64423000000001,37,46510,16
57.68589670000001,37,46552,6
57.72756329999999,37,46593,4
57.76923000000001,38,46634,0
57.81089670000001,38,46674,0
57.85256329999999,38,46714,0
57.89423000000001,38,46753,0
57.93589670000001,38,46792,1
57.97756329999999,38,46830,0
58.01923000000001,38,46867,0
58.06089670000001,38,46905,3
58.10256329999999,38,46942,1
58.14423000000001,38,46978,1
58.18589670000001,38,47015,14
58.22756329999999,38,47052,4
58.26923000000001,38,47089,6
58.31089670000001,38,47127,33
58.35256329999999,38,47165,49
58.39423000000001,38,47203,82
58.43589670000001,38,47243,134
58.47756329999999,38,47283,170
58.51923000000001,38,47324,36
58.56089670000001,38,47366,21
58.60256329999999,38,47409,10
58.64423000000001,38,47454,2
58.68589670000001,38,47501,7
58.72756329999999,38,47548,0
58.76923000000001,39,47598,0
58.81089670000001,39,47650,0
58.85256329999999,39,47703,0
58.89423000000001,39,47759,0
58.93589670000001,39,47816,1
58.97756329999999,39,47877,0
59.01923000000001,39,47939,13
59.06089670000001,39,48004,15
59.10256329999999,39,48071,12
59.14423000000001,39,48140,28
59.18589670000001,39,48211,36
59.22756329999999,39,48282,22
59.26923000000001,39,48354,130
59.31089670000001,40,48427,39
59.35256329999999,40,48500,37
59.39423000000001,40,48572,58
59.43589670000001,40,48644,37
59.47756329999999,40,48715,42
59.51923000000001,40,48785,4
59.56089670000001,40,48854,3
59.60256329999999,40,48920,0
59.64423000000001,40,48985,3
59.68589670000001,40,49047,1
59.72756329999999,41,49106,4
59.76923000000001,41,49162,0
59.81089670000001,41,49214,0
59.85256329999999,41,49263,0
59.89423000000001,41,49308,0
59.93589670000001,41,49348,0
59.97756329999999,41,49383,0
60.01923000000001,41,49413,0
60.06089670000001,42,49439,0
60.10256329999999,42,49459,0
60.14423000000001,42,49475,0
60.18589670000001,42,49488,1
60.22756329999999,42,49497,0
60.26923000000001,43,49503,0
60.31089670000001,43,49507,0
60.35256329999999,43,49508,0
60.39423000000001,43,49508,0
60.43589670000001,43,49506,0
60.47756329999999,43,49504,0
60.51923000000001,44,49501,0
60.56089670000001,44,49498,0
60.60256329999999,44,49495,1
60.64423000000001,44,49493,0
60.68589670000001,44,49493,0
60.72756329999999,44,49494,2
60.76923000000001,44,49497,0
60.81089670000001,44,49502,0
60.85256329999999,44,49511,0
60.89423000000001,44,49522,0
60.93589670000001,45,49538,0
60.97756329999999,45,49558,0
61.01923000000001,45,49582,0
61.06089670000001,44,49611,4
61.10256329999999,44,49644,12
61.14423000000001,44,49682,71
61.18589670000001,44,49723,118
61.22756329999999,44,49769,140
61.26923000000001,44,49817,248
61.31089670000001,44,49870,238
61.35256329999999,44,49925,174
61.39423000000001,44,49983,94
61.43589670000001,44,50044,104
61.47756329999999,43,50107,94
61.51923000000001,43,50172,123
61.56089670000001,43,50239,20
61.60256329999999,43,50307,17
61.64423000000001,43,50377,12
61.68589670000001,43,50449,0
61.72756329999999,43,50521,2
61.76923000000001,42,50594,0
61.81089670000001,42,50667,0
61.85256329999999,42,50741,0
61.89423000000001,42,50815,1
61.93589670000001,42,50888,2
61.97756329999999,42,50961,0
62.01923000000001,42,51033,0
62.06089670000001,42,51105,0
62.10256329999999,42,51175,0
62.14423000000001,42,51245,1
62.18589670000001,42,51314,12
62.22756329999999,42,51382,39
62.26923000000001,42,51449,4
62.31089670000001,42,51515,1
62.35256329999999,42,51579,2
62.39423000000001,42,51643,3
62.43589670000001,42,51706,6
62.47756329999999,42,51767,11
62.51923000000001,43,51828,11
62.56089670000001,43,51887,17
62.60256329999999,43,51945,17
62.64423000000001,43,52002,2
62.68589670000001,43,52057,1
62.72756329999999,43,52111,1
62.76923000000001,44,52164,0
62.81089670000001,44,52215,0
62.85256329999999,44,52265,0
62.89423000000001,44,52314,0
62.93589670000001,44,52361,0
62.97756329999999,44,52406,0
63.01923000000001,45,52450,2
63.06089670000001,45,52493,5
63.10256329999999,45,52534,15
63.14423000000001,45,52573,23
63.18589670000001,45,52612,14
63.22756329999999,46,52649,89
63.26923000000001,46,52685,114
63.31089670000001,46,52721,157
63.35256329999999,46,52755,65
63.39423000000001,46,52789,51
63.43589670000001,46,52822,16
63.47756329999999,46,52854,8
63.51923000000001,46,52885,22
63.56089670000001,46,52917,39
63.60256329999999,46,52947,12
63.64423000000001,46,52978,8
63.68589670000001,46,53008,6
63.72756329999999,46,53039,0
63.76923000000001,46,53069,0
63.81089670000001,46,53099,0
63.85256329999999,46,53130,0
63.89423000000001,46,53160,0
63.93589670000001,45,53191,0
63.97756329999999,45,53223,0
