time,births,population,reported_cases
44.01923,16,20577,0
44.0608967,16,20510,2
44.1025633,16,20452,0
44.14423,16,20403,0
44.1858967,16,20361,1
44.2275633,16,20326,0
44.26923,16,20298,0
44.3108967,16,20277,4
44.3525633,16,20263,2
44.39423,16,20255,1
44.4358967,16,20252,1
44.4775633,16,20256,0
44.51923,16,20264,0
44.5608967,16,20277,0
44.6025633,16,20295,1
44.64423,16,20317,1
44.6858967,16,20342,0
44.7275633,16,20372,2
44.76923,16,20404,4
44.8108967,16,20440,4
44.8525633,16,20478,4
44.89423,16,20519,8
44.9358967,16,20561,13
44.9775633,16,20606,36
45.01923,16,20651,25
45.0608967,16,20698,36
45.1025633,16,20745,51
45.14423,16,20794,25
45.1858967,16,20843,16
45.2275633,16,20892,13
45.26923,16,20941,11
45.3108967,17,20991,4
45.3525633,17,21040,6
45.39423,17,21089,2
45.4358967,17,21138,1
45.4775633,17,21186,0
45.51923,17,21232,0
45.5608967,17,21278,2
45.6025633,18,21323,1
45.64423,18,21366,0
45.6858967,18,21407,2
45.7275633,18,21447,0
45.76923,18,21485,0
45.8108967,18,21520,0
45.8525633,18,21554,0
45.89423,19,21584,0
45.9358967,19,21613,0
45.9775633,19,21638,0
46.01923,19,21660,0
46.0608967,19,21679,4
46.1025633,20,21695,0
46.14423,20,21709,1
46.1858967,20,21720,0
46.2275633,20,21729,0
46.26923,20,21736,0
46.3108967,20,21741,0
46.3525633,21,21745,0
46.39423,21,21748,0
46.4358967,21,21749,0
46.4775633,21,21750,0
46.51923,21,21749,0
46.5608967,21,21749,0
46.6025633,21,21748,1
46.64423,21,21747,0
46.6858967,21,21746,0
46.7275633,21,21746,0
46.76923,21,21747,0
46.8108967,21,21748,0
46.8525633,21,21750,0
46.89423,21,21754,2
46.9358967,21,21759,0
46.9775633,21,21766,2
47.01923,21,21774,0
47.0608967,21,21785,5
47.1025633,21,21798,11
47.14423,21,21812,30
47.1858967,21,21828,5
47.2275633,20,21845,47
47.26923,20,21863,27
47.3108967,20,21883,98
47.3525633,20,21904,99
47.39423,19,21925,72
47.4358967,19,21947,25
47.4775633,19,21970,2
47.51923,19,21993,2
47.5608967,18,22016,1
47.6025633,18,22039,0
47.64423,18,22063,0
47.6858967,18,22086,0
47.7275633,17,22109,0
47.76923,17,22131,2
47.8108967,17,22153,0
47.8525633,17,22174,0
47.89423,17,22194,0
47.9358967,16,22213,1
47.9775633,16,22231,0
48.01923,16,22247,0
48.0608967,16,22263,0
48.1025633,16,22276,0
48.14423,16,22289,0
48.1858967,16,22301,0
48.2275633,16,22311,0
48.26923,16,22321,0
48.3108967,16,22329,0
48.3525633,16,22337,1
