time,births,population,reported_cases
44.01923,5,6616,0
44.0608967,5,6602,0
44.1025633,5,6587,0
44.14423,5,6573,0
44.1858967,5,6559,1
44.2275633,5,6545,0
44.26923,4,6531,17
44.3108967,4,6517,0
44.3525633,4,6504,0
44.39423,4,6491,1
44.4358967,4,6478,0
44.4775633,4,6465,2
44.51923,4,6452,0
44.5608967,4,6440,0
44.6025633,4,6428,0
44.64423,4,6416,0
44.6858967,4,6405,0
44.7275633,4,6393,0
44.76923,4,6382,0
44.8108967,4,6371,0
44.8525633,4,6361,0
44.89423,4,6351,0
44.9358967,4,6341,0
44.9775633,4,6331,5
45.01923,4,6322,9
45.0608967,4,6313,2
45.1025633,4,6304,0
45.14423,4,6295,0
45.1858967,4,6287,0
45.2275633,4,6280,0
45.26923,4,6272,2
45.3108967,4,6265,2
45.3525633,4,6258,1
45.39423,4,6252,0
45.4358967,4,6245,0
45.4775633,4,6240,0
45.51923,4,6234,0
45.5608967,4,6229,0
45.6025633,4,6224,0
45.64423,4,6220,1
45.6858967,4,6216,0
45.7275633,4,6212,0
45.76923,4,6209,0
45.8108967,5,6206,0
45.8525633,5,6203,0
45.89423,5,6201,0
45.9358967,5,6199,0
45.9775633,5,6198,0
46.01923,5,6197,0
46.0608967,5,6196,0
46.1025633,5,6196,0
46.14423,5,6196,0
46.1858967,5,6196,0
46.2275633,5,6197,0
46.26923,5,6198,0
46.3108967,5,6199,0
46.3525633,5,6201,0
46.39423,5,6203,0
46.4358967,5,6205,0
46.4775633,5,6208,0
46.51923,5,6211,0
46.5608967,5,6214,2
46.6025633,5,6217,0
46.64423,5,6221,0
46.6858967,5,6225,0
46.7275633,5,6229,0
46.76923,5,6234,2
46.8108967,5,6238,0
46.8525633,5,6243,2
46.89423,5,6248,5
46.9358967,5,6254,75
46.9775633,5,6259,48
47.01923,5,6265,30
47.0608967,5,6270,0
47.1025633,5,6276,0
47.14423,5,6282,1
47.1858967,5,6289,4
47.2275633,5,6295,0
47.26923,5,6301,5
47.3108967,5,6308,0
47.3525633,5,6314,0
47.39423,5,6321,0
47.4358967,5,6327,0
47.4775633,5,6334,0
47.51923,5,6341,0
47.5608967,5,6347,0
47.6025633,5,6354,0
47.64423,5,6360,0
47.6858967,5,6367,0
47.7275633,5,6373,0
47.76923,5,6380,0
47.8108967,5,6386,16
47.8525633,5,6392,4
47.89423,5,6398,1
47.9358967,5,6404,0
47.9775633,5,6410,0
48.01923,5,6416,0
48.0608967,5,6421,0
48.1025633,5,6426,0
48.14423,5,6431,0
48.1858967,5,6436,0
48.2275633,5,6441,0
48.26923,5,6446,0
48.3108967,5,6450,0
48.3525633,5,6454,1
48.39423,5,6458,0
48.4358967,5,6462,0
48.4775633,5,6465,0
48.51923,5,6469,0
48.5608967,5,6472,0
48.6025633,5,6475,0
48.64423,5,6477,0
48.6858967,5,6480,0
48.7275633,5,6482,0
48.76923,5,6484,0
48.8108967,5,6485,3
48.8525633,5,6487,0
48.89423,5,6488,0
48.9358967,5,6489,0
48.9775633,5,6490,0
49.01923,5,6490,0
49.0608967,5,6490,0
49.1025633,5,6490,0
49.14423,5,6490,0
49.1858967,5,6490,0
49.2275633,5,6489,0
49.26923,5,6488,0
49.3108967,5,6487,0
49.3525633,4,6487,0
49.39423,4,6486,0
49.4358967,4,6484,0
49.4775633,4,6483,0
49.51923,4,6482,0
49.5608967,4,6481,0
49.6025633,4,6480,0
49.64423,4,6479,0
49.6858967,4,6478,1
49.7275633,4,6478,0
49.76923,4,6477,0
49.8108967,4,6477,0
49.8525633,4,6476,0
49.89423,4,6476,0
49.9358967,4,6476,0
49.9775633,4,6477,0
50.01923,4,6477,0
50.0608967,4,6478,0
50.1025633,4,6480,0
50.14423,4,6481,0
50.1858967,4,6483,0
50.2275633,4,6486,0
50.26923,4,6489,0
50.3108967,4,6492,0
50.3525633,4,6496,0
50.39423,4,6501,0
50.4358967,5,6506,0
50.4775633,5,6512,2
50.51923,5,6519,0
50.5608967,5,6526,19
50.6025633,5,6535,97
50.64423,5,6544,134
50.6858967,5,6553,2
50.7275633,5,6564,2
50.76923,5,6576,0
50.8108967,5,6589,0
50.8525633,5,6602,0
50.89423,5,6617,0
50.9358967,5,6633,0
50.9775633,5,6649,0
51.01923,6,6667,0
51.0608967,6,6687,1
51.1025633,6,6707,0
51.14423,6,6730,0
51.1858967,6,6754,0
51.2275633,6,6780,0
51.26923,6,6809,2
51.3108967,6,6840,1
51.3525633,6,6874,2
51.39423,6,6910,4
51.4358967,6,6950,1
51.4775633,6,6992,0
51.51923,6,7039,0
51.5608967,6,7088,0
51.6025633,7,7142,0
51.64423,7,7200,0
51.6858967,7,7262,1
51.7275633,7,7328,0
51.76923,7,7399,0
51.8108967,7,7475,0
51.8525633,7,7556,0
51.89423,7,7642,2
51.9358967,7,7734,1
51.9775633,8,7831,3
52.01923,8,7934,0
52.0608967,8,8043,0
52.1025633,8,8157,0
52.14423,8,8276,2
52.1858967,8,8400,0
52.2275633,9,8528,0
52.26923,9,8660,0
52.3108967,9,8795,0
52.3525633,9,8933,0
52.39423,9,9074,0
52.43589670000001,9,9217,0
52.47756329999999,10,9361,0
52.51923000000001,10,9507,1
52.56089670000001,10,9655,0
52.60256329999999,10,9803,0
52.64423000000001,11,9951,0
52.68589670000001,11,10099,0
52.72756329999999,11,10246,1
52.76923000000001,11,10393,1
52.81089670000001,11,10538,99
52.85256329999999,12,10682,58
52.89423000000001,12,10823,33
52.93589670000001,12,10962,54
52.97756329999999,12,11098,17
53.01923000000001,13,11231,24
53.06089670000001,13,11360,12
53.10256329999999,13,11487,5
53.14423000000001,13,11611,7
53.18589670000001,14,11732,7
53.22756329999999,14,11851,3
53.26923000000001,14,11969,11
53.31089670000001,14,12085,11
53.35256329999999,15,12201,4
53.39423000000001,15,12315,3
53.43589670000001,15,12429,1
53.47756329999999,15,12543,0
53.51923000000001,16,12658,2
53.56089670000001,16,12772,0
53.60256329999999,16,12888,0
53.64423000000001,16,13005,0
53.68589670000001,17,13124,0
53.72756329999999,17,13244,2
53.76923000000001,17,13366,0
53.81089670000001,17,13492,0
53.85256329999999,18,13620,4
53.89423000000001,18,13751,0
53.93589670000001,18,13885,0
53.97756329999999,18,14024,0
54.01923000000001,18,14166,0
54.06089670000001,19,14313,0
54.10256329999999,19,14464,0
54.14423000000001,19,14618,0
54.18589670000001,19,14776,0
54.22756329999999,19,14937,0
54.26923000000001,19,15100,0
54.31089670000001,20,15267,2
54.35256329999999,20,15435,1
54.39423000000001,20,15606,4
54.43589670000001,20,15778,0
54.47756329999999,20,15952,0
54.51923000000001,21,16127,2
54.56089670000001,21,16302,6
54.60256329999999,21,16479,1
54.64423000000001,21,16655,0
54.68589670000001,21,16832,1
54.72756329999999,21,17009,0
54.76923000000001,22,17185,0
54.81089670000001,22,17361,0
