time,births,population,reported_cases
44.01923,105,128793,0
44.0608967,103,128265,0
44.1025633,101,127803,0
44.14423,100,127406,3
44.1858967,99,127071,0
44.2275633,97,126795,2
44.26923,96,126575,0
44.3108967,95,126410,0
44.3525633,95,126296,1
44.39423,94,126232,1
44.4358967,93,126214,0
44.4775633,93,126240,3
44.51923,92,126308,2
44.5608967,92,126415,1
44.6025633,92,126559,1
44.64423,92,126736,1
44.6858967,92,126946,4
44.7275633,92,127184,10
44.76923,92,127448,29
44.8108967,92,127737,10
44.8525633,92,128047,31
44.89423,93,128376,68
44.9358967,93,128722,165
44.9775633,94,129082,158
45.01923,94,129452,286
45.0608967,95,129833,232
45.1025633,96,130221,262
45.14423,97,130616,265
45.1858967,98,131015,105
45.2275633,98,131418,41
45.26923,99,131823,51
45.3108967,100,132228,18
45.3525633,101,132633,8
45.39423,102,133035,7
45.4358967,104,133433,3
45.4775633,105,133825,4
45.51923,106,134211,2
45.5608967,107,134589,2
45.6025633,108,134956,3
45.64423,109,135312,0
45.6858967,111,135656,3
45.7275633,112,135985,0
45.76923,113,136298,0
45.8108967,114,136594,2
45.8525633,115,136871,0
45.89423,117,137128,0
45.9358967,118,137364,0
45.9775633,119,137576,0
46.01923,120,137763,0
46.0608967,121,137926,0
46.1025633,122,138066,0
46.14423,123,138185,1
46.1858967,124,138283,0
46.2275633,125,138363,0
46.26923,126,138427,2
46.3108967,127,138475,4
46.3525633,128,138509,3
46.39423,129,138532,1
46.4358967,130,138544,0
46.4775633,130,138548,8
46.51923,131,138544,7
46.5608967,131,138535,6
46.6025633,132,138522,9
46.64423,132,138506,8
46.6858967,133,138489,5
46.7275633,133,138473,4
46.76923,133,138460,7
46.8108967,133,138450,13
46.8525633,133,138446,50
46.89423,133,138449,94
46.9358967,133,138461,197
46.9775633,132,138483,237
47.01923,132,138517,316
47.0608967,132,138563,155
47.1025633,131,138621,139
47.14423,130,138689,123
47.1858967,130,138767,177
47.2275633,129,138854,53
47.26923,128,138948,19
47.3108967,127,139049,7
47.3525633,126,139156,3
47.39423,125,139268,8
47.4358967,124,139384,6
47.4775633,122,139504,1
47.51923,121,139626,1
47.5608967,120,139749,3
47.6025633,119,139872,4
47.64423,118,139996,2
47.6858967,117,140117,2
47.7275633,115,140237,3
47.76923,114,140354,0
47.8108967,113,140466,2
47.8525633,112,140573,0
47.89423,111,140675,2
47.9358967,110,140770,1
47.9775633,109,140857,0
48.01923,108,140935,0
48.0608967,107,141005,0
48.1025633,107,141066,4
48.14423,106,141120,9
48.1858967,105,141166,14
48.2275633,105,141206,27
48.26923,104,141240,33
48.3108967,104,141268,17
48.3525633,103,141292,21
48.39423,103,141311,21
48.4358967,102,141326,29
48.4775633,102,141339,26
48.51923,102,141349,24
48.5608967,101,141356,66
48.6025633,101,141363,27
48.64423,101,141368,26
48.6858967,101,141373,18
48.7275633,101,141378,18
48.76923,100,141385,42
48.8108967,100,141392,24
48.8525633,100,141402,60
48.89423,100,141414,72
48.9358967,100,141429,90
48.9775633,100,141448,136
49.01923,100,141471,329
49.0608967,100,141499,201
49.1025633,99,141530,209
49.14423,99,141564,130
49.1858967,99,141601,63
49.2275633,99,141641,32
49.26923,99,141682,18
49.3108967,99,141724,16
49.3525633,99,141767,14
49.39423,98,141810,17
49.4358967,98,141852,15
49.4775633,98,141893,15
49.51923,98,141933,7
49.5608967,98,141971,3
49.6025633,98,142006,4
49.64423,97,142038,10
49.6858967,97,142067,13
49.7275633,97,142091,3
49.76923,97,142111,11
49.8108967,97,142125,7
49.8525633,96,142134,9
49.89423,96,142136,2
49.9358967,96,142131,1
49.9775633,96,142120,0
50.01923,95,142100,0
50.0608967,95,142072,0
50.1025633,95,142037,0
50.14423,95,141996,1
50.1858967,94,141948,0
50.2275633,94,141896,0
50.26923,94,141838,0
50.3108967,93,141776,14
50.3525633,93,141710,32
50.39423,93,141642,81
50.4358967,93,141571,103
50.4775633,92,141499,115
50.51923,92,141425,129
50.5608967,92,141351,116
50.6025633,92,141278,70
50.64423,91,141205,54
50.6858967,91,141133,28
50.7275633,91,141063,11
50.76923,91,140996,13
50.8108967,91,140932,37
50.8525633,90,140872,35
50.89423,90,140817,58
50.9358967,90,140766,105
50.9775633,90,140722,58
51.01923,90,140683,251
51.0608967,90,140651,188
51.1025633,90,140625,217
51.14423,90,140605,185
51.1858967,90,140591,180
51.2275633,90,140581,98
51.26923,91,140576,122
51.3108967,91,140575,37
51.3525633,91,140579,21
51.39423,91,140586,11
51.4358967,91,140596,10
51.4775633,91,140609,14
51.51923,91,140625,4
51.5608967,92,140643,5
51.6025633,92,140662,0
51.64423,92,140683,4
51.6858967,92,140705,4
51.7275633,93,140728,3
51.76923,93,140751,2
51.8108967,93,140775,1
51.8525633,93,140797,1
51.89423,93,140820,1
51.9358967,94,140841,1
51.9775633,94,140860,6
52.01923,94,140878,0
52.0608967,94,140894,1
52.1025633,94,140908,3
52.14423,94,140920,5
52.1858967,95,140931,8
52.2275633,95,140940,9
52.26923,95,140948,6
52.3108967,95,140955,25
52.3525633,95,140961,20
52.39423,95,140966,23
52.43589670000001,95,140970,46
52.47756329999999,95,140973,47
52.51923000000001,95,140975,40
52.56089670000001,95,140977,27
52.60256329999999,95,140979,44
52.64423000000001,95,140980,22
52.68589670000001,95,140982,7
52.72756329999999,95,140983,6
52.76923000000001,95,140985,32
52.81089670000001,95,140986,71
52.85256329999999,95,140988,175
52.89423000000001,95,140991,168
52.93589670000001,95,140994,163
52.97756329999999,95,140998,179
53.01923000000001,95,141002,240
53.06089670000001,95,141008,287
53.10256329999999,95,141014,311
53.14423000000001,95,141021,268
53.18589670000001,95,141029,129
53.22756329999999,95,141037,67
53.26923000000001,95,141046,53
53.31089670000001,95,141055,12
53.35256329999999,94,141064,12
53.39423000000001,94,141074,2
53.43589670000001,94,141084,7
53.47756329999999,94,141094,5
53.51923000000001,94,141104,2
53.56089670000001,94,141115,10
53.60256329999999,94,141125,0
53.64423000000001,93,141134,0
53.68589670000001,93,141144,0
53.72756329999999,93,141153,0
53.76923000000001,93,141162,0
53.81089670000001,93,141170,0
53.85256329999999,93,141178,1
