time,births,population,reported_cases
44.01923,11,13395,0
44.0608967,10,13344,0
44.1025633,10,13298,1
44.14423,10,13256,0
44.1858967,10,13218,3
44.2275633,10,13185,4
44.26923,9,13155,0
44.3108967,9,13130,6
44.3525633,9,13107,1
44.39423,9,13089,4
44.4358967,9,13073,1
44.4775633,9,13061,2
44.51923,9,13052,2
44.5608967,9,13045,6
44.6025633,9,13042,29
44.64423,9,13040,31
44.6858967,9,13041,25
44.7275633,9,13045,15
44.76923,9,13050,35
44.8108967,9,13057,65
44.8525633,10,13066,169
44.89423,10,13077,82
44.9358967,10,13089,69
44.9775633,10,13102,12
45.01923,10,13117,29
45.0608967,10,13132,5
45.1025633,10,13148,0
45.14423,10,13166,4
45.1858967,10,13183,3
45.2275633,11,13202,9
45.26923,11,13221,6
45.3108967,11,13240,5
45.3525633,11,13260,3
45.39423,11,13280,3
45.4358967,11,13300,3
45.4775633,11,13321,0
45.51923,12,13341,0
45.5608967,12,13362,0
45.6025633,12,13382,0
45.64423,12,13402,0
45.6858967,12,13421,0
45.7275633,12,13441,0
45.76923,12,13459,0
45.8108967,12,13478,0
45.8525633,12,13495,0
45.89423,12,13512,0
45.9358967,13,13527,0
45.9775633,13,13542,0
46.01923,13,13556,0
46.0608967,13,13569,0
46.1025633,13,13581,0
46.14423,13,13592,0
46.1858967,13,13602,0
46.2275633,13,13612,1
46.26923,13,13621,0
46.3108967,13,13630,0
46.3525633,13,13639,0
46.39423,13,13647,0
46.4358967,13,13655,1
46.4775633,13,13663,2
46.51923,13,13671,0
46.5608967,13,13679,0
46.6025633,13,13687,7
46.64423,12,13696,1
46.6858967,12,13706,0
46.7275633,12,13715,0
46.76923,12,13726,0
46.8108967,12,13737,0
46.8525633,12,13749,0
46.89423,12,13762,0
46.9358967,12,13776,0
46.9775633,12,13791,2
47.01923,12,13808,0
47.0608967,12,13825,0
47.1025633,12,13844,1
47.14423,12,13864,2
47.1858967,12,13885,6
47.2275633,12,13907,4
47.26923,12,13929,0
47.3108967,12,13952,6
47.3525633,12,13975,10
47.39423,12,13999,2
47.4358967,12,14024,2
47.4775633,12,14048,5
47.51923,12,14073,20
