time,births,population,reported_cases
44.01923,40,49211,0
44.0608967,39,48981,0
44.1025633,39,48786,1
44.14423,39,48625,0
44.1858967,38,48497,4
44.2275633,38,48400,21
44.26923,38,48333,40
44.3108967,38,48295,45
44.3525633,37,48284,19
44.39423,37,48300,3
44.4358967,37,48340,15
44.4775633,37,48404,9
44.51923,37,48490,0
44.5608967,37,48597,0
44.6025633,37,48724,0
44.64423,37,48869,0
44.6858967,37,49031,1
44.7275633,37,49208,4
44.76923,38,49400,0
44.8108967,38,49604,20
44.8525633,38,49820,5
44.89423,38,50047,0
44.9358967,38,50283,4
44.9775633,39,50526,6
45.01923,39,50776,34
45.0608967,39,51031,85
45.1025633,39,51291,87
45.14423,40,51554,68
45.1858967,40,51820,64
45.2275633,40,52088,109
45.26923,41,52358,87
45.3108967,41,52628,86
45.3525633,41,52897,63
45.39423,42,53165,85
45.4358967,42,53432,36
45.4775633,42,53695,17
45.51923,43,53955,9
45.5608967,43,54210,6
45.6025633,44,54460,1
45.64423,44,54704,3
45.6858967,44,54941,0
45.7275633,45,55170,0
45.76923,45,55390,0
45.8108967,45,55602,0
45.8525633,46,55803,0
45.89423,46,55993,0
45.9358967,46,56171,0
45.9775633,47,56336,0
46.01923,47,56489,2
46.0608967,47,56627,0
46.1025633,48,56753,0
46.14423,48,56867,16
46.1858967,48,56969,13
46.2275633,48,57061,13
46.26923,48,57142,2
46.3108967,49,57215,0
46.3525633,49,57279,6
46.39423,49,57336,17
46.4358967,49,57385,54
46.4775633,49,57428,123
46.51923,49,57466,49
46.5608967,49,57499,36
46.6025633,49,57528,14
46.64423,49,57553,8
46.6858967,49,57576,4
46.7275633,49,57597,8
46.76923,49,57617,13
46.8108967,49,57637,7
46.8525633,49,57657,4
46.89423,49,57677,0
46.9358967,49,57700,1
46.9775633,48,57725,2
47.01923,48,57754,0
47.0608967,48,57785,1
47.1025633,48,57820,5
47.14423,47,57859,10
47.1858967,47,57899,11
47.2275633,47,57943,7
47.26923,46,57988,23
47.3108967,46,58036,31
47.3525633,46,58085,17
47.39423,45,58135,8
47.4358967,45,58187,15
47.4775633,44,58240,10
47.51923,44,58293,14
47.5608967,44,58347,1
47.6025633,43,58401,6
47.64423,43,58454,0
47.6858967,43,58508,0
47.7275633,42,58560,0
47.76923,42,58612,0
47.8108967,41,58662,0
47.8525633,41,58712,0
47.89423,41,58759,1
47.9358967,41,58804,4
47.9775633,40,58848,0
48.01923,40,58889,4
48.0608967,40,58927,3
48.1025633,40,58963,8
48.14423,40,58997,21
48.1858967,39,59030,51
48.2275633,39,59061,93
48.26923,39,59091,105
48.3108967,39,59120,49
48.3525633,39,59148,53
48.39423,39,59176,48
48.4358967,39,59204,16
48.4775633,39,59233,20
48.51923,39,59262,9
48.5608967,39,59291,25
48.6025633,39,59322,29
48.64423,39,59354,9
48.6858967,39,59388,4
48.7275633,39,59423,4
48.76923,39,59461,9
48.8108967,39,59501,9
48.8525633,39,59543,5
48.89423,39,59589,2
48.9358967,39,59638,5
48.9775633,39,59690,22
49.01923,39,59746,2
49.0608967,39,59806,2
49.1025633,39,59869,1
49.14423,39,59935,3
49.1858967,39,60004,11
49.2275633,39,60074,39
49.26923,39,60146,78
49.3108967,39,60220,102
49.3525633,39,60294,37
49.39423,39,60368,80
49.4358967,39,60442,80
49.4775633,39,60516,33
49.51923,38,60589,18
49.5608967,38,60661,33
49.6025633,38,60731,48
49.64423,38,60799,31
49.6858967,38,60864,4
49.7275633,38,60926,0
49.76923,38,60985,0
49.8108967,38,61040,0
49.8525633,38,61091,0
49.89423,37,61137,0
49.9358967,37,61178,1
49.9775633,37,61213,0
50.01923,37,61243,0
50.0608967,37,61266,2
50.1025633,37,61284,3
50.14423,37,61297,6
50.1858967,37,61305,54
50.2275633,37,61309,50
50.26923,37,61309,67
50.3108967,37,61305,70
50.3525633,37,61298,9
50.39423,37,61289,10
50.4358967,37,61277,15
50.4775633,37,61263,3
50.51923,37,61247,4
50.5608967,37,61231,12
50.6025633,37,61213,1
50.64423,37,61196,4
