time,births,population,reported_cases
44.01923,5,4933,2
44.0608967,5,4939,1
44.1025633,5,4946,0
44.14423,5,4953,0
44.1858967,5,4960,0
44.2275633,5,4969,0
44.26923,5,4977,2
44.3108967,5,4987,0
44.3525633,5,4997,0
44.39423,5,5008,0
44.4358967,5,5019,0
44.4775633,5,5031,0
44.51923,5,5043,0
44.5608967,5,5057,0
44.6025633,5,5070,0
44.64423,5,5085,1
44.6858967,5,5100,1
44.7275633,5,5115,0
44.76923,5,5131,0
44.8108967,5,5148,0
44.8525633,4,5165,0
44.89423,4,5183,0
44.9358967,4,5201,0
44.9775633,4,5221,0
45.01923,4,5240,0
45.0608967,4,5260,0
45.1025633,4,5281,1
45.14423,4,5302,2
45.1858967,4,5324,1
45.2275633,4,5346,0
45.26923,4,5369,2
45.3108967,4,5392,1
45.3525633,4,5416,3
45.39423,5,5440,8
45.4358967,5,5464,14
45.4775633,5,5489,6
45.51923,5,5514,31
45.5608967,5,5539,41
45.6025633,5,5565,43
45.64423,5,5591,20
45.6858967,5,5617,7
45.7275633,5,5643,8
45.76923,5,5670,2
45.8108967,5,5697,0
45.8525633,5,5724,0
45.89423,5,5751,0
45.9358967,5,5778,0
45.9775633,5,5805,0
46.01923,5,5833,0
46.0608967,5,5860,0
46.1025633,5,5887,0
46.14423,5,5915,0
46.1858967,5,5942,0
46.2275633,5,5969,0
46.26923,5,5996,0
46.3108967,6,6022,0
46.3525633,6,6048,0
46.39423,6,6074,3
46.4358967,6,6099,0
46.4775633,6,6124,0
46.51923,6,6148,4
46.5608967,6,6172,12
46.6025633,6,6195,4
46.64423,6,6217,0
46.6858967,6,6239,1
46.7275633,6,6259,0
46.76923,6,6279,0
46.8108967,6,6298,0
46.8525633,6,6316,0
46.89423,6,6332,3
46.9358967,6,6348,7
46.9775633,6,6363,1
47.01923,6,6376,2
47.0608967,6,6388,14
47.1025633,6,6399,4
47.14423,6,6409,0
47.1858967,6,6418,0
47.2275633,5,6426,0
47.26923,5,6433,0
47.3108967,5,6440,0
47.3525633,5,6445,3
47.39423,5,6450,4
47.4358967,5,6454,2
47.4775633,5,6458,3
47.51923,5,6461,1
47.5608967,5,6464,4
47.6025633,5,6467,2
47.64423,4,6469,5
47.6858967,4,6471,5
47.7275633,4,6473,4
47.76923,4,6475,1
47.8108967,4,6476,0
47.8525633,4,6478,0
47.89423,4,6480,0
47.9358967,4,6482,0
47.9775633,4,6485,0
48.01923,4,6487,0
48.0608967,4,6490,2
48.1025633,4,6494,13
48.14423,4,6497,13
48.1858967,4,6501,2
48.2275633,4,6505,4
48.26923,4,6509,2
48.3108967,4,6514,4
48.3525633,4,6518,13
48.39423,4,6523,66
48.4358967,4,6527,74
48.4775633,4,6532,15
48.51923,4,6537,7
48.5608967,4,6541,0
48.6025633,4,6546,4
48.64423,4,6550,1
48.6858967,4,6555,1
48.7275633,4,6559,0
48.76923,4,6563,0
48.8108967,4,6566,0
48.8525633,5,6570,0
48.89423,5,6573,0
48.9358967,5,6576,0
48.9775633,5,6579,0
49.01923,5,6581,0
49.0608967,5,6583,3
49.1025633,5,6584,3
49.14423,5,6586,0
49.1858967,4,6587,0
49.2275633,4,6588,6
49.26923,4,6588,33
49.3108967,4,6589,12
49.3525633,4,6590,2
49.39423,4,6590,1
49.4358967,4,6591,0
49.4775633,4,6592,4
49.51923,4,6593,0
49.5608967,4,6594,2
49.6025633,4,6595,1
49.64423,4,6597,0
49.6858967,4,6599,0
49.7275633,4,6601,0
49.76923,4,6604,0
49.8108967,4,6607,0
49.8525633,3,6611,0
49.89423,3,6616,0
49.9358967,3,6621,1
49.9775633,3,6627,0
50.01923,3,6633,0
50.0608967,3,6640,0
50.1025633,3,6648,0
50.14423,3,6656,0
50.1858967,3,6665,0
50.2275633,3,6674,0
50.26923,3,6683,0
50.3108967,3,6692,0
50.3525633,3,6702,0
50.39423,3,6711,0
50.4358967,3,6720,1
50.4775633,3,6729,0
50.51923,3,6737,4
50.5608967,3,6745,6
50.6025633,3,6753,3
50.64423,3,6759,2
50.6858967,3,6765,1
50.7275633,3,6770,0
50.76923,3,6774,0
50.8108967,3,6777,0
50.8525633,3,6779,0
50.89423,3,6780,1
50.9358967,3,6779,1
50.9775633,3,6777,0
51.01923,3,6773,0
51.0608967,3,6768,0
51.1025633,3,6761,3
51.14423,3,6753,0
51.1858967,3,6744,10
51.2275633,3,6734,72
51.26923,3,6724,33
51.3108967,3,6712,6
51.3525633,3,6700,4
51.39423,3,6688,8
51.4358967,3,6676,4
51.4775633,4,6663,0
51.51923,4,6651,0
51.5608967,4,6639,0
51.6025633,4,6628,0
51.64423,4,6616,0
51.6858967,4,6606,0
51.7275633,4,6597,0
51.76923,4,6588,0
51.8108967,4,6581,0
51.8525633,4,6575,0
51.89423,4,6570,0
51.9358967,4,6567,0
51.9775633,4,6566,0
52.01923,4,6567,0
52.0608967,4,6569,0
52.1025633,4,6574,0
52.14423,4,6580,0
52.1858967,4,6587,0
52.2275633,4,6596,0
52.26923,4,6607,0
52.3108967,4,6618,0
52.3525633,3,6631,0
52.39423,3,6645,0
52.43589670000001,3,6659,0
52.47756329999999,3,6674,0
52.51923000000001,3,6690,1
52.56089670000001,3,6706,0
52.60256329999999,3,6723,2
52.64423000000001,3,6739,0
52.68589670000001,3,6756,0
52.72756329999999,3,6773,0
52.76923000000001,3,6790,0
52.81089670000001,3,6806,0
52.85256329999999,3,6822,0
52.89423000000001,3,6838,0
52.93589670000001,3,6853,0
52.97756329999999,3,6867,0
53.01923000000001,3,6880,0
53.06089670000001,3,6892,15
53.10256329999999,3,6904,91
53.14423000000001,3,6914,95
53.18589670000001,3,6924,25
53.22756329999999,3,6933,33
53.26923000000001,3,6942,9
53.31089670000001,3,6949,0
53.35256329999999,3,6957,0
53.39423000000001,3,6963,0
53.43589670000001,3,6969,0
53.47756329999999,3,6975,0
53.51923000000001,3,6980,0
53.56089670000001,3,6984,0
53.60256329999999,4,6989,0
53.64423000000001,4,6993,0
53.68589670000001,4,6996,0
53.72756329999999,4,7000,0
53.76923000000001,4,7003,0
53.81089670000001,4,7006,0
53.85256329999999,4,7009,0
53.89423000000001,4,7012,0
53.93589670000001,4,7015,0
53.97756329999999,4,7018,0
54.01923000000001,4,7021,0
54.06089670000001,4,7025,0
54.10256329999999,4,7028,0
54.14423000000001,4,7031,0
54.18589670000001,4,7035,0
54.22756329999999,4,7038,0
54.26923000000001,4,7042,0
54.31089670000001,4,7046,0
54.35256329999999,4,7049,0
54.39423000000001,4,7053,0
54.43589670000001,3,7057,0
54.47756329999999,3,7061,0
54.51923000000001,3,7065,0
