time,births,population,reported_cases
44.01923,63,66945,0
44.0608967,62,66751,1
44.1025633,61,66573,1
44.14423,60,66411,3
44.1858967,60,66264,4
44.2275633,59,66132,3
44.26923,58,66014,11
44.3108967,58,65909,25
44.3525633,57,65817,58
44.39423,56,65736,157
44.4358967,56,65667,231
44.4775633,55,65609,124
44.51923,55,65560,120
44.5608967,54,65521,33
44.6025633,54,65491,8
44.64423,53,65469,1
44.6858967,53,65455,1
44.7275633,52,65447,0
44.76923,52,65445,0
44.8108967,52,65449,0
44.8525633,51,65458,2
44.89423,51,65472,0
44.9358967,51,65488,0
44.9775633,51,65508,0
45.01923,51,65531,0
45.0608967,51,65555,4
45.1025633,50,65580,1
45.14423,50,65608,3
45.1858967,50,65636,3
45.2275633,50,65666,6
45.26923,51,65697,18
45.3108967,51,65728,26
45.3525633,51,65759,57
45.39423,51,65791,48
45.4358967,51,65823,94
45.4775633,51,65855,47
45.51923,52,65886,16
45.5608967,52,65917,29
45.6025633,52,65947,16
45.64423,52,65976,3
45.6858967,53,66003,1
45.7275633,53,66029,2
45.76923,53,66054,2
45.8108967,54,66077,10
45.8525633,54,66097,12
45.89423,55,66115,12
45.9358967,55,66131,4
45.9775633,56,66144,2
46.01923,56,66154,0
46.0608967,57,66162,0
46.1025633,57,66167,2
46.14423,58,66170,1
46.1858967,58,66172,0
46.2275633,59,66173,2
46.26923,59,66173,0
46.3108967,60,66174,2
46.3525633,60,66175,0
46.39423,61,66177,1
46.4358967,61,66180,1
46.4775633,62,66186,0
46.51923,62,66194,0
46.5608967,63,66205,0
46.6025633,63,66219,4
46.64423,63,66237,3
46.6858967,64,66260,14
46.7275633,64,66288,42
46.76923,64,66320,42
46.8108967,64,66359,20
46.8525633,64,66404,14
46.89423,64,66455,23
46.9358967,64,66514,7
46.9775633,64,66581,21
47.01923,64,66656,22
47.0608967,64,66738,59
47.1025633,64,66827,20
47.14423,63,66921,28
47.1858967,63,67018,31
47.2275633,63,67118,8
47.26923,62,67218,13
47.3108967,62,67318,32
47.3525633,61,67416,2
47.39423,61,67510,22
47.4358967,60,67600,28
47.4775633,59,67683,11
47.51923,59,67759,55
47.5608967,58,67825,12
47.6025633,58,67882,5
47.64423,57,67926,2
47.6858967,56,67957,4
47.7275633,56,67973,2
47.76923,55,67973,7
47.8108967,55,67956,9
47.8525633,54,67920,4
47.89423,54,67864,1
47.9358967,53,67786,0
47.9775633,53,67685,0
48.01923,52,67559,2
48.0608967,52,67409,2
48.1025633,51,67238,4
48.14423,51,67049,4
48.1858967,51,66843,24
48.2275633,51,66624,48
48.26923,51,66393,93
48.3108967,50,66155,52
48.3525633,50,65911,41
