time,births,population,reported_cases
44.01923,10,10650,0
44.0608967,9,10630,0
44.1025633,9,10613,0
44.14423,9,10598,0
44.1858967,9,10585,0
44.2275633,9,10574,0
44.26923,8,10566,0
44.3108967,8,10559,2
44.3525633,8,10554,0
44.39423,8,10551,0
44.4358967,8,10550,0
44.4775633,8,10550,0
44.51923,8,10552,0
44.5608967,8,10555,0
44.6025633,8,10560,0
44.64423,8,10566,0
44.6858967,8,10573,0
44.7275633,8,10582,0
44.76923,8,10591,0
44.8108967,8,10602,0
44.8525633,8,10613,0
44.89423,9,10626,0
44.9358967,9,10639,15
44.9775633,9,10652,26
45.01923,9,10667,9
45.0608967,9,10681,2
45.1025633,9,10697,2
45.14423,9,10712,22
45.1858967,9,10728,50
45.2275633,9,10745,37
45.26923,9,10761,20
45.3108967,9,10778,30
45.3525633,9,10795,11
45.39423,10,10812,15
45.4358967,10,10829,11
45.4775633,10,10847,0
45.51923,10,10864,0
45.5608967,10,10881,0
45.6025633,10,10897,0
45.64423,10,10914,0
45.6858967,10,10930,0
45.7275633,10,10946,0
45.76923,10,10962,0
45.8108967,10,10977,0
45.8525633,10,10992,0
45.89423,10,11006,0
45.9358967,10,11020,0
45.9775633,10,11033,0
46.01923,10,11046,0
46.0608967,10,11057,0
46.1025633,10,11068,0
46.14423,10,11079,0
46.1858967,10,11089,0
46.2275633,10,11098,0
46.26923,10,11107,0
46.3108967,10,11115,0
46.3525633,10,11123,1
46.39423,10,11131,0
46.4358967,10,11138,1
46.4775633,10,11145,0
46.51923,10,11152,0
46.5608967,10,11158,2
46.6025633,10,11164,0
46.64423,10,11170,0
46.6858967,10,11176,0
46.7275633,10,11182,0
46.76923,10,11187,0
46.8108967,10,11193,2
46.8525633,10,11199,0
46.89423,10,11205,0
46.9358967,10,11211,0
46.9775633,10,11217,0
47.01923,10,11223,28
47.0608967,10,11229,9
47.1025633,10,11236,3
47.14423,10,11243,0
47.1858967,10,11249,0
47.2275633,10,11256,2
47.26923,10,11263,5
47.3108967,10,11271,8
47.3525633,10,11278,11
47.39423,10,11285,1
47.4358967,10,11293,0
47.4775633,10,11300,2
47.51923,11,11307,0
47.5608967,11,11315,0
47.6025633,11,11322,0
47.64423,11,11330,4
47.6858967,11,11337,0
47.7275633,11,11344,1
47.76923,11,11352,0
