time,births,population,reported_cases
44.01923,4,4334,0
44.0608967,4,4330,0
44.1025633,4,4326,0
44.14423,4,4322,0
44.1858967,4,4319,0
44.2275633,4,4316,2
44.26923,4,4313,6
44.3108967,4,4311,7
44.3525633,4,4309,5
44.39423,4,4307,4
44.4358967,4,4306,1
44.4775633,4,4305,0
44.51923,4,4304,0
44.5608967,4,4304,0
44.6025633,4,4303,1
44.64423,4,4303,0
44.6858967,4,4303,0
44.7275633,4,4304,0
44.76923,4,4304,0
44.8108967,4,4305,0
44.8525633,4,4306,0
44.89423,4,4307,0
44.9358967,4,4309,0
44.9775633,3,4310,0
45.01923,3,4312,0
45.0608967,3,4314,0
45.1025633,3,4316,4
45.14423,3,4318,2
45.1858967,3,4320,0
45.2275633,3,4323,0
45.26923,3,4325,0
45.3108967,3,4328,0
45.3525633,3,4331,0
45.39423,3,4334,0
45.4358967,3,4337,0
45.4775633,3,4340,0
45.51923,3,4343,0
45.5608967,3,4347,0
45.6025633,3,4350,0
45.64423,3,4354,0
45.6858967,3,4358,0
45.7275633,3,4361,0
45.76923,3,4365,0
45.8108967,3,4369,0
45.8525633,3,4373,0
45.89423,3,4377,0
45.9358967,3,4381,0
45.9775633,3,4385,0
46.01923,3,4389,0
46.0608967,3,4393,0
46.1025633,3,4397,0
46.14423,3,4401,0
46.1858967,3,4406,0
46.2275633,3,4410,0
46.26923,3,4414,0
46.3108967,3,4418,0
46.3525633,3,4422,0
46.39423,3,4427,0
46.4358967,3,4431,0
46.4775633,3,4435,0
46.51923,3,4439,0
46.5608967,3,4444,0
46.6025633,3,4448,0
46.64423,4,4452,0
46.6858967,4,4456,0
46.7275633,4,4460,0
46.76923,4,4465,0
46.8108967,4,4469,0
46.8525633,4,4473,0
46.89423,4,4477,0
46.9358967,4,4481,0
46.9775633,4,4485,0
47.01923,4,4489,0
47.0608967,4,4493,0
47.1025633,4,4497,0
47.14423,4,4500,0
47.1858967,4,4504,0
47.2275633,4,4507,8
47.26923,4,4511,0
47.3108967,4,4514,0
47.3525633,4,4517,0
47.39423,4,4520,0
47.4358967,4,4523,0
47.4775633,4,4526,0
47.51923,4,4528,0
47.5608967,4,4530,0
47.6025633,4,4532,0
47.64423,4,4534,0
47.6858967,4,4536,0
47.7275633,4,4537,0
47.76923,4,4538,0
47.8108967,4,4538,0
47.8525633,4,4539,8
47.89423,4,4539,2
47.9358967,4,4538,0
47.9775633,4,4538,0
48.01923,4,4536,0
48.0608967,4,4535,0
48.1025633,4,4533,0
48.14423,4,4531,0
48.1858967,4,4529,0
48.2275633,4,4527,0
48.26923,4,4524,0
48.3108967,4,4521,0
48.3525633,4,4519,0
48.39423,4,4516,0
48.4358967,3,4513,0
48.4775633,3,4510,0
48.51923,3,4507,0
48.5608967,3,4505,0
48.6025633,3,4502,0
48.64423,3,4500,0
48.6858967,3,4498,0
48.7275633,3,4496,0
48.76923,3,4495,0
48.8108967,3,4494,0
48.8525633,3,4493,0
48.89423,3,4493,0
48.9358967,3,4494,0
48.9775633,3,4494,0
49.01923,3,4496,0
49.0608967,3,4498,0
49.1025633,3,4500,0
49.14423,3,4503,0
49.1858967,3,4506,0
49.2275633,3,4510,0
49.26923,3,4514,0
49.3108967,3,4518,0
49.3525633,3,4522,0
49.39423,3,4526,0
49.4358967,3,4531,0
49.4775633,3,4535,0
49.51923,3,4540,0
49.5608967,3,4544,0
49.6025633,3,4549,0
49.64423,3,4553,0
49.6858967,3,4557,0
49.7275633,3,4560,0
49.76923,3,4564,0
49.8108967,3,4566,0
49.8525633,3,4569,0
49.89423,3,4571,0
49.9358967,3,4572,0
49.9775633,3,4573,0
50.01923,3,4573,0
50.0608967,3,4572,0
50.1025633,4,4571,0
50.14423,4,4569,0
50.1858967,4,4567,0
50.2275633,4,4564,0
50.26923,4,4561,0
50.3108967,4,4557,0
50.3525633,3,4553,0
50.39423,3,4548,0
50.4358967,3,4544,0
50.4775633,3,4538,0
50.51923,3,4533,0
50.5608967,3,4527,0
50.6025633,3,4522,0
50.64423,3,4516,0
50.6858967,3,4510,0
50.7275633,3,4504,6
50.76923,3,4498,49
50.8108967,3,4492,4
50.8525633,3,4486,3
50.89423,3,4480,0
50.9358967,3,4474,1
50.9775633,3,4469,0
51.01923,3,4464,0
51.0608967,3,4459,1
51.1025633,3,4454,1
51.14423,3,4449,0
51.1858967,3,4445,0
51.2275633,3,4441,0
51.26923,3,4437,2
51.3108967,3,4433,0
51.3525633,3,4429,4
51.39423,3,4426,2
51.4358967,3,4423,3
51.4775633,3,4420,0
51.51923,3,4417,2
51.5608967,3,4414,0
51.6025633,3,4412,0
51.64423,3,4409,0
51.6858967,3,4407,0
51.7275633,3,4405,0
51.76923,3,4403,0
51.8108967,3,4401,0
51.8525633,3,4399,0
51.89423,3,4397,0
51.9358967,3,4395,0
51.9775633,3,4394,0
52.01923,3,4392,0
52.0608967,3,4391,0
52.1025633,3,4390,0
52.14423,3,4388,0
52.1858967,3,4387,0
52.2275633,3,4386,0
52.26923,3,4385,0
52.3108967,3,4384,0
52.3525633,3,4383,0
52.39423,3,4382,0
52.43589670000001,3,4382,0
52.47756329999999,3,4381,0
52.51923000000001,3,4381,0
52.56089670000001,3,4380,0
52.60256329999999,3,4380,0
52.64423000000001,3,4380,0
52.68589670000001,3,4380,0
52.72756329999999,3,4380,0
52.76923000000001,3,4380,0
52.81089670000001,3,4380,0
52.85256329999999,3,4380,0
52.89423000000001,3,4381,0
52.93589670000001,3,4381,0
52.97756329999999,3,4382,0
