time,births,population,reported_cases
44.01923,4,4429,0
44.0608967,4,4424,0
44.1025633,4,4419,0
44.14423,4,4415,0
44.1858967,4,4411,0
44.2275633,4,4407,0
44.26923,4,4404,0
44.3108967,4,4401,0
44.3525633,4,4398,0
44.39423,4,4396,0
44.4358967,4,4394,0
44.4775633,4,4393,0
44.51923,4,4391,0
44.5608967,4,4391,0
44.6025633,4,4390,0
44.64423,4,4390,0
44.6858967,4,4390,0
44.7275633,4,4390,0
44.76923,4,4391,0
44.8108967,4,4392,0
44.8525633,4,4393,0
44.89423,4,4395,1
44.9358967,4,4397,1
44.9775633,4,4400,0
45.01923,4,4402,0
45.0608967,4,4405,0
45.1025633,4,4409,0
45.14423,4,4412,0
45.1858967,4,4416,5
45.2275633,4,4420,51
45.26923,4,4425,49
45.3108967,4,4430,25
45.3525633,4,4435,14
45.39423,4,4440,4
45.4358967,4,4445,1
45.4775633,4,4451,0
45.51923,4,4457,0
45.5608967,4,4463,0
45.6025633,4,4470,0
45.64423,4,4476,0
45.6858967,4,4483,0
45.7275633,4,4490,0
45.76923,4,4497,0
45.8108967,4,4505,0
45.8525633,4,4512,0
45.89423,4,4520,0
45.9358967,4,4528,0
45.9775633,4,4536,0
46.01923,4,4544,0
46.0608967,4,4552,0
46.1025633,4,4560,0
46.14423,4,4569,0
46.1858967,4,4577,0
46.2275633,4,4585,0
46.26923,4,4594,0
46.3108967,5,4602,0
46.3525633,5,4611,0
46.39423,5,4619,0
46.4358967,5,4628,0
46.4775633,5,4636,0
46.51923,5,4644,0
46.5608967,5,4653,0
46.6025633,5,4661,0
46.64423,5,4669,0
46.6858967,5,4676,0
46.7275633,5,4684,2
46.76923,5,4691,0
46.8108967,5,4698,0
46.8525633,5,4705,0
46.89423,5,4712,0
46.9358967,5,4719,0
46.9775633,5,4725,0
47.01923,5,4731,0
47.0608967,5,4736,0
47.1025633,5,4742,0
47.14423,5,4747,0
47.1858967,5,4752,0
47.2275633,5,4756,0
47.26923,4,4761,0
47.3108967,4,4766,0
47.3525633,4,4770,0
47.39423,4,4774,0
47.4358967,4,4779,0
47.4775633,4,4783,0
47.51923,4,4788,0
47.5608967,4,4793,0
47.6025633,4,4797,0
47.64423,4,4802,0
47.6858967,4,4807,0
47.7275633,4,4813,0
47.76923,4,4818,0
47.8108967,4,4824,0
47.8525633,4,4831,0
47.89423,4,4837,0
47.9358967,4,4844,0
47.9775633,4,4852,0
48.01923,4,4860,0
48.0608967,4,4868,0
48.1025633,4,4877,1
48.14423,4,4886,8
48.1858967,4,4896,1
48.2275633,4,4906,0
48.26923,4,4916,0
48.3108967,4,4926,0
48.3525633,4,4937,0
48.39423,4,4948,0
48.4358967,4,4959,0
48.4775633,5,4971,0
48.51923,5,4982,0
48.5608967,5,4993,0
48.6025633,5,5005,0
48.64423,5,5016,1
48.6858967,5,5028,0
48.7275633,5,5039,0
48.76923,5,5051,0
48.8108967,5,5062,0
48.8525633,5,5073,0
48.89423,5,5084,0
48.9358967,5,5095,0
48.9775633,5,5105,0
49.01923,5,5116,0
49.0608967,6,5126,3
49.1025633,6,5135,4
49.14423,6,5145,0
49.1858967,6,5154,0
49.2275633,6,5162,0
49.26923,6,5171,0
49.3108967,6,5179,0
49.3525633,6,5186,0
49.39423,6,5193,0
49.4358967,6,5200,0
49.4775633,6,5206,0
49.51923,6,5212,0
49.5608967,6,5218,0
49.6025633,6,5223,0
49.64423,6,5228,0
49.6858967,6,5232,0
49.7275633,6,5235,0
49.76923,6,5239,0
49.8108967,6,5241,0
49.8525633,6,5244,0
49.89423,6,5245,0
49.9358967,6,5246,0
49.9775633,6,5247,0
50.01923,5,5247,0
50.0608967,5,5246,0
50.1025633,5,5245,0
50.14423,5,5244,0
50.1858967,5,5242,1
50.2275633,5,5240,2
50.26923,5,5238,0
50.3108967,5,5236,0
50.3525633,5,5233,1
50.39423,5,5231,4
50.4358967,5,5228,1
50.4775633,5,5226,0
50.51923,5,5224,0
50.5608967,5,5222,17
50.6025633,5,5220,71
50.64423,5,5219,62
50.6858967,5,5218,27
50.7275633,5,5218,26
50.76923,5,5218,22
50.8108967,5,5219,13
50.8525633,5,5221,45
50.89423,5,5223,17
50.9358967,5,5226,10
50.9775633,5,5230,0
51.01923,5,5235,2
51.0608967,5,5241,3
51.1025633,5,5248,0
51.14423,5,5256,0
51.1858967,5,5264,0
51.2275633,5,5273,0
51.26923,5,5282,2
51.3108967,5,5292,2
51.3525633,5,5302,0
51.39423,5,5313,0
51.4358967,5,5324,1
51.4775633,5,5334,0
51.51923,5,5345,2
51.5608967,5,5356,2
51.6025633,5,5367,1
51.64423,5,5377,0
51.6858967,5,5387,0
51.7275633,5,5397,0
51.76923,5,5406,0
51.8108967,5,5415,0
51.8525633,5,5423,0
51.89423,5,5431,0
51.9358967,5,5437,0
51.9775633,5,5443,0
52.01923,5,5448,0
52.0608967,5,5452,0
52.1025633,5,5455,0
52.14423,5,5457,1
52.1858967,5,5458,0
52.2275633,5,5459,4
52.26923,5,5459,6
52.3108967,5,5458,5
52.3525633,5,5457,1
52.39423,5,5455,6
52.43589670000001,5,5453,34
52.47756329999999,5,5450,30
52.51923000000001,5,5447,13
52.56089670000001,5,5444,5
52.60256329999999,4,5440,2
52.64423000000001,4,5437,0
52.68589670000001,4,5433,0
52.72756329999999,4,5429,0
52.76923000000001,4,5425,0
52.81089670000001,4,5422,0
52.85256329999999,4,5418,0
52.89423000000001,4,5415,1
52.93589670000001,4,5412,0
52.97756329999999,4,5409,0
53.01923000000001,4,5407,0
53.06089670000001,4,5405,0
53.10256329999999,4,5403,1
53.14423000000001,4,5402,0
53.18589670000001,4,5401,0
53.22756329999999,4,5401,2
53.26923000000001,4,5400,6
53.31089670000001,4,5400,0
53.35256329999999,4,5400,1
53.39423000000001,4,5401,1
53.43589670000001,4,5401,0
53.47756329999999,4,5402,0
53.51923000000001,5,5402,0
53.56089670000001,5,5403,0
53.60256329999999,5,5404,0
53.64423000000001,5,5405,0
53.68589670000001,5,5406,0
53.72756329999999,5,5407,0
53.76923000000001,5,5407,0
53.81089670000001,5,5408,0
53.85256329999999,5,5409,0
53.89423000000001,5,5409,0
53.93589670000001,5,5410,0
53.97756329999999,5,5410,0
54.01923000000001,5,5410,0
54.06089670000001,5,5410,0
54.10256329999999,5,5409,0
54.14423000000001,5,5409,0
54.18589670000001,5,5408,0
54.22756329999999,5,5407,0
54.26923000000001,5,5406,0
54.31089670000001,5,5405,0
54.35256329999999,5,5404,0
54.39423000000001,5,5402,0
54.43589670000001,5,5401,0
54.47756329999999,5,5399,0
54.51923000000001,5,5398,0
54.56089670000001,5,5396,0
54.60256329999999,4,5394,1
54.64423000000001,4,5393,2
54.68589670000001,4,5391,0
54.72756329999999,4,5389,0
54.76923000000001,4,5388,0
54.81089670000001,4,5386,0
54.85256329999999,4,5385,0
54.89423000000001,4,5383,0
54.93589670000001,4,5382,0
54.97756329999999,4,5381,0
55.01923000000001,4,5379,2
55.06089670000001,4,5378,5
55.10256329999999,4,5378,10
55.14423000000001,4,5377,104
55.18589670000001,4,5376,52
55.22756329999999,4,5376,14
55.26923000000001,4,5376,12
55.31089670000001,4,5375,0
55.35256329999999,4,5375,1
55.39423000000001,4,5376,0
55.43589670000001,4,5376,0
55.47756329999999,4,5376,0
55.51923000000001,4,5377,0
55.56089670000001,4,5378,0
55.60256329999999,4,5379,0
55.64423000000001,4,5380,2
55.68589670000001,4,5382,0
55.72756329999999,4,5384,0
55.76923000000001,4,5386,0
55.81089670000001,5,5388,0
55.85256329999999,4,5390,0
55.89423000000001,4,5392,0
55.93589670000001,4,5395,0
55.97756329999999,4,5398,0
56.01923000000001,4,5402,0
56.06089670000001,4,5405,0
56.10256329999999,4,5409,0
56.14423000000001,4,5413,1
56.18589670000001,4,5417,0
56.22756329999999,4,5421,0
56.26923000000001,4,5425,0
56.31089670000001,4,5430,0
56.35256329999999,4,5434,0
56.39423000000001,4,5439,0
56.43589670000001,4,5443,0
56.47756329999999,4,5448,0
56.51923000000001,4,5453,0
56.56089670000001,4,5457,0
56.60256329999999,4,5462,0
56.64423000000001,4,5466,0
56.68589670000001,4,5471,0
56.72756329999999,4,5475,0
56.76923000000001,3,5480,0
56.81089670000001,3,5484,0
56.85256329999999,3,5488,0
56.89423000000001,3,5491,0
56.93589670000001,3,5495,0
56.97756329999999,3,5498,0
57.01923000000001,3,5501,0
57.06089670000001,3,5504,0
57.10256329999999,3,5507,0
57.14423000000001,4,5509,0
57.18589670000001,4,5511,0
57.22756329999999,4,5513,2
57.26923000000001,4,5515,0
