time,births,population,reported_cases
44.01923,3,3622,2
44.0608967,3,3616,2
44.1025633,3,3610,0
44.14423,3,3603,0
44.1858967,3,3597,0
44.2275633,3,3590,0
44.26923,3,3583,0
44.3108967,3,3575,2
44.3525633,3,3568,4
44.39423,3,3561,0
44.4358967,3,3554,0
44.4775633,3,3546,0
44.51923,3,3539,2
44.5608967,3,3531,4
44.6025633,3,3524,0
44.64423,3,3517,0
44.6858967,3,3510,0
44.7275633,3,3503,0
44.76923,3,3496,0
44.8108967,3,3489,0
44.8525633,3,3482,0
44.89423,3,3476,0
44.9358967,3,3470,0
44.9775633,3,3464,0
45.01923,3,3458,0
45.0608967,3,3453,0
45.1025633,3,3448,1
45.14423,3,3444,0
45.1858967,3,3439,0
45.2275633,3,3435,0
45.26923,3,3431,0
45.3108967,3,3428,1
45.3525633,3,3425,4
45.39423,3,3422,6
45.4358967,3,3420,12
45.4775633,3,3418,11
45.51923,3,3416,2
45.5608967,3,3415,8
45.6025633,3,3414,10
45.64423,3,3414,2
45.6858967,3,3414,0
45.7275633,3,3414,0
45.76923,3,3415,0
45.8108967,3,3416,0
45.8525633,3,3417,0
45.89423,3,3419,0
45.9358967,3,3422,0
45.9775633,3,3424,0
46.01923,3,3428,0
46.0608967,3,3431,0
46.1025633,3,3435,0
46.14423,3,3440,0
46.1858967,3,3444,0
46.2275633,3,3449,0
46.26923,3,3454,0
46.3108967,3,3460,0
46.3525633,3,3465,0
46.39423,3,3471,0
46.4358967,3,3477,0
46.4775633,3,3482,0
46.51923,3,3488,0
46.5608967,3,3494,0
46.6025633,3,3499,0
46.64423,3,3505,0
46.6858967,3,3510,0
46.7275633,3,3515,0
46.76923,3,3520,0
46.8108967,3,3524,0
46.8525633,3,3529,0
46.89423,3,3532,0
46.9358967,3,3536,0
46.9775633,3,3539,0
47.01923,3,3541,0
47.0608967,3,3543,0
47.1025633,3,3544,0
47.14423,3,3546,2
47.1858967,3,3546,2
47.2275633,3,3546,0
47.26923,3,3546,0
47.3108967,3,3546,0
47.3525633,3,3545,0
47.39423,3,3544,2
47.4358967,3,3542,0
47.4775633,3,3541,0
47.51923,2,3539,0
47.5608967,2,3537,0
47.6025633,2,3534,0
47.64423,2,3532,0
47.6858967,2,3530,0
47.7275633,2,3527,0
47.76923,2,3524,0
47.8108967,2,3522,0
47.8525633,2,3519,0
47.89423,2,3517,0
47.9358967,2,3514,0
47.9775633,2,3511,0
