time,births,population,reported_cases
44.01923,21,20530,0
44.0608967,20,20473,0
44.1025633,20,20423,0
44.14423,20,20382,0
44.1858967,20,20348,0
44.2275633,19,20322,0
44.26923,19,20302,0
44.3108967,19,20290,0
44.3525633,19,20283,0
44.39423,19,20283,2
44.4358967,18,20289,1
44.4775633,18,20301,1
44.51923,18,20317,2
44.5608967,18,20338,2
44.6025633,18,20364,0
44.64423,18,20394,0
44.6858967,18,20429,2
44.7275633,18,20466,0
44.76923,18,20507,20
44.8108967,18,20551,31
44.8525633,18,20598,15
44.89423,18,20647,14
44.9358967,18,20698,29
44.9775633,18,20751,28
45.01923,18,20805,32
45.0608967,18,20861,63
45.1025633,18,20917,66
45.14423,18,20974,24
45.1858967,18,21032,9
45.2275633,18,21091,6
45.26923,18,21149,7
45.3108967,18,21208,11
45.3525633,18,21267,2
45.39423,18,21325,0
45.4358967,18,21383,0
45.4775633,19,21440,0
45.51923,19,21497,2
45.5608967,19,21552,0
45.6025633,19,21606,0
45.64423,19,21659,2
45.6858967,19,21711,0
45.7275633,19,21760,0
45.76923,20,21808,0
45.8108967,20,21854,2
45.8525633,20,21897,0
45.89423,20,21938,0
45.9358967,20,21976,0
45.9775633,21,22012,0
46.01923,21,22045,0
46.0608967,21,22074,0
46.1025633,21,22101,1
46.14423,22,22125,0
46.1858967,22,22147,2
46.2275633,22,22167,0
46.26923,22,22184,0
46.3108967,22,22200,0
46.3525633,23,22214,0
46.39423,23,22227,0
46.4358967,23,22238,0
46.4775633,23,22249,0
46.51923,24,22258,0
46.5608967,24,22267,1
46.6025633,24,22276,0
46.64423,24,22284,0
46.6858967,24,22292,2
46.7275633,24,22300,4
46.76923,24,22308,0
46.8108967,25,22317,2
46.8525633,25,22327,4
46.89423,25,22338,9
46.9358967,25,22349,42
46.9775633,25,22362,98
47.01923,25,22377,54
47.0608967,25,22393,25
47.1025633,25,22410,12
47.14423,25,22429,11
47.1858967,25,22448,0
47.2275633,24,22469,0
47.26923,24,22490,0
47.3108967,24,22512,2
47.3525633,24,22535,2
47.39423,24,22558,0
47.4358967,24,22581,0
47.4775633,24,22605,1
47.51923,24,22628,1
47.5608967,24,22651,1
