time,births,population,reported_cases
44.01923,12,17655,0
44.0608967,12,17604,0
44.1025633,12,17559,1
44.14423,12,17519,0
44.1858967,12,17484,2
44.2275633,12,17453,0
44.26923,12,17428,0
44.3108967,12,17407,0
44.3525633,11,17390,0
44.39423,11,17378,0
44.4358967,11,17369,0
44.4775633,11,17364,0
44.51923,11,17363,0
44.5608967,11,17365,10
44.6025633,11,17371,22
44.64423,11,17379,9
44.6858967,11,17390,12
44.7275633,11,17404,1
44.76923,11,17421,6
44.8108967,11,17440,5
44.8525633,11,17461,16
44.89423,11,17484,15
44.9358967,11,17509,8
44.9775633,11,17535,18
45.01923,11,17563,6
45.0608967,11,17592,23
45.1025633,11,17622,19
45.14423,11,17654,23
45.1858967,11,17686,45
45.2275633,11,17719,43
45.26923,11,17753,71
45.3108967,11,17787,11
45.3525633,11,17822,1
45.39423,12,17858,6
45.4358967,12,17893,6
45.4775633,12,17929,1
45.51923,12,17964,2
45.5608967,12,18000,11
45.6025633,12,18035,7
45.64423,12,18070,2
45.6858967,13,18105,0
45.7275633,13,18139,0
45.76923,13,18172,0
45.8108967,13,18205,0
45.8525633,13,18237,0
45.89423,13,18267,0
45.9358967,14,18297,0
45.9775633,14,18325,0
46.01923,14,18352,0
46.0608967,14,18378,0
46.1025633,14,18402,0
46.14423,15,18425,0
46.1858967,15,18447,0
46.2275633,15,18468,0
46.26923,15,18488,0
46.3108967,15,18507,0
46.3525633,16,18525,0
46.39423,16,18543,1
46.4358967,16,18559,1
46.4775633,16,18575,2
46.51923,16,18591,2
46.5608967,16,18606,0
46.6025633,17,18621,1
46.64423,17,18636,2
46.6858967,17,18650,6
46.7275633,17,18664,17
46.76923,17,18678,9
46.8108967,17,18693,35
46.8525633,17,18707,24
46.89423,17,18722,15
46.9358967,17,18736,6
46.9775633,17,18752,8
47.01923,17,18767,15
47.0608967,17,18783,2
47.1025633,17,18800,3
47.14423,17,18817,1
47.1858967,17,18834,2
47.2275633,16,18851,0
47.26923,16,18868,6
47.3108967,16,18886,5
47.3525633,16,18903,1
47.39423,16,18921,3
47.4358967,16,18938,9
47.4775633,15,18955,9
47.51923,15,18972,19
47.5608967,15,18988,2
47.6025633,15,19005,1
47.64423,14,19021,2
47.6858967,14,19036,4
47.7275633,14,19051,2
47.76923,14,19065,19
47.8108967,14,19079,24
47.8525633,14,19091,13
47.89423,13,19103,16
47.9358967,13,19115,23
47.9775633,13,19125,22
48.01923,13,19134,6
48.0608967,13,19143,0
48.1025633,13,19150,3
48.14423,13,19157,0
48.1858967,13,19162,2
48.2275633,13,19168,0
48.26923,13,19172,0
48.3108967,13,19176,1
48.3525633,13,19179,0
48.39423,13,19182,2
48.4358967,13,19185,3
48.4775633,13,19187,5
48.51923,13,19189,0
48.5608967,13,19191,31
48.6025633,13,19193,19
48.64423,13,19195,13
48.6858967,13,19197,6
48.7275633,13,19199,17
48.76923,13,19201,41
48.8108967,13,19204,51
48.8525633,14,19207,35
48.89423,14,19210,21
48.9358967,14,19213,12
48.9775633,14,19218,1
49.01923,14,19222,2
49.0608967,14,19228,9
49.1025633,14,19233,1
49.14423,14,19240,1
49.1858967,14,19246,0
49.2275633,14,19253,0
49.26923,14,19260,0
49.3108967,14,19267,0
49.3525633,14,19273,0
49.39423,14,19280,0
49.4358967,14,19286,1
49.4775633,14,19292,2
49.51923,13,19298,0
49.5608967,13,19303,2
49.6025633,13,19308,0
49.64423,13,19311,8
49.6858967,13,19314,0
49.7275633,13,19316,0
49.76923,13,19317,0
49.8108967,13,19317,0
49.8525633,13,19316,1
49.89423,13,19313,0
49.9358967,13,19309,1
49.9775633,13,19304,0
50.01923,13,19297,0
50.0608967,12,19288,0
50.1025633,12,19278,1
50.14423,12,19267,0
50.1858967,12,19254,0
50.2275633,12,19240,0
50.26923,12,19225,0
50.3108967,12,19210,0
50.3525633,12,19193,1
50.39423,12,19176,8
50.4358967,12,19159,6
50.4775633,12,19140,4
50.51923,12,19122,0
50.5608967,12,19103,13
50.6025633,12,19084,33
50.64423,11,19066,46
50.6858967,11,19047,59
50.7275633,11,19028,85
50.76923,11,19010,61
50.8108967,11,18992,75
50.8525633,11,18975,33
50.89423,11,18958,16
50.9358967,11,18943,6
50.9775633,11,18928,0
51.01923,11,18914,0
51.0608967,11,18901,2
51.1025633,11,18889,1
51.14423,11,18878,2
51.1858967,11,18867,0
51.2275633,11,18858,3
51.26923,11,18849,19
51.3108967,11,18841,25
51.3525633,11,18834,4
51.39423,11,18827,0
51.4358967,11,18821,3
51.4775633,11,18815,18
51.51923,11,18810,6
51.5608967,11,18805,0
51.6025633,12,18800,0
51.64423,12,18796,0
51.6858967,12,18791,0
51.7275633,12,18787,0
51.76923,12,18783,0
51.8108967,12,18779,0
51.8525633,12,18775,0
51.89423,12,18771,1
51.9358967,12,18767,0
51.9775633,12,18762,0
52.01923,12,18758,0
52.0608967,12,18753,0
52.1025633,11,18748,0
52.14423,11,18742,0
52.1858967,11,18737,0
52.2275633,11,18731,3
52.26923,11,18725,0
52.3108967,11,18719,4
52.3525633,11,18713,5
52.39423,11,18707,2
52.43589670000001,11,18701,12
52.47756329999999,11,18695,9
52.51923000000001,11,18689,13
52.56089670000001,11,18683,8
52.60256329999999,11,18677,27
52.64423000000001,11,18671,34
52.68589670000001,11,18666,41
52.72756329999999,11,18660,32
52.76923000000001,10,18655,24
52.81089670000001,10,18650,39
52.85256329999999,10,18645,38
52.89423000000001,10,18640,38
52.93589670000001,10,18636,34
52.97756329999999,10,18632,24
53.01923000000001,10,18628,6
53.06089670000001,10,18625,9
53.10256329999999,10,18622,0
53.14423000000001,10,18619,0
53.18589670000001,10,18617,0
53.22756329999999,10,18615,0
53.26923000000001,10,18613,0
53.31089670000001,10,18611,0
