time,births,population,reported_cases
44.01923,92,107873,0
44.0608967,91,107273,11
44.1025633,89,106758,10
44.14423,88,106326,10
44.1858967,87,105973,21
44.2275633,87,105697,20
44.26923,86,105494,9
44.3108967,85,105362,43
44.3525633,85,105296,24
44.39423,84,105295,31
44.4358967,84,105355,27
44.4775633,84,105473,11
44.51923,84,105645,27
44.5608967,84,105870,22
44.6025633,84,106143,18
44.64423,84,106462,3
44.6858967,84,106823,0
44.7275633,84,107224,4
44.76923,85,107661,4
44.8108967,85,108131,0
44.8525633,86,108632,4
44.89423,87,109159,2
44.9358967,87,109711,1
44.9775633,88,110284,2
45.01923,89,110875,2
45.0608967,89,111481,5
45.1025633,90,112100,43
45.14423,91,112730,141
45.1858967,92,113370,203
45.2275633,93,114017,284
45.26923,94,114669,146
45.3108967,95,115325,86
45.3525633,96,115981,64
45.39423,98,116637,61
45.4358967,99,117290,29
45.4775633,100,117938,17
45.51923,101,118580,11
45.5608967,102,119212,2
45.6025633,103,119834,3
45.64423,104,120443,3
45.6858967,106,121037,1
45.7275633,107,121614,0
45.76923,108,122172,0
45.8108967,109,122709,0
45.8525633,110,123224,4
45.89423,111,123713,2
45.9358967,112,124176,2
45.9775633,113,124609,0
46.01923,114,125012,0
46.0608967,115,125383,5
46.1025633,116,125725,2
46.14423,117,126038,2
46.1858967,118,126324,11
46.2275633,119,126584,18
46.26923,119,126821,42
46.3108967,120,127035,45
46.3525633,121,127227,67
46.39423,121,127400,92
46.4358967,122,127555,58
46.4775633,122,127693,46
46.51923,123,127816,33
46.5608967,123,127925,20
46.6025633,123,128021,10
46.64423,123,128107,10
46.6858967,123,128183,4
46.7275633,124,128251,4
46.76923,124,128312,0
46.8108967,123,128368,2
46.8525633,123,128421,2
46.89423,123,128472,7
46.9358967,123,128521,48
46.9775633,122,128572,63
47.01923,122,128625,36
47.0608967,121,128680,36
47.1025633,121,128738,79
47.14423,120,128798,65
47.1858967,119,128860,51
47.2275633,118,128924,74
47.26923,117,128989,98
47.3108967,116,129055,87
47.3525633,115,129121,134
47.39423,114,129188,153
47.4358967,113,129255,99
47.4775633,112,129322,63
47.51923,111,129388,53
47.5608967,110,129453,44
47.6025633,109,129516,18
47.64423,108,129578,10
47.6858967,107,129639,5
47.7275633,105,129697,5
47.76923,104,129752,30
47.8108967,103,129805,22
47.8525633,102,129855,5
47.89423,101,129901,7
47.9358967,100,129943,10
47.9775633,99,129981,17
48.01923,98,130015,11
48.0608967,98,130044,9
48.1025633,97,130070,11
48.14423,96,130091,31
48.1858967,96,130108,39
48.2275633,95,130122,36
48.26923,94,130133,100
48.3108967,94,130141,121
48.3525633,93,130145,125
48.39423,93,130148,85
48.4358967,93,130148,81
48.4775633,92,130146,54
48.51923,92,130142,36
48.5608967,91,130136,34
48.6025633,91,130129,8
48.64423,91,130121,8
48.6858967,90,130112,1
48.7275633,90,130102,1
48.76923,90,130092,2
48.8108967,89,130082,0
48.8525633,89,130072,1
48.89423,89,130062,4
48.9358967,88,130053,2
48.9775633,88,130044,7
49.01923,88,130037,33
49.0608967,87,130030,30
49.1025633,87,130024,57
49.14423,86,130018,104
49.1858967,86,130013,143
49.2275633,86,130007,142
49.26923,85,130000,98
49.3108967,85,129992,72
49.3525633,84,129983,67
49.39423,84,129972,53
49.4358967,83,129958,88
49.4775633,83,129943,44
49.51923,82,129924,4
49.5608967,82,129903,10
49.6025633,81,129878,0
49.64423,81,129849,7
49.6858967,81,129816,1
49.7275633,80,129779,2
49.76923,80,129737,2
49.8108967,79,129689,3
49.8525633,79,129636,1
49.89423,78,129578,3
49.9358967,78,129513,2
49.9775633,78,129441,2
50.01923,77,129363,0
50.0608967,77,129278,3
50.1025633,77,129187,1
50.14423,76,129090,1
50.1858967,76,128988,1
50.2275633,76,128881,2
50.26923,76,128770,2
50.3108967,76,128657,12
50.3525633,75,128540,44
50.39423,75,128421,68
50.4358967,75,128301,97
50.4775633,75,128179,89
50.51923,75,128057,33
50.5608967,75,127935,72
50.6025633,74,127814,105
50.64423,74,127694,73
50.6858967,74,127575,30
50.7275633,74,127459,17
50.76923,74,127346,93
50.8108967,74,127237,150
50.8525633,74,127132,106
50.89423,74,127031,115
50.9358967,74,126935,161
50.9775633,74,126846,211
51.01923,74,126762,402
51.0608967,74,126686,181
51.1025633,74,126615,140
51.14423,73,126550,120
51.1858967,73,126490,132
51.2275633,73,126435,110
51.26923,73,126385,144
51.3108967,73,126338,51
51.3525633,73,126296,75
51.39423,73,126256,62
51.4358967,73,126220,51
51.4775633,73,126186,27
51.51923,73,126153,9
51.5608967,73,126123,2
51.6025633,73,126094,7
51.64423,73,126066,2
51.6858967,73,126038,4
51.7275633,73,126010,3
51.76923,73,125982,4
51.8108967,73,125953,2
51.8525633,73,125922,4
51.89423,73,125891,1
51.9358967,73,125857,1
51.9775633,73,125821,0
52.01923,73,125782,2
52.0608967,73,125740,19
52.1025633,73,125695,33
52.14423,73,125648,34
52.1858967,73,125598,37
52.2275633,73,125546,11
52.26923,74,125492,13
52.3108967,74,125437,3
52.3525633,73,125379,8
52.39423,73,125320,34
52.43589670000001,73,125260,64
52.47756329999999,73,125198,78
52.51923000000001,73,125135,103
52.56089670000001,73,125072,112
52.60256329999999,73,125008,63
52.64423000000001,73,124944,69
52.68589670000001,73,124879,19
52.72756329999999,73,124814,40
52.76923000000001,73,124749,82
52.81089670000001,73,124685,179
52.85256329999999,73,124621,150
52.89423000000001,73,124557,251
52.93589670000001,73,124495,220
52.97756329999999,73,124433,99
53.01923000000001,72,124372,184
53.06089670000001,72,124313,164
53.10256329999999,72,124255,198
53.14423000000001,72,124197,168
53.18589670000001,72,124141,111
53.22756329999999,72,124086,59
53.26923000000001,71,124032,49
53.31089670000001,71,123979,19
53.35256329999999,71,123927,7
53.39423000000001,71,123876,16
53.43589670000001,71,123825,3
53.47756329999999,70,123776,8
53.51923000000001,70,123727,0
53.56089670000001,70,123678,4
53.60256329999999,70,123631,3
53.64423000000001,70,123584,1
53.68589670000001,69,123537,0
53.72756329999999,69,123491,0
53.76923000000001,69,123446,2
53.81089670000001,69,123401,0
53.85256329999999,68,123356,0
53.89423000000001,68,123311,0
53.93589670000001,68,123267,0
