time,births,population,reported_cases
44.01923,7,10392,0
44.0608967,7,10356,0
44.1025633,7,10324,0
44.14423,7,10296,0
44.1858967,6,10272,1
44.2275633,6,10251,0
44.26923,6,10233,0
44.3108967,6,10218,0
44.3525633,6,10207,3
44.39423,6,10198,0
44.4358967,6,10192,0
44.4775633,6,10189,0
44.51923,6,10188,0
44.5608967,6,10190,0
44.6025633,6,10194,0
44.64423,6,10199,0
44.6858967,6,10207,0
44.7275633,6,10216,0
44.76923,6,10227,0
44.8108967,6,10240,0
44.8525633,6,10253,0
44.89423,6,10268,0
44.9358967,6,10284,0
44.9775633,6,10301,5
45.01923,6,10318,15
45.0608967,6,10336,22
45.1025633,6,10355,6
45.14423,6,10374,8
45.1858967,6,10393,6
45.2275633,6,10413,9
45.26923,6,10432,2
45.3108967,6,10452,0
45.3525633,6,10472,0
45.39423,6,10492,12
45.4358967,6,10512,3
45.4775633,6,10531,4
45.51923,6,10550,2
45.5608967,6,10569,0
45.6025633,6,10587,1
45.64423,6,10605,0
45.6858967,6,10622,0
45.7275633,6,10638,0
45.76923,7,10653,0
45.8108967,7,10668,0
45.8525633,7,10681,0
45.89423,7,10694,0
45.9358967,7,10705,0
45.9775633,7,10715,0
46.01923,7,10724,0
46.0608967,7,10731,0
46.1025633,7,10737,0
46.14423,8,10742,0
46.1858967,8,10746,0
46.2275633,8,10749,0
46.26923,8,10752,0
46.3108967,8,10753,0
46.3525633,8,10754,0
46.39423,8,10754,0
46.4358967,8,10753,0
46.4775633,9,10753,0
46.51923,9,10752,0
46.5608967,9,10751,0
46.6025633,9,10749,0
46.64423,9,10748,0
46.6858967,9,10747,0
46.7275633,9,10746,0
46.76923,9,10745,0
46.8108967,9,10745,0
46.8525633,9,10745,0
46.89423,9,10745,0
46.9358967,9,10747,4
46.9775633,9,10749,3
47.01923,9,10751,0
47.0608967,9,10755,3
47.1025633,9,10760,25
47.14423,9,10765,12
47.1858967,9,10771,10
47.2275633,9,10778,34
47.26923,9,10785,5
47.3108967,9,10792,5
47.3525633,9,10800,4
47.39423,9,10809,4
47.4358967,9,10817,0
47.4775633,9,10826,1
47.51923,8,10835,0
47.5608967,8,10844,0
47.6025633,8,10853,0
47.64423,8,10863,0
47.6858967,8,10872,0
47.7275633,8,10880,0
47.76923,8,10889,2
47.8108967,8,10897,0
47.8525633,8,10905,0
47.89423,8,10913,0
47.9358967,7,10920,0
47.9775633,7,10927,0
48.01923,7,10933,0
