time,births,population,reported_cases
44.01923,55,56976,0
44.0608967,54,56738,2
44.1025633,53,56539,4
44.14423,52,56379,5
44.1858967,52,56255,9
44.2275633,51,56166,0
44.26923,51,56109,4
44.3108967,50,56085,2
44.3525633,50,56090,0
44.39423,49,56123,0
44.4358967,49,56183,2
44.4775633,49,56268,2
44.51923,49,56376,2
44.5608967,49,56505,5
44.6025633,49,56654,3
44.64423,48,56822,1
44.6858967,49,57006,1
44.7275633,49,57205,1
44.76923,49,57418,13
44.8108967,49,57642,13
44.8525633,49,57876,57
44.89423,49,58118,94
44.9358967,50,58368,140
44.9775633,50,58622,137
45.01923,50,58879,60
45.0608967,51,59139,37
45.1025633,51,59400,14
45.14423,51,59661,10
45.1858967,52,59922,6
45.2275633,52,60181,11
45.26923,53,60438,6
45.3108967,53,60692,22
45.3525633,53,60943,8
45.39423,54,61188,12
45.4358967,54,61428,8
45.4775633,55,61662,2
45.51923,55,61888,0
45.5608967,56,62106,17
45.6025633,56,62315,21
45.64423,57,62514,18
45.6858967,57,62702,10
45.7275633,58,62879,7
45.76923,58,63044,6
45.8108967,58,63195,2
45.8525633,59,63332,0
45.89423,59,63454,0
45.9358967,60,63560,1
45.9775633,60,63649,0
46.01923,60,63721,0
46.0608967,61,63775,0
46.1025633,61,63814,0
46.14423,61,63838,0
46.1858967,61,63848,2
46.2275633,62,63847,0
46.26923,62,63835,0
46.3108967,62,63814,0
46.3525633,62,63785,1
46.39423,62,63750,1
46.4358967,62,63709,0
46.4775633,62,63665,0
46.51923,63,63619,2
46.5608967,63,63571,6
46.6025633,63,63524,0
46.64423,63,63479,1
46.6858967,63,63437,6
46.7275633,63,63399,4
46.76923,62,63367,41
46.8108967,62,63343,30
46.8525633,62,63327,28
46.89423,62,63321,173
46.9358967,62,63326,239
46.9775633,62,63345,180
47.01923,62,63377,99
47.0608967,62,63423,59
47.1025633,61,63483,18
47.14423,61,63555,8
47.1858967,61,63638,6
47.2275633,61,63732,0
47.26923,61,63835,1
47.3108967,60,63946,0
47.3525633,60,64064,0
47.39423,60,64188,0
47.4358967,60,64317,3
47.4775633,59,64451,9
47.51923,59,64587,3
47.5608967,59,64726,5
47.6025633,59,64866,8
47.64423,58,65005,0
47.6858967,58,65144,2
47.7275633,58,65280,0
47.76923,58,65414,0
47.8108967,58,65543,4
47.8525633,57,65667,0
47.89423,57,65785,1
47.9358967,57,65896,0
47.9775633,57,65999,0
48.01923,57,66092,0
48.0608967,57,66176,2
48.1025633,57,66250,1
48.14423,57,66316,5
48.1858967,57,66374,5
48.2275633,57,66424,2
48.26923,57,66466,6
48.3108967,57,66502,23
48.3525633,57,66531,36
48.39423,57,66554,23
48.4358967,57,66571,52
48.4775633,57,66584,147
48.51923,57,66591,178
48.5608967,57,66594,216
48.6025633,57,66594,101
48.64423,57,66590,71
48.6858967,57,66583,12
48.7275633,57,66573,3
48.76923,57,66562,0
48.8108967,57,66548,0
48.8525633,57,66534,1
48.89423,57,66519,0
48.9358967,57,66503,0
48.9775633,57,66488,0
49.01923,57,66473,4
49.0608967,57,66459,1
49.1025633,57,66446,1
49.14423,57,66434,5
49.1858967,56,66422,9
49.2275633,56,66411,20
49.26923,56,66400,17
49.3108967,56,66390,43
49.3525633,55,66381,35
49.39423,55,66372,56
49.4358967,55,66363,72
49.4775633,55,66355,88
49.51923,54,66347,97
49.5608967,54,66339,60
49.6025633,54,66332,11
49.64423,54,66325,5
49.6858967,54,66319,3
49.7275633,53,66312,2
49.76923,53,66305,0
49.8108967,53,66299,5
49.8525633,53,66293,0
49.89423,53,66286,1
49.9358967,53,66280,0
49.9775633,52,66274,0
50.01923,52,66267,9
50.0608967,52,66260,5
50.1025633,52,66254,1
50.14423,52,66247,9
50.1858967,52,66241,16
50.2275633,52,66235,26
50.26923,52,66229,43
50.3108967,52,66224,75
50.3525633,52,66220,107
50.39423,53,66216,157
50.4358967,53,66213,202
50.4775633,53,66211,101
50.51923,53,66209,49
50.5608967,53,66209,72
50.6025633,53,66210,23
50.64423,53,66213,12
50.6858967,53,66217,4
50.7275633,53,66222,3
50.76923,54,66229,0
50.8108967,54,66237,0
50.8525633,54,66248,1
50.89423,54,66260,2
50.9358967,54,66274,0
50.9775633,54,66290,0
51.01923,54,66309,0
51.0608967,54,66329,0
51.1025633,54,66352,0
51.14423,54,66376,4
51.1858967,54,66402,4
51.2275633,54,66429,6
51.26923,54,66457,13
51.3108967,54,66485,10
51.3525633,54,66515,11
51.39423,54,66545,9
51.4358967,54,66575,24
51.4775633,54,66605,33
51.51923,54,66636,43
51.5608967,54,66665,24
51.6025633,54,66694,70
