time,births,population,reported_cases
44.01923,7,6782,0
44.0608967,7,6762,0
44.1025633,6,6744,3
44.14423,6,6727,4
44.1858967,6,6712,2
44.2275633,6,6697,30
44.26923,6,6684,54
44.3108967,6,6672,12
44.3525633,6,6661,21
44.39423,6,6651,3
44.4358967,6,6643,0
44.4775633,6,6635,0
44.51923,6,6628,0
44.5608967,6,6623,0
44.6025633,6,6618,0
44.64423,6,6615,0
44.6858967,6,6612,0
44.7275633,6,6610,0
44.76923,6,6609,0
44.8108967,6,6609,0
44.8525633,6,6610,0
44.89423,6,6611,0
44.9358967,6,6613,0
44.9775633,6,6616,2
45.01923,6,6620,0
45.0608967,6,6624,2
45.1025633,6,6629,1
45.14423,6,6635,4
45.1858967,6,6641,11
45.2275633,6,6647,18
45.26923,6,6655,4
45.3108967,6,6662,2
45.3525633,6,6671,0
45.39423,6,6679,0
45.4358967,6,6688,0
45.4775633,6,6698,0
45.51923,6,6708,2
45.5608967,6,6718,0
45.6025633,6,6728,0
45.64423,6,6739,0
45.6858967,6,6750,0
45.7275633,6,6761,0
45.76923,6,6773,0
45.8108967,6,6784,0
45.8525633,6,6796,0
45.89423,7,6808,0
45.9358967,7,6820,0
45.9775633,7,6832,0
46.01923,7,6844,0
46.0608967,7,6856,0
46.1025633,7,6867,1
46.14423,7,6879,0
46.1858967,7,6891,0
46.2275633,7,6903,0
46.26923,7,6915,0
46.3108967,7,6927,0
46.3525633,7,6938,0
46.39423,7,6950,0
46.4358967,7,6961,0
46.4775633,7,6973,0
46.51923,7,6984,0
46.5608967,7,6995,0
46.6025633,7,7006,0
46.64423,7,7017,0
46.6858967,7,7027,0
46.7275633,7,7038,0
46.76923,7,7048,0
46.8108967,7,7058,0
46.8525633,7,7068,0
46.89423,7,7077,0
46.9358967,7,7086,0
46.9775633,7,7095,0
47.01923,7,7104,0
47.0608967,7,7112,0
47.1025633,7,7121,0
47.14423,7,7129,0
47.1858967,7,7136,2
47.2275633,7,7144,2
47.26923,7,7151,1
47.3108967,7,7159,0
47.3525633,7,7166,0
47.39423,7,7173,0
47.4358967,7,7180,0
47.4775633,7,7187,1
47.51923,7,7194,1
47.5608967,7,7201,0
47.6025633,7,7208,0
47.64423,7,7215,2
47.6858967,7,7222,0
47.7275633,7,7229,0
47.76923,7,7236,0
47.8108967,7,7244,0
47.8525633,7,7251,0
47.89423,7,7259,0
47.9358967,7,7267,47
47.9775633,7,7275,21
48.01923,7,7284,24
48.0608967,6,7293,2
48.1025633,6,7302,0
48.14423,6,7311,0
48.1858967,6,7320,0
48.2275633,6,7329,0
48.26923,6,7338,0
48.3108967,6,7347,0
48.3525633,6,7356,0
48.39423,6,7365,0
48.4358967,6,7374,0
48.4775633,6,7382,0
48.51923,6,7390,0
48.5608967,6,7398,0
48.6025633,6,7405,0
