time,births,population,reported_cases
44.01923,39,44981,6
44.0608967,39,44845,6
44.1025633,39,44724,9
44.14423,38,44618,26
44.1858967,38,44528,14
44.2275633,38,44451,20
44.26923,37,44389,22
44.3108967,37,44340,45
44.3525633,37,44305,27
44.39423,37,44282,16
44.4358967,36,44271,17
44.4775633,36,44271,8
44.51923,36,44283,13
44.5608967,36,44306,17
44.6025633,36,44339,6
44.64423,36,44382,6
44.6858967,36,44434,1
44.7275633,35,44495,4
44.76923,35,44564,0
44.8108967,35,44641,0
44.8525633,35,44726,2
44.89423,36,44818,11
44.9358967,36,44917,37
44.9775633,36,45021,38
45.01923,36,45132,26
45.0608967,36,45247,17
45.1025633,36,45368,31
45.14423,36,45493,30
45.1858967,36,45622,38
45.2275633,37,45755,45
45.26923,37,45892,39
45.3108967,37,46032,30
45.3525633,37,46175,22
45.39423,38,46320,19
45.4358967,38,46468,10
45.4775633,38,46618,5
45.51923,38,46769,0
45.5608967,39,46922,2
45.6025633,39,47075,0
45.64423,39,47229,0
45.6858967,40,47383,0
45.7275633,40,47537,0
45.76923,40,47691,0
45.8108967,41,47844,0
45.8525633,41,47996,0
45.89423,42,48147,0
45.9358967,42,48295,0
45.9775633,42,48442,0
46.01923,43,48586,0
46.0608967,43,48728,0
46.1025633,44,48867,1
46.14423,44,49003,1
46.1858967,44,49137,2
46.2275633,45,49269,1
46.26923,45,49398,0
46.3108967,46,49524,8
46.3525633,46,49648,2
46.39423,46,49770,2
46.4358967,47,49889,3
46.4775633,47,50005,8
46.51923,47,50120,11
46.5608967,47,50232,0
46.6025633,48,50341,3
46.64423,48,50448,3
46.6858967,48,50553,2
46.7275633,48,50655,1
46.76923,49,50756,0
46.8108967,49,50854,0
46.8525633,49,50949,0
46.89423,49,51043,2
46.9358967,49,51134,3
46.9775633,49,51223,3
47.01923,49,51310,30
47.0608967,49,51394,54
47.1025633,48,51477,100
47.14423,48,51556,123
47.1858967,48,51634,57
47.2275633,48,51708,32
47.26923,48,51780,64
47.3108967,47,51849,4
47.3525633,47,51914,13
47.39423,47,51977,2
47.4358967,46,52036,1
47.4775633,46,52092,0
47.51923,46,52145,3
47.5608967,45,52193,6
47.6025633,45,52239,11
47.64423,45,52280,1
47.6858967,44,52317,11
47.7275633,44,52351,0
47.76923,44,52380,2
47.8108967,43,52404,2
47.8525633,43,52425,1
47.89423,43,52441,9
47.9358967,42,52452,2
47.9775633,42,52459,0
48.01923,42,52460,4
48.0608967,41,52457,4
48.1025633,41,52450,8
48.14423,41,52440,14
48.1858967,41,52427,14
48.2275633,41,52412,10
48.26923,41,52395,39
48.3108967,41,52378,55
48.3525633,40,52360,133
48.39423,40,52343,132
48.4358967,40,52328,46
48.4775633,40,52313,14
48.51923,40,52302,4
48.5608967,40,52293,4
48.6025633,40,52288,13
48.64423,40,52288,6
48.6858967,40,52292,10
48.7275633,40,52302,6
48.76923,40,52318,0
48.8108967,39,52341,3
48.8525633,39,52372,23
48.89423,39,52411,106
48.9358967,39,52458,129
48.9775633,39,52515,49
49.01923,39,52582,45
49.0608967,39,52659,14
49.1025633,39,52746,19
49.14423,38,52840,15
49.1858967,38,52942,28
49.2275633,38,53051,15
49.26923,38,53165,80
49.3108967,37,53284,40
49.3525633,37,53406,10
49.39423,37,53532,28
49.4358967,37,53660,17
49.4775633,37,53789,27
49.51923,36,53919,22
49.5608967,36,54048,12
49.6025633,36,54176,15
49.64423,36,54302,8
49.6858967,36,54425,1
49.7275633,35,54543,0
49.76923,35,54657,2
49.8108967,35,54765,0
49.8525633,35,54867,0
49.89423,35,54961,0
49.9358967,35,55046,0
49.9775633,35,55123,0
50.01923,35,55189,2
50.0608967,35,55246,2
50.1025633,35,55292,1
50.14423,35,55330,0
50.1858967,35,55358,1
50.2275633,35,55379,0
50.26923,35,55393,2
50.3108967,35,55400,0
50.3525633,35,55401,1
50.39423,35,55396,5
50.4358967,35,55386,12
50.4775633,36,55371,14
50.51923,36,55353,17
50.5608967,36,55332,28
50.6025633,36,55308,48
50.64423,36,55282,31
50.6858967,36,55254,20
50.7275633,37,55226,9
50.76923,37,55197,86
50.8108967,37,55169,76
50.8525633,37,55142,58
50.89423,37,55115,51
50.9358967,37,55092,47
50.9775633,38,55070,16
51.01923,38,55052,35
51.0608967,38,55037,14
51.1025633,38,55026,66
51.14423,38,55018,97
51.1858967,38,55013,100
51.2275633,38,55011,68
51.26923,38,55011,86
51.3108967,38,55015,38
51.3525633,38,55020,51
51.39423,38,55028,69
51.4358967,38,55039,73
51.4775633,38,55051,36
51.51923,39,55065,6
51.5608967,39,55081,10
51.6025633,39,55099,6
51.64423,39,55118,3
51.6858967,39,55138,6
51.7275633,39,55160,1
51.76923,39,55182,2
51.8108967,39,55206,0
51.8525633,39,55230,1
51.89423,39,55255,0
51.9358967,39,55280,0
51.9775633,39,55306,0
52.01923,39,55332,0
52.0608967,39,55358,0
52.1025633,39,55384,0
52.14423,39,55410,0
52.1858967,40,55437,0
52.2275633,40,55463,2
52.26923,40,55490,7
52.3108967,40,55517,7
52.3525633,40,55544,14
52.39423,40,55571,12
52.43589670000001,40,55599,3
52.47756329999999,40,55627,10
52.51923000000001,41,55655,14
52.56089670000001,41,55683,13
52.60256329999999,41,55712,11
52.64423000000001,41,55740,2
52.68589670000001,41,55770,1
52.72756329999999,41,55799,2
52.76923000000001,41,55829,76
52.81089670000001,41,55859,130
52.85256329999999,41,55889,29
52.89423000000001,41,55920,6
52.93589670000001,41,55951,5
52.97756329999999,41,55983,16
53.01923000000001,41,56015,69
53.06089670000001,42,56047,81
53.10256329999999,41,56080,181
53.14423000000001,41,56113,292
53.18589670000001,41,56146,214
53.22756329999999,41,56180,136
53.26923000000001,41,56214,56
53.31089670000001,41,56248,32
53.35256329999999,41,56283,27
53.39423000000001,41,56318,27
53.43589670000001,41,56353,9
53.47756329999999,41,56388,18
53.51923000000001,41,56423,2
53.56089670000001,41,56459,2
53.60256329999999,41,56495,4
53.64423000000001,41,56530,1
53.68589670000001,41,56567,0
53.72756329999999,41,56603,0
53.76923000000001,41,56639,0
53.81089670000001,41,56675,1
53.85256329999999,41,56711,0
53.89423000000001,41,56748,0
53.93589670000001,41,56784,0
53.97756329999999,41,56820,1
54.01923000000001,41,56857,0
54.06089670000001,41,56893,0
54.10256329999999,41,56930,0
54.14423000000001,41,56966,0
54.18589670000001,41,57003,0
54.22756329999999,41,57041,0
54.26923000000001,41,57079,0
54.31089670000001,41,57117,0
54.35256329999999,42,57157,0
54.39423000000001,42,57197,0
54.43589670000001,42,57238,0
54.47756329999999,42,57280,0
54.51923000000001,42,57323,0
54.56089670000001,42,57368,0
54.60256329999999,43,57414,5
54.64423000000001,43,57461,2
54.68589670000001,43,57510,0
54.72756329999999,43,57561,2
54.76923000000001,43,57613,0
54.81089670000001,43,57667,2
54.85256329999999,44,57724,4
54.89423000000001,44,57782,5
54.93589670000001,44,57842,2
54.97756329999999,44,57905,7
55.01923000000001,44,57970,9
55.06089670000001,44,58038,4
55.10256329999999,45,58107,6
55.14423000000001,45,58179,17
55.18589670000001,45,58252,38
55.22756329999999,45,58326,64
55.26923000000001,45,58402,35
55.31089670000001,45,58478,93
55.35256329999999,45,58555,93
55.39423000000001,45,58632,134
55.43589670000001,45,58709,251
55.47756329999999,46,58786,172
55.51923000000001,46,58863,153
55.56089670000001,46,58939,47
55.60256329999999,46,59015,23
55.64423000000001,46,59089,19
55.68589670000001,46,59162,2
55.72756329999999,46,59233,1
55.76923000000001,46,59302,0
55.81089670000001,46,59369,0
55.85256329999999,46,59434,0
55.89423000000001,46,59496,0
55.93589670000001,46,59555,3
55.97756329999999,46,59611,6
56.01923000000001,46,59664,9
56.06089670000001,46,59713,6
56.10256329999999,46,59760,0
56.14423000000001,46,59804,0
56.18589670000001,46,59846,1
56.22756329999999,46,59886,4
56.26923000000001,46,59924,2
56.31089670000001,46,59962,0
56.35256329999999,46,59999,12
56.39423000000001,46,60036,18
56.43589670000001,46,60072,19
56.47756329999999,46,60110,2
56.51923000000001,46,60148,0
56.56089670000001,46,60188,2
56.60256329999999,46,60229,1
56.64423000000001,46,60272,3
56.68589670000001,46,60318,2
56.72756329999999,46,60366,0
56.76923000000001,46,60418,0
56.81089670000001,46,60473,2
56.85256329999999,46,60533,0
56.89423000000001,46,60596,0
56.93589670000001,46,60665,0
56.97756329999999,46,60738,3
57.01923000000001,46,60817,0
57.06089670000001,46,60902,4
57.10256329999999,46,60991,19
57.14423000000001,46,61085,76
57.18589670000001,46,61183,102
57.22756329999999,47,61284,94
57.26923000000001,47,61388,73
57.31089670000001,47,61494,56
57.35256329999999,47,61602,70
57.39423000000001,47,61711,106
57.43589670000001,47,61822,267
57.47756329999999,47,61932,261
57.51923000000001,48,62042,91
57.56089670000001,48,62151,58
57.60256329999999,48,62259,22
57.64423000000001,48,62365,17
57.68589670000001,48,62469,4
57.72756329999999,48,62570,0
57.76923000000001,48,62667,0
57.81089670000001,48,62760,0
57.85256329999999,49,62849,0
57.89423000000001,49,62933,0
57.93589670000001,49,63011,2
57.97756329999999,49,63084,0
58.01923000000001,49,63149,2
58.06089670000001,49,63209,0
58.10256329999999,49,63261,2
58.14423000000001,49,63309,0
58.18589670000001,49,63350,2
58.22756329999999,49,63387,4
58.26923000000001,48,63420,2
58.31089670000001,48,63448,12
58.35256329999999,48,63473,7
58.39423000000001,48,63495,2
58.43589670000001,48,63514,4
58.47756329999999,48,63530,18
58.51923000000001,48,63545,59
58.56089670000001,48,63559,73
58.60256329999999,48,63571,77
58.64423000000001,47,63584,19
58.68589670000001,47,63596,8
58.72756329999999,47,63608,2
58.76923000000001,47,63621,0
58.81089670000001,47,63636,0
58.85256329999999,47,63652,5
58.89423000000001,47,63671,4
58.93589670000001,47,63692,9
58.97756329999999,47,63716,26
59.01923000000001,47,63743,47
59.06089670000001,47,63774,73
59.10256329999999,47,63808,140
59.14423000000001,47,63845,204
59.18589670000001,47,63885,86
59.22756329999999,47,63926,62
59.26923000000001,47,63970,104
59.31089670000001,47,64014,48
59.35256329999999,47,64060,66
59.39423000000001,48,64106,33
59.43589670000001,48,64152,14
59.47756329999999,48,64199,5
59.51923000000001,48,64245,6
59.56089670000001,48,64290,1
59.60256329999999,48,64333,6
59.64423000000001,48,64376,4
59.68589670000001,48,64416,1
59.72756329999999,49,64454,0
59.76923000000001,49,64489,0
59.81089670000001,49,64522,4
59.85256329999999,49,64550,1
59.89423000000001,49,64576,0
59.93589670000001,49,64597,0
59.97756329999999,49,64613,0
60.01923000000001,49,64625,4
60.06089670000001,49,64632,5
60.10256329999999,50,64634,24
60.14423000000001,50,64632,49
60.18589670000001,50,64626,53
60.22756329999999,50,64616,42
60.26923000000001,50,64604,17
60.31089670000001,50,64588,3
60.35256329999999,50,64570,3
60.39423000000001,50,64550,4
60.43589670000001,50,64527,2
60.47756329999999,50,64504,0
60.51923000000001,50,64479,0
60.56089670000001,50,64453,0
60.60256329999999,50,64426,0
