time,births,population,reported_cases
44.01923,76,80097,0
44.0608967,75,79872,0
44.1025633,74,79673,1
44.14423,73,79499,1
44.1858967,72,79349,0
44.2275633,71,79223,6
44.26923,70,79119,4
44.3108967,70,79036,0
44.3525633,69,78973,1
44.39423,69,78929,2
44.4358967,68,78904,4
44.4775633,68,78895,0
44.51923,68,78903,2
44.5608967,67,78927,2
44.6025633,67,78964,4
44.64423,67,79014,0
44.6858967,67,79077,0
44.7275633,67,79151,0
44.76923,67,79235,2
44.8108967,67,79329,2
44.8525633,67,79430,6
44.89423,67,79539,17
44.9358967,68,79654,33
44.9775633,68,79774,58
45.01923,68,79898,131
45.0608967,68,80025,99
45.1025633,69,80156,118
45.14423,69,80289,77
45.1858967,69,80424,62
45.2275633,70,80560,34
45.26923,70,80696,24
45.3108967,70,80834,15
45.3525633,71,80970,4
45.39423,71,81106,0
45.4358967,72,81241,0
45.4775633,72,81374,0
45.51923,72,81505,0
45.5608967,73,81632,0
45.6025633,73,81757,0
45.64423,74,81877,0
45.6858967,74,81993,0
45.7275633,74,82104,0
45.76923,75,82209,0
45.8108967,75,82309,0
45.8525633,75,82402,1
45.89423,76,82487,0
45.9358967,76,82566,0
45.9775633,76,82636,4
46.01923,76,82697,0
46.0608967,77,82750,0
46.1025633,77,82795,0
46.14423,77,82834,0
46.1858967,77,82865,0
46.2275633,77,82892,0
46.26923,77,82913,0
46.3108967,77,82931,2
46.3525633,77,82945,1
46.39423,77,82956,5
46.4358967,77,82966,0
46.4775633,77,82975,1
46.51923,77,82984,2
46.5608967,77,82993,2
46.6025633,77,83003,0
46.64423,77,83015,0
46.6858967,77,83031,0
46.7275633,77,83049,0
46.76923,77,83072,0
46.8108967,77,83100,0
46.8525633,77,83133,0
46.89423,77,83174,10
46.9358967,77,83221,4
46.9775633,76,83277,6
47.01923,76,83341,84
47.0608967,76,83414,138
47.1025633,76,83495,149
47.14423,76,83584,149
47.1858967,76,83679,92
47.2275633,76,83781,17
47.26923,76,83888,19
47.3108967,76,83999,6
47.3525633,76,84114,3
47.39423,76,84233,11
47.4358967,76,84354,14
47.4775633,76,84477,4
47.51923,75,84601,0
47.5608967,75,84725,7
47.6025633,75,84849,5
47.64423,75,84972,1
47.6858967,75,85094,0
47.7275633,75,85213,4
47.76923,75,85328,1
47.8108967,75,85440,4
47.8525633,75,85547,1
47.89423,75,85650,1
47.9358967,75,85746,1
47.9775633,75,85835,2
48.01923,75,85917,4
48.0608967,75,85991,9
48.1025633,75,86059,0
48.14423,75,86120,5
48.1858967,75,86175,1
48.2275633,75,86224,0
48.26923,75,86268,0
48.3108967,75,86308,2
48.3525633,75,86344,9
48.39423,75,86377,1
48.4358967,75,86406,4
48.4775633,75,86433,26
48.51923,75,86458,47
48.5608967,75,86482,53
48.6025633,75,86504,46
48.64423,75,86526,19
48.6858967,74,86549,9
48.7275633,74,86571,17
48.76923,74,86595,34
48.8108967,74,86621,18
48.8525633,74,86648,6
48.89423,74,86678,10
48.9358967,74,86712,24
48.9775633,74,86748,32
49.01923,74,86789,17
49.0608967,74,86835,61
49.1025633,73,86883,73
49.14423,73,86935,223
49.1858967,73,86990,248
49.2275633,73,87047,122
49.26923,73,87106,43
49.3108967,72,87166,16
49.3525633,72,87227,6
49.39423,72,87288,1
49.4358967,72,87349,3
49.4775633,72,87409,1
49.51923,71,87468,4
49.5608967,71,87525,4
49.6025633,71,87581,3
49.64423,71,87634,4
