time,births,population,reported_cases
44.01923,96,102766,2
44.0608967,94,102497,0
44.1025633,93,102260,5
44.14423,91,102051,2
44.1858967,90,101871,6
44.2275633,89,101719,6
44.26923,88,101593,13
44.3108967,87,101492,11
44.3525633,86,101416,2
44.39423,86,101363,9
44.4358967,85,101332,8
44.4775633,85,101322,1
44.51923,85,101332,0
44.5608967,84,101362,8
44.6025633,84,101409,7
44.64423,84,101474,3
44.6858967,84,101554,3
44.7275633,85,101650,20
44.76923,85,101759,18
44.8108967,85,101882,33
44.8525633,85,102016,26
44.89423,86,102161,38
44.9358967,86,102315,24
44.9775633,87,102479,56
45.01923,88,102650,79
45.0608967,88,102828,178
45.1025633,89,103012,337
45.14423,90,103202,351
45.1858967,90,103396,314
45.2275633,91,103595,206
45.26923,92,103798,68
45.3108967,93,104004,61
45.3525633,94,104212,30
45.39423,94,104421,12
45.4358967,95,104632,10
45.4775633,96,104844,4
45.51923,97,105055,4
45.5608967,98,105265,4
45.6025633,99,105474,3
45.64423,100,105681,1
45.6858967,101,105885,0
45.7275633,101,106085,1
45.76923,102,106282,0
45.8108967,103,106474,2
45.8525633,104,106661,1
45.89423,105,106842,0
45.9358967,105,107016,1
45.9775633,106,107183,4
46.01923,107,107343,4
46.0608967,107,107494,3
46.1025633,108,107638,1
46.14423,108,107775,1
46.1858967,109,107906,1
46.2275633,109,108030,0
46.26923,109,108150,4
46.3108967,110,108264,4
46.3525633,110,108374,4
46.39423,110,108480,11
46.4358967,110,108583,20
46.4775633,111,108683,11
46.51923,111,108781,15
46.5608967,111,108876,18
46.6025633,111,108971,15
46.64423,111,109064,3
46.6858967,111,109157,2
46.7275633,111,109250,2
46.76923,111,109344,2
46.8108967,111,109440,4
46.8525633,111,109536,1
46.89423,111,109635,0
46.9358967,111,109737,13
46.9775633,110,109842,11
47.01923,110,109951,18
47.0608967,110,110063,49
47.1025633,110,110179,117
47.14423,110,110297,196
47.1858967,109,110418,197
47.2275633,109,110541,196
47.26923,109,110665,152
47.3108967,108,110790,163
47.3525633,108,110916,159
47.39423,108,111042,150
