time,births,population,reported_cases
44.01923,38,46454,2
44.0608967,37,46032,0
44.1025633,36,45669,2
44.14423,35,45365,7
44.1858967,34,45116,1
44.2275633,34,44921,6
44.26923,33,44776,4
44.3108967,32,44681,0
44.3525633,32,44633,3
44.39423,32,44629,5
44.4358967,31,44667,3
44.4775633,31,44746,0
44.51923,31,44862,13
44.5608967,31,45015,2
44.6025633,31,45200,0
44.64423,31,45418,0
44.6858967,31,45664,0
44.7275633,32,45937,3
44.76923,32,46235,0
44.8108967,32,46555,0
44.8525633,33,46895,0
44.89423,33,47254,0
44.9358967,33,47628,0
44.9775633,34,48016,0
45.01923,34,48416,4
45.0608967,35,48825,2
45.1025633,35,49242,29
45.14423,36,49666,67
45.1858967,37,50095,52
45.2275633,37,50529,49
45.26923,38,50965,21
45.3108967,39,51402,8
45.3525633,39,51839,74
45.39423,40,52275,49
45.4358967,41,52707,66
45.4775633,41,53136,34
45.51923,42,53558,19
45.5608967,43,53974,24
45.6025633,43,54381,13
45.64423,44,54778,8
45.6858967,45,55164,1
45.7275633,45,55538,1
45.76923,46,55897,0
45.8108967,46,56241,0
45.8525633,47,56568,0
45.89423,48,56877,0
45.9358967,48,57166,0
45.9775633,49,57435,0
46.01923,49,57681,0
46.0608967,50,57904,0
46.1025633,50,58106,1
46.14423,50,58288,0
46.1858967,51,58451,0
46.2275633,51,58597,2
46.26923,51,58725,6
46.3108967,52,58839,1
46.3525633,52,58938,3
46.39423,52,59024,10
46.4358967,52,59099,23
46.4775633,52,59163,48
46.51923,52,59217,38
46.5608967,52,59263,27
46.6025633,53,59303,7
46.64423,53,59336,4
46.6858967,53,59365,1
46.7275633,53,59391,0
46.76923,52,59415,0
46.8108967,52,59437,0
46.8525633,52,59460,0
46.89423,52,59484,2
46.9358967,52,59511,1
46.9775633,52,59542,4
47.01923,52,59577,6
47.0608967,51,59618,9
47.1025633,51,59664,20
47.14423,51,59715,21
47.1858967,51,59770,7
47.2275633,50,59830,20
47.26923,50,59892,34
47.3108967,50,59958,48
47.3525633,49,60026,90
47.39423,49,60097,221
47.4358967,49,60170,241
47.4775633,48,60245,122
47.51923,48,60320,85
47.5608967,48,60397,36
47.6025633,47,60473,22
47.64423,47,60550,1
47.6858967,46,60626,3
47.7275633,46,60702,1
47.76923,46,60777,0
47.8108967,45,60849,0
47.8525633,45,60920,0
47.89423,44,60989,0
47.9358967,44,61055,1
47.9775633,44,61118,2
48.01923,43,61177,4
48.0608967,43,61233,2
48.1025633,42,61285,1
48.14423,42,61334,0
48.1858967,42,61380,3
48.2275633,41,61423,39
48.26923,41,61463,10
48.3108967,41,61501,9
48.3525633,40,61537,9
48.39423,40,61571,17
48.4358967,40,61603,10
48.4775633,40,61633,9
48.51923,39,61662,38
48.5608967,39,61690,51
48.6025633,39,61717,42
48.64423,39,61743,19
48.6858967,38,61768,5
48.7275633,38,61793,2
48.76923,38,61818,6
48.8108967,38,61842,41
48.8525633,38,61867,46
48.89423,38,61893,33
48.9358967,37,61918,23
48.9775633,37,61945,20
49.01923,37,61973,36
49.0608967,37,62002,57
49.1025633,37,62031,39
49.14423,37,62061,58
49.1858967,37,62092,107
49.2275633,37,62123,109
49.26923,37,62153,153
49.3108967,37,62184,138
49.3525633,37,62214,27
49.39423,37,62243,27
49.4358967,37,62271,17
49.4775633,37,62299,8
49.51923,37,62325,6
49.5608967,37,62349,0
49.6025633,37,62372,1
49.64423,37,62392,2
49.6858967,37,62411,1
49.7275633,37,62427,0
49.76923,37,62441,0
49.8108967,37,62452,1
49.8525633,37,62460,0
49.89423,37,62464,0
49.9358967,37,62465,0
49.9775633,37,62463,0
50.01923,37,62457,2
50.0608967,37,62446,7
50.1025633,37,62433,14
50.14423,37,62416,7
50.1858967,37,62396,13
50.2275633,37,62374,33
50.26923,37,62349,13
50.3108967,36,62322,3
50.3525633,36,62293,5
50.39423,36,62263,0
50.4358967,36,62232,20
50.4775633,36,62200,30
50.51923,36,62167,25
50.5608967,36,62135,21
50.6025633,36,62102,8
50.64423,35,62070,3
50.6858967,35,62038,6
50.7275633,35,62007,0
50.76923,35,61977,2
50.8108967,35,61949,2
50.8525633,35,61923,9
50.89423,35,61899,15
50.9358967,34,61878,20
50.9775633,34,61859,9
51.01923,34,61843,61
51.0608967,34,61830,55
51.1025633,34,61821,102
51.14423,34,61813,177
51.1858967,34,61809,210
51.2275633,33,61806,148
51.26923,33,61806,128
51.3108967,33,61807,65
51.3525633,33,61810,59
51.39423,33,61814,25
51.4358967,33,61819,8
51.4775633,33,61825,0
51.51923,33,61831,0
51.5608967,33,61838,0
51.6025633,33,61846,0
51.64423,33,61853,0
51.6858967,33,61860,0
51.7275633,33,61866,5
51.76923,33,61872,0
51.8108967,33,61876,0
51.8525633,33,61880,0
51.89423,33,61882,0
51.9358967,33,61883,0
51.9775633,33,61882,0
52.01923,33,61878,0
52.0608967,33,61873,0
52.1025633,33,61865,0
52.14423,33,61856,1
52.1858967,33,61845,0
52.2275633,33,61833,2
52.26923,34,61820,1
52.3108967,34,61805,0
52.3525633,34,61789,2
52.39423,34,61773,4
52.43589670000001,34,61755,0
52.47756329999999,34,61738,1
52.51923000000001,35,61720,2
52.56089670000001,35,61702,10
52.60256329999999,35,61683,36
52.64423000000001,35,61665,25
52.68589670000001,35,61648,10
52.72756329999999,35,61630,1
52.76923000000001,35,61614,9
52.81089670000001,35,61598,50
52.85256329999999,35,61583,97
52.89423000000001,35,61569,78
52.93589670000001,35,61556,147
52.97756329999999,35,61545,126
53.01923000000001,35,61536,283
53.06089670000001,35,61528,122
53.10256329999999,35,61522,101
53.14423000000001,35,61517,109
53.18589670000001,35,61513,63
53.22756329999999,35,61510,33
53.26923000000001,34,61509,6
53.31089670000001,34,61509,4
53.35256329999999,34,61509,6
53.39423000000001,34,61511,10
53.43589670000001,33,61513,6
53.47756329999999,33,61515,3
53.51923000000001,33,61518,8
53.56089670000001,33,61521,2
53.60256329999999,32,61525,0
53.64423000000001,32,61529,0
53.68589670000001,32,61532,1
53.72756329999999,32,61536,0
53.76923000000001,32,61539,0
53.81089670000001,31,61542,0
53.85256329999999,31,61545,0
53.89423000000001,31,61547,0
53.93589670000001,31,61549,0
53.97756329999999,31,61550,0
54.01923000000001,30,61550,0
54.06089670000001,30,61549,0
54.10256329999999,30,61547,1
54.14423000000001,30,61545,0
54.18589670000001,30,61542,0
54.22756329999999,30,61538,0
54.26923000000001,30,61533,0
54.31089670000001,30,61528,0
54.35256329999999,30,61522,1
54.39423000000001,30,61515,0
54.43589670000001,30,61508,0
54.47756329999999,30,61501,0
54.51923000000001,30,61493,0
54.56089670000001,30,61484,8
54.60256329999999,30,61476,22
54.64423000000001,30,61467,6
54.68589670000001,31,61457,4
54.72756329999999,31,61447,0
54.76923000000001,31,61437,0
54.81089670000001,31,61427,0
54.85256329999999,31,61417,1
54.89423000000001,31,61407,6
54.93589670000001,31,61396,10
54.97756329999999,31,61386,31
55.01923000000001,31,61375,42
55.06089670000001,31,61365,12
55.10256329999999,31,61354,9
55.14423000000001,31,61344,6
55.18589670000001,31,61333,45
55.22756329999999,31,61323,166
55.26923000000001,31,61312,210
55.31089670000001,30,61302,172
55.35256329999999,30,61291,55
55.39423000000001,30,61281,102
55.43589670000001,30,61271,141
55.47756329999999,30,61260,42
55.51923000000001,30,61250,15
55.56089670000001,30,61239,2
55.60256329999999,30,61229,3
55.64423000000001,30,61219,1
55.68589670000001,30,61208,2
55.72756329999999,30,61198,2
55.76923000000001,30,61188,15
55.81089670000001,30,61177,4
55.85256329999999,30,61167,3
55.89423000000001,30,61156,1
55.93589670000001,30,61146,0
55.97756329999999,30,61136,0
56.01923000000001,30,61125,0
56.06089670000001,30,61115,2
56.10256329999999,30,61104,0
56.14423000000001,30,61094,0
56.18589670000001,30,61084,3
56.22756329999999,30,61074,0
56.26923000000001,30,61064,2
56.31089670000001,30,61055,0
56.35256329999999,30,61046,1
56.39423000000001,30,61037,1
56.43589670000001,30,61028,1
56.47756329999999,30,61020,8
56.51923000000001,30,61013,6
56.56089670000001,31,61006,7
56.60256329999999,31,60999,2
56.64423000000001,31,60993,1
56.68589670000001,31,60987,1
56.72756329999999,31,60983,0
56.76923000000001,31,60979,0
56.81089670000001,31,60975,0
56.85256329999999,31,60973,0
56.89423000000001,32,60971,7
56.93589670000001,32,60970,8
56.97756329999999,32,60970,26
57.01923000000001,32,60971,101
57.06089670000001,32,60972,28
57.10256329999999,32,60975,28
57.14423000000001,32,60979,28
57.18589670000001,32,60983,35
57.22756329999999,32,60988,21
57.26923000000001,32,60995,36
57.31089670000001,33,61002,32
57.35256329999999,33,61009,18
57.39423000000001,33,61018,17
57.43589670000001,33,61027,8
57.47756329999999,33,61037,3
57.51923000000001,33,61048,10
57.56089670000001,33,61060,16
57.60256329999999,33,61072,11
57.64423000000001,33,61085,12
57.68589670000001,33,61098,6
57.72756329999999,33,61113,3
57.76923000000001,33,61128,0
57.81089670000001,33,61143,0
57.85256329999999,33,61159,0
57.89423000000001,33,61176,0
57.93589670000001,33,61193,0
57.97756329999999,33,61210,0
58.01923000000001,33,61228,2
58.06089670000001,33,61247,1
58.10256329999999,32,61266,2
58.14423000000001,32,61285,0
58.18589670000001,32,61305,0
58.22756329999999,32,61325,0
58.26923000000001,32,61344,0
58.31089670000001,32,61364,0
58.35256329999999,32,61384,0
58.39423000000001,32,61403,0
58.43589670000001,32,61422,4
58.47756329999999,32,61441,1
58.51923000000001,32,61460,1
58.56089670000001,32,61478,7
58.60256329999999,32,61495,0
58.64423000000001,32,61512,0
58.68589670000001,32,61529,6
58.72756329999999,32,61544,6
58.76923000000001,32,61559,4
58.81089670000001,32,61572,21
58.85256329999999,32,61585,50
58.89423000000001,32,61596,35
58.93589670000001,32,61607,18
58.97756329999999,32,61616,52
59.01923000000001,32,61623,224
59.06089670000001,32,61630,81
59.10256329999999,32,61635,90
59.14423000000001,32,61639,66
59.18589670000001,32,61641,24
59.22756329999999,33,61643,32
59.26923000000001,33,61643,21
59.31089670000001,33,61642,9
59.35256329999999,33,61640,28
59.39423000000001,33,61637,30
59.43589670000001,33,61633,9
