time,births,population,reported_cases
44.01923,4,4431,0
44.0608967,4,4423,0
44.1025633,4,4417,0
44.14423,4,4413,0
44.1858967,4,4410,0
44.2275633,4,4409,0
44.26923,4,4409,0
44.3108967,4,4411,0
44.3525633,4,4414,0
44.39423,4,4418,0
44.4358967,4,4423,0
44.4775633,4,4430,0
44.51923,4,4437,0
44.5608967,4,4445,0
44.6025633,4,4454,0
44.64423,4,4463,0
44.6858967,4,4473,0
44.7275633,4,4484,0
44.76923,4,4495,0
44.8108967,4,4506,2
44.8525633,4,4518,0
44.89423,4,4530,0
44.9358967,4,4542,0
44.9775633,4,4554,0
45.01923,4,4565,0
45.0608967,4,4577,0
45.1025633,4,4589,1
45.14423,4,4600,1
45.1858967,4,4611,0
45.2275633,4,4622,4
45.26923,4,4632,8
45.3108967,4,4643,27
45.3525633,4,4652,11
45.39423,4,4662,6
45.4358967,4,4670,18
45.4775633,4,4679,39
45.51923,4,4686,17
45.5608967,4,4693,4
45.6025633,4,4700,0
45.64423,4,4705,0
45.6858967,4,4710,0
45.7275633,4,4715,0
45.76923,4,4718,0
45.8108967,4,4721,0
45.8525633,3,4722,0
45.89423,3,4723,0
45.9358967,3,4723,0
45.9775633,3,4722,0
46.01923,3,4720,0
46.0608967,3,4717,0
46.1025633,3,4713,0
46.14423,3,4708,0
46.1858967,3,4702,0
46.2275633,3,4695,0
46.26923,3,4688,0
46.3108967,3,4681,0
46.3525633,3,4673,0
46.39423,3,4665,0
46.4358967,3,4656,0
46.4775633,3,4648,0
46.51923,3,4639,0
46.5608967,3,4630,0
46.6025633,3,4622,0
46.64423,3,4613,0
46.6858967,3,4605,0
46.7275633,3,4597,0
46.76923,3,4590,0
46.8108967,3,4583,0
46.8525633,3,4576,0
46.89423,3,4571,0
46.9358967,3,4566,0
46.9775633,3,4562,0
47.01923,4,4559,2
47.0608967,4,4557,0
47.1025633,4,4555,0
47.14423,4,4555,0
47.1858967,4,4556,2
47.2275633,4,4557,2
47.26923,4,4559,2
47.3108967,4,4562,0
47.3525633,4,4565,0
47.39423,4,4569,0
47.4358967,4,4573,0
47.4775633,4,4578,0
47.51923,4,4583,0
47.5608967,4,4589,0
47.6025633,4,4595,0
47.64423,5,4601,0
47.6858967,5,4608,0
47.7275633,5,4615,0
47.76923,5,4622,0
47.8108967,5,4629,0
47.8525633,5,4636,0
47.89423,5,4643,0
47.9358967,5,4650,0
47.9775633,5,4656,0
48.01923,5,4663,2
48.0608967,5,4670,0
48.1025633,5,4676,0
48.14423,5,4682,0
48.1858967,5,4689,0
48.2275633,5,4695,0
48.26923,5,4701,0
48.3108967,5,4707,0
48.3525633,5,4713,0
48.39423,5,4720,0
48.4358967,5,4726,0
48.4775633,5,4733,0
48.51923,5,4739,0
48.5608967,5,4746,0
48.6025633,5,4754,0
48.64423,5,4761,0
48.6858967,5,4769,0
48.7275633,5,4777,0
48.76923,5,4785,0
48.8108967,5,4794,0
48.8525633,5,4803,0
48.89423,5,4813,0
48.9358967,5,4823,1
48.9775633,5,4834,0
49.01923,5,4845,0
49.0608967,5,4857,0
49.1025633,5,4869,4
49.14423,5,4882,2
49.1858967,5,4895,5
49.2275633,5,4909,72
49.26923,5,4923,69
49.3108967,6,4937,15
49.3525633,6,4952,12
49.39423,6,4967,6
49.4358967,6,4982,8
49.4775633,6,4997,13
49.51923,6,5013,2
49.5608967,6,5028,0
49.6025633,6,5044,1
49.64423,6,5060,2
49.6858967,7,5076,0
49.7275633,7,5092,0
49.76923,7,5108,0
49.8108967,7,5124,0
49.8525633,7,5139,0
49.89423,7,5155,0
49.9358967,7,5171,0
49.9775633,7,5186,0
50.01923,7,5201,0
50.0608967,7,5216,0
50.1025633,7,5230,0
50.14423,7,5245,0
50.1858967,7,5259,0
50.2275633,7,5272,0
50.26923,7,5285,0
50.3108967,7,5298,0
50.3525633,7,5311,0
50.39423,7,5323,0
50.4358967,7,5334,0
50.4775633,7,5346,0
50.51923,7,5356,2
50.5608967,6,5366,0
50.6025633,6,5376,1
50.64423,6,5385,1
50.6858967,6,5394,1
50.7275633,6,5401,0
50.76923,6,5409,0
50.8108967,6,5415,0
50.8525633,6,5421,0
50.89423,6,5427,1
50.9358967,6,5431,0
50.9775633,6,5435,0
51.01923,5,5438,2
51.0608967,5,5441,2
51.1025633,5,5442,11
51.14423,5,5444,42
51.1858967,5,5444,39
51.2275633,5,5444,44
51.26923,5,5443,32
51.3108967,5,5442,84
51.3525633,5,5441,2
51.39423,5,5439,0
51.4358967,5,5437,0
51.4775633,5,5434,0
51.51923,5,5432,0
51.5608967,5,5429,0
51.6025633,5,5426,0
51.64423,5,5423,0
51.6858967,5,5420,0
51.7275633,5,5416,0
51.76923,5,5413,0
51.8108967,5,5410,0
51.8525633,5,5407,0
51.89423,5,5405,0
51.9358967,5,5402,0
51.9775633,5,5400,0
52.01923,5,5398,0
52.0608967,4,5397,0
52.1025633,4,5395,0
52.14423,4,5394,0
