time,births,population,reported_cases
44.01923,6,8036,0
44.0608967,6,8038,0
44.1025633,6,8039,0
44.14423,5,8038,0
44.1858967,5,8037,0
44.2275633,5,8035,0
44.26923,5,8032,0
44.3108967,4,8029,0
44.3525633,4,8024,0
44.39423,4,8020,0
44.4358967,4,8014,0
44.4775633,4,8009,0
44.51923,4,8003,2
44.5608967,4,7997,0
44.6025633,4,7990,0
44.64423,4,7984,0
44.6858967,4,7977,0
44.7275633,4,7971,0
44.76923,4,7965,0
44.8108967,4,7959,2
44.8525633,4,7953,0
44.89423,4,7947,0
44.9358967,4,7943,0
44.9775633,4,7938,0
45.01923,5,7934,0
45.0608967,5,7931,4
45.1025633,5,7929,0
45.14423,5,7927,0
45.1858967,5,7926,0
45.2275633,5,7926,0
45.26923,5,7926,0
45.3108967,5,7928,8
45.3525633,6,7930,10
45.39423,6,7933,15
45.4358967,6,7937,13
45.4775633,6,7942,15
45.51923,6,7947,0
45.5608967,6,7954,0
45.6025633,6,7962,0
45.64423,6,7971,0
45.6858967,7,7981,0
45.7275633,7,7992,0
45.76923,7,8004,0
45.8108967,7,8017,0
45.8525633,7,8031,0
45.89423,7,8047,0
45.9358967,7,8064,0
45.9775633,7,8082,0
46.01923,7,8101,0
46.0608967,7,8122,0
46.1025633,7,8143,0
46.14423,7,8166,0
46.1858967,7,8189,0
46.2275633,7,8214,0
46.26923,7,8239,0
46.3108967,7,8264,0
46.3525633,7,8290,0
46.39423,7,8316,0
46.4358967,7,8343,0
46.4775633,7,8369,0
46.51923,7,8396,0
46.5608967,7,8422,0
46.6025633,7,8448,0
46.64423,7,8474,0
46.6858967,7,8499,1
46.7275633,7,8524,0
46.76923,7,8548,0
46.8108967,7,8571,0
46.8525633,7,8593,0
46.89423,7,8615,0
46.9358967,7,8635,0
46.9775633,7,8653,0
47.01923,7,8671,0
47.0608967,7,8687,0
47.1025633,7,8701,2
47.14423,7,8715,0
47.1858967,7,8727,0
47.2275633,7,8738,2
47.26923,7,8748,0
47.3108967,7,8757,0
47.3525633,7,8764,0
47.39423,7,8771,0
47.4358967,7,8777,0
47.4775633,7,8783,0
47.51923,7,8787,2
47.5608967,7,8791,0
47.6025633,7,8795,0
47.64423,7,8798,0
47.6858967,7,8800,0
47.7275633,7,8802,0
47.76923,7,8804,0
47.8108967,7,8805,0
47.8525633,7,8806,0
47.89423,7,8807,0
47.9358967,7,8808,0
47.9775633,7,8809,0
48.01923,7,8811,0
48.0608967,7,8812,0
48.1025633,7,8813,0
48.14423,7,8814,0
48.1858967,7,8816,0
48.2275633,7,8818,0
48.26923,7,8819,0
48.3108967,7,8821,0
48.3525633,7,8824,0
48.39423,7,8826,0
48.4358967,7,8828,0
48.4775633,7,8831,0
48.51923,7,8834,0
48.5608967,6,8838,0
48.6025633,6,8841,0
48.64423,6,8845,0
48.6858967,6,8849,4
48.7275633,6,8853,0
48.76923,6,8858,0
48.8108967,6,8863,0
48.8525633,6,8868,0
48.89423,6,8874,0
48.9358967,6,8880,0
48.9775633,6,8886,0
49.01923,6,8893,0
49.0608967,6,8900,0
49.1025633,6,8908,0
49.14423,6,8915,44
49.1858967,6,8922,56
49.2275633,6,8930,29
49.26923,6,8937,4
49.3108967,6,8944,0
49.3525633,6,8950,1
49.39423,6,8956,12
49.4358967,6,8962,1
49.4775633,6,8966,0
49.51923,6,8970,7
49.5608967,6,8973,13
49.6025633,6,8975,14
49.64423,7,8976,0
49.6858967,7,8975,0
49.7275633,7,8973,0
49.76923,7,8970,0
49.8108967,7,8965,0
49.8525633,7,8958,0
49.89423,7,8950,0
49.9358967,7,8940,0
49.9775633,7,8927,0
50.01923,7,8913,0
50.0608967,7,8897,0
50.1025633,7,8878,0
50.14423,7,8858,0
50.1858967,7,8837,0
50.2275633,7,8814,0
50.26923,7,8790,0
50.3108967,7,8765,2
50.3525633,7,8739,1
50.39423,7,8712,0
50.4358967,7,8685,0
50.4775633,7,8658,0
50.51923,7,8631,0
50.5608967,7,8603,0
50.6025633,7,8576,0
50.64423,7,8550,0
50.6858967,7,8524,0
50.7275633,7,8498,0
50.76923,7,8474,0
50.8108967,7,8451,0
50.8525633,7,8429,0
50.89423,7,8409,0
50.9358967,7,8390,0
50.9775633,7,8373,0
51.01923,6,8358,0
51.0608967,6,8346,0
51.1025633,6,8335,0
51.14423,6,8326,2
51.1858967,6,8319,4
51.2275633,6,8313,0
51.26923,6,8310,2
51.3108967,6,8307,11
51.3525633,6,8306,1
51.39423,6,8306,13
51.4358967,6,8308,8
51.4775633,6,8310,11
51.51923,6,8314,4
51.5608967,6,8318,3
51.6025633,6,8323,0
51.64423,6,8329,11
51.6858967,6,8335,0
51.7275633,6,8342,0
51.76923,6,8349,7
51.8108967,6,8357,0
51.8525633,6,8364,0
51.89423,5,8372,0
51.9358967,5,8380,0
51.9775633,5,8387,0
52.01923,5,8394,0
52.0608967,5,8401,0
52.1025633,5,8408,0
52.14423,5,8414,1
52.1858967,5,8421,0
52.2275633,6,8426,0
52.26923,6,8432,0
52.3108967,6,8438,0
52.3525633,6,8443,0
52.39423,6,8449,0
52.43589670000001,6,8454,24
52.47756329999999,6,8459,0
52.51923000000001,6,8464,0
52.56089670000001,6,8469,2
52.60256329999999,6,8474,0
52.64423000000001,6,8478,6
52.68589670000001,6,8483,0
52.72756329999999,6,8488,0
52.76923000000001,6,8493,1
52.81089670000001,6,8498,0
52.85256329999999,6,8503,0
52.89423000000001,6,8508,0
52.93589670000001,6,8513,0
52.97756329999999,6,8518,0
53.01923000000001,6,8523,0
53.06089670000001,6,8529,0
53.10256329999999,6,8535,0
53.14423000000001,6,8540,0
53.18589670000001,6,8546,1
53.22756329999999,6,8552,15
53.26923000000001,6,8557,0
53.31089670000001,6,8563,0
53.35256329999999,6,8568,4
53.39423000000001,6,8574,0
53.43589670000001,6,8579,0
53.47756329999999,6,8584,0
