time,births,population,reported_cases
44.01923,68,72129,2
44.0608967,67,71909,3
44.1025633,66,71717,5
44.14423,66,71552,2
44.1858967,65,71413,6
44.2275633,65,71298,4
44.26923,64,71208,9
44.3108967,64,71141,0
44.3525633,63,71095,3
44.39423,63,71070,3
44.4358967,63,71064,1
44.4775633,62,71078,8
44.51923,62,71108,0
44.5608967,62,71156,0
44.6025633,62,71218,0
44.64423,62,71295,2
44.6858967,62,71386,12
44.7275633,62,71489,19
44.76923,62,71603,42
44.8108967,62,71727,80
44.8525633,62,71860,101
44.89423,62,72002,109
44.9358967,62,72150,140
44.9775633,62,72305,172
45.01923,62,72464,84
45.0608967,63,72628,66
45.1025633,63,72795,11
45.14423,63,72965,9
45.1858967,63,73137,18
45.2275633,64,73310,4
45.26923,64,73485,9
45.3108967,65,73660,0
45.3525633,65,73835,7
45.39423,65,74008,3
45.4358967,66,74181,2
45.4775633,66,74351,0
45.51923,67,74518,0
45.5608967,67,74682,3
45.6025633,68,74841,1
45.64423,68,74996,0
45.6858967,68,75146,0
45.7275633,69,75290,2
45.76923,69,75427,2
45.8108967,70,75557,0
45.8525633,70,75680,0
45.89423,71,75793,1
45.9358967,71,75898,0
45.9775633,72,75993,0
46.01923,72,76078,7
46.0608967,73,76152,0
46.1025633,73,76217,0
46.14423,74,76273,0
46.1858967,74,76320,0
46.2275633,74,76359,6
46.26923,75,76392,9
46.3108967,75,76418,1
46.3525633,75,76439,4
46.39423,76,76455,28
46.4358967,76,76466,43
46.4775633,76,76473,36
46.51923,76,76478,90
46.5608967,77,76480,62
46.6025633,77,76480,33
46.64423,77,76480,34
46.6858967,77,76479,23
46.7275633,77,76479,4
46.76923,77,76479,0
46.8108967,77,76481,6
46.8525633,77,76486,4
46.89423,77,76493,13
46.9358967,77,76504,18
46.9775633,77,76520,11
47.01923,77,76540,44
47.0608967,77,76566,113
47.1025633,76,76596,104
47.14423,76,76631,78
47.1858967,76,76671,36
47.2275633,75,76714,3
47.26923,75,76761,22
47.3108967,75,76812,11
47.3525633,74,76865,1
47.39423,74,76921,2
47.4358967,73,76980,2
47.4775633,73,77041,2
47.51923,72,77104,1
47.5608967,72,77168,5
47.6025633,71,77234,0
47.64423,71,77300,0
47.6858967,70,77367,0
47.7275633,70,77434,0
47.76923,69,77501,0
47.8108967,69,77568,0
47.8525633,69,77635,2
47.89423,68,77700,2
47.9358967,68,77764,0
47.9775633,68,77827,0
48.01923,67,77888,0
48.0608967,67,77947,2
48.1025633,67,78004,0
48.14423,67,78059,0
48.1858967,66,78112,1
48.2275633,66,78163,0
48.26923,66,78213,2
48.3108967,66,78261,6
48.3525633,66,78307,4
48.39423,66,78352,1
48.4358967,66,78395,0
48.4775633,66,78437,6
48.51923,66,78478,18
48.5608967,66,78517,18
48.6025633,66,78554,12
48.64423,66,78591,22
