time,births,population,reported_cases
44.01923,2,2362,0
44.0608967,2,2341,0
44.1025633,2,2323,0
44.14423,2,2305,0
44.1858967,2,2290,0
44.2275633,2,2276,0
44.26923,2,2264,2
44.3108967,2,2253,0
44.3525633,2,2243,1
44.39423,2,2235,0
44.4358967,2,2228,0
44.4775633,2,2222,0
44.51923,2,2217,0
44.5608967,2,2214,0
44.6025633,2,2212,0
44.64423,2,2210,0
44.6858967,2,2210,0
44.7275633,2,2210,0
44.76923,2,2211,0
44.8108967,2,2213,0
44.8525633,2,2216,0
44.89423,2,2219,0
44.9358967,2,2223,0
44.9775633,2,2227,0
45.01923,2,2232,0
45.0608967,2,2238,0
45.1025633,2,2243,0
45.14423,2,2249,0
45.1858967,2,2256,0
45.2275633,2,2262,0
45.26923,2,2269,2
45.3108967,2,2276,2
45.3525633,2,2283,8
45.39423,2,2291,0
45.4358967,2,2298,0
45.4775633,2,2305,0
45.51923,2,2313,0
45.5608967,2,2320,0
45.6025633,2,2328,0
45.64423,2,2335,0
45.6858967,2,2342,0
45.7275633,2,2349,0
45.76923,2,2356,0
45.8108967,2,2362,0
45.8525633,2,2368,0
45.89423,2,2374,0
45.9358967,2,2379,0
45.9775633,2,2384,0
46.01923,2,2389,0
46.0608967,2,2393,0
46.1025633,2,2397,0
46.14423,2,2400,0
46.1858967,2,2403,0
46.2275633,2,2406,0
46.26923,2,2408,0
46.3108967,2,2410,0
46.3525633,2,2412,0
46.39423,2,2413,1
46.4358967,2,2415,0
46.4775633,2,2416,0
46.51923,2,2417,2
46.5608967,2,2417,0
46.6025633,2,2418,0
46.64423,2,2419,0
46.6858967,2,2419,0
46.7275633,2,2420,0
46.76923,3,2421,0
46.8108967,3,2421,0
46.8525633,3,2422,0
46.89423,3,2423,0
46.9358967,3,2423,0
46.9775633,3,2424,0
47.01923,3,2426,0
47.0608967,3,2427,0
47.1025633,3,2428,0
47.14423,3,2430,0
47.1858967,3,2432,0
47.2275633,3,2434,0
47.26923,3,2436,0
47.3108967,3,2438,0
47.3525633,3,2440,0
47.39423,3,2442,0
47.4358967,3,2445,0
47.4775633,3,2447,7
47.51923,3,2450,6
47.5608967,3,2452,0
47.6025633,3,2455,0
47.64423,3,2457,0
47.6858967,3,2460,0
47.7275633,2,2462,0
47.76923,2,2465,0
47.8108967,2,2467,0
47.8525633,2,2470,0
47.89423,2,2472,0
47.9358967,2,2475,0
47.9775633,2,2477,0
48.01923,2,2479,0
48.0608967,2,2481,0
48.1025633,2,2483,0
48.14423,2,2485,0
48.1858967,2,2487,0
48.2275633,2,2489,0
48.26923,2,2490,0
48.3108967,2,2492,0
48.3525633,2,2493,0
48.39423,2,2495,1
48.4358967,2,2496,0
48.4775633,2,2498,0
48.51923,2,2499,0
48.5608967,2,2501,0
48.6025633,2,2502,0
48.64423,2,2503,0
48.6858967,2,2505,0
48.7275633,2,2506,0
48.76923,2,2507,0
48.8108967,2,2509,0
48.8525633,2,2510,0
48.89423,2,2511,0
48.9358967,2,2513,0
48.9775633,2,2514,0
49.01923,2,2516,2
49.0608967,2,2517,4
49.1025633,2,2519,2
49.14423,2,2520,0
49.1858967,2,2522,0
49.2275633,2,2523,0
49.26923,2,2525,0
49.3108967,2,2527,0
49.3525633,2,2528,0
