time,births,population,reported_cases
44.01923,17,17636,0
44.0608967,17,17588,0
44.1025633,16,17544,0
44.14423,16,17503,4
44.1858967,16,17466,1
44.2275633,15,17433,4
44.26923,15,17403,2
44.3108967,15,17376,0
44.3525633,15,17353,0
44.39423,15,17333,0
44.4358967,15,17315,0
44.4775633,14,17301,0
44.51923,14,17289,0
44.5608967,14,17280,5
44.6025633,14,17273,0
44.64423,14,17269,0
44.6858967,14,17267,0
44.7275633,14,17267,0
44.76923,15,17269,0
44.8108967,15,17272,0
44.8525633,15,17278,0
44.89423,15,17285,0
44.9358967,15,17294,0
44.9775633,15,17304,2
45.01923,15,17315,2
45.0608967,15,17328,4
45.1025633,15,17342,2
45.14423,16,17356,1
45.1858967,16,17372,27
45.2275633,16,17388,54
45.26923,16,17405,41
45.3108967,16,17423,32
45.3525633,16,17441,21
45.39423,17,17459,27
45.4358967,17,17479,15
45.4775633,17,17498,21
45.51923,17,17517,22
45.5608967,17,17537,16
45.6025633,18,17557,8
45.64423,18,17576,3
45.6858967,18,17596,1
45.7275633,18,17615,0
45.76923,18,17634,0
45.8108967,18,17653,4
45.8525633,18,17671,0
45.89423,19,17689,0
45.9358967,19,17705,0
45.9775633,19,17722,0
46.01923,19,17737,0
46.0608967,19,17751,0
46.1025633,19,17765,0
46.14423,19,17778,1
46.1858967,19,17790,1
46.2275633,19,17802,2
46.26923,19,17812,0
46.3108967,19,17822,2
46.3525633,19,17832,1
46.39423,19,17841,2
46.4358967,19,17849,0
46.4775633,19,17857,4
46.51923,19,17865,0
46.5608967,19,17872,2
46.6025633,19,17878,4
46.64423,19,17885,1
46.6858967,19,17891,3
46.7275633,19,17896,2
46.76923,19,17902,0
46.8108967,19,17907,0
46.8525633,19,17912,1
46.89423,18,17918,0
46.9358967,18,17922,1
46.9775633,18,17927,0
47.01923,18,17932,0
47.0608967,18,17937,18
47.1025633,18,17942,12
47.14423,18,17947,19
47.1858967,18,17952,26
47.2275633,18,17957,9
47.26923,18,17962,13
47.3108967,18,17967,3
47.3525633,18,17972,5
47.39423,18,17977,0
47.4358967,18,17981,3
47.4775633,18,17986,11
47.51923,18,17991,43
47.5608967,17,17996,89
47.6025633,17,18001,62
47.64423,17,18006,19
47.6858967,17,18012,4
47.7275633,17,18017,1
47.76923,17,18022,0
47.8108967,17,18027,0
47.8525633,17,18032,0
47.89423,17,18037,0
47.9358967,17,18042,0
47.9775633,17,18047,2
48.01923,17,18052,0
48.0608967,17,18058,0
48.1025633,16,18063,4
48.14423,16,18068,2
48.1858967,16,18073,13
48.2275633,16,18078,41
48.26923,16,18083,30
48.3108967,16,18088,15
48.3525633,16,18094,13
48.39423,16,18099,18
48.4358967,16,18103,6
48.4775633,15,18108,8
48.51923,15,18113,22
48.5608967,15,18118,28
48.6025633,15,18122,24
48.64423,15,18127,8
48.6858967,15,18131,9
48.7275633,15,18136,4
48.76923,15,18140,0
48.8108967,14,18144,0
48.8525633,14,18148,1
48.89423,14,18151,1
48.9358967,14,18155,1
48.9775633,14,18158,0
49.01923,14,18161,28
49.0608967,14,18164,15
49.1025633,13,18167,31
49.14423,13,18170,61
49.1858967,13,18173,42
49.2275633,13,18175,34
49.26923,13,18178,22
49.3108967,13,18180,9
49.3525633,13,18183,4
49.39423,12,18185,1
49.4358967,12,18187,12
49.4775633,12,18190,8
49.51923,12,18192,4
49.5608967,12,18195,14
49.6025633,12,18197,8
49.64423,12,18200,0
49.6858967,12,18203,1
49.7275633,12,18206,0
49.76923,11,18209,0
49.8108967,11,18212,0
49.8525633,11,18216,1
49.89423,11,18219,1
49.9358967,11,18223,0
49.9775633,11,18228,2
50.01923,11,18232,0
50.0608967,11,18237,0
50.1025633,11,18242,0
50.14423,12,18248,0
50.1858967,12,18253,0
50.2275633,12,18260,0
50.26923,12,18266,0
50.3108967,12,18273,0
50.3525633,12,18280,0
50.39423,12,18288,1
50.4358967,12,18297,3
50.4775633,12,18305,0
50.51923,13,18314,4
50.5608967,13,18324,5
50.6025633,13,18334,8
50.64423,13,18345,8
50.6858967,13,18356,9
50.7275633,13,18368,9
50.76923,13,18380,2
50.8108967,14,18393,7
50.8525633,14,18407,12
50.89423,14,18421,15
50.9358967,14,18436,51
50.9775633,14,18451,151
51.01923,14,18468,107
51.0608967,14,18484,37
51.1025633,14,18502,10
51.14423,14,18520,51
51.1858967,14,18540,38
51.2275633,14,18560,24
51.26923,15,18581,22
51.3108967,15,18604,16
51.3525633,15,18627,20
51.39423,15,18652,7
51.4358967,15,18678,9
51.4775633,15,18706,2
51.51923,15,18734,2
51.5608967,15,18765,0
51.6025633,15,18797,0
51.64423,15,18830,1
51.6858967,15,18865,0
51.7275633,15,18902,0
51.76923,15,18941,0
51.8108967,14,18981,0
51.8525633,14,19024,0
51.89423,14,19068,0
51.9358967,14,19114,0
51.9775633,14,19163,0
52.01923,14,19214,0
52.0608967,14,19267,5
52.1025633,14,19321,0
52.14423,14,19378,0
52.1858967,14,19437,0
52.2275633,14,19497,4
52.26923,14,19558,0
52.3108967,14,19621,4
52.3525633,14,19685,2
52.39423,14,19751,3
52.43589670000001,14,19817,10
52.47756329999999,14,19883,21
52.51923000000001,14,19951,4
52.56089670000001,14,20019,8
52.60256329999999,14,20087,10
52.64423000000001,14,20156,3
52.68589670000001,14,20224,0
52.72756329999999,14,20293,2
52.76923000000001,14,20361,0
52.81089670000001,14,20429,0
52.85256329999999,14,20497,0
52.89423000000001,14,20564,0
52.93589670000001,14,20630,0
52.97756329999999,14,20695,1
53.01923000000001,14,20760,122
53.06089670000001,14,20823,62
53.10256329999999,14,20885,80
53.14423000000001,15,20947,79
53.18589670000001,15,21007,70
53.22756329999999,15,21067,42
53.26923000000001,15,21126,54
53.31089670000001,15,21185,14
53.35256329999999,15,21243,13
53.39423000000001,16,21301,2
53.43589670000001,16,21359,0
