time,births,population,reported_cases
44.01923,4,4498,0
44.0608967,4,4507,0
44.1025633,4,4516,0
44.14423,4,4525,0
44.1858967,4,4534,0
44.2275633,4,4542,0
44.26923,4,4551,0
44.3108967,3,4559,0
44.3525633,3,4567,0
44.39423,3,4575,0
44.4358967,3,4583,0
44.4775633,3,4590,0
44.51923,3,4597,0
44.5608967,3,4604,0
44.6025633,3,4611,2
44.64423,3,4618,0
44.6858967,3,4624,0
44.7275633,3,4630,0
44.76923,3,4636,0
44.8108967,3,4641,0
44.8525633,3,4647,0
44.89423,3,4652,0
44.9358967,3,4656,0
44.9775633,3,4661,0
45.01923,3,4665,0
45.0608967,3,4669,0
45.1025633,3,4672,1
45.14423,3,4675,2
45.1858967,3,4678,4
45.2275633,3,4681,15
45.26923,3,4684,29
45.3108967,3,4686,21
45.3525633,3,4688,18
45.39423,4,4689,14
45.4358967,4,4691,3
45.4775633,4,4692,0
45.51923,4,4693,0
45.5608967,4,4694,0
45.6025633,4,4694,2
45.64423,4,4695,1
45.6858967,4,4695,0
45.7275633,4,4695,0
45.76923,4,4695,0
45.8108967,4,4694,0
45.8525633,4,4694,0
45.89423,4,4693,0
45.9358967,4,4692,0
45.9775633,4,4692,0
46.01923,4,4691,0
46.0608967,4,4689,0
46.1025633,4,4688,0
46.14423,4,4687,0
46.1858967,4,4686,0
46.2275633,4,4684,0
46.26923,4,4683,0
46.3108967,4,4682,0
46.3525633,4,4681,0
46.39423,4,4680,0
46.4358967,4,4680,0
46.4775633,4,4679,0
46.51923,4,4679,0
46.5608967,4,4680,0
46.6025633,4,4680,0
46.64423,4,4681,0
46.6858967,4,4683,0
46.7275633,4,4684,0
46.76923,4,4687,0
46.8108967,4,4690,0
46.8525633,4,4693,0
46.89423,4,4697,0
46.9358967,4,4702,0
46.9775633,4,4707,0
47.01923,4,4713,0
47.0608967,4,4719,0
47.1025633,4,4727,0
47.14423,4,4735,0
47.1858967,4,4743,0
47.2275633,4,4752,0
47.26923,4,4761,1
47.3108967,4,4771,0
47.3525633,4,4781,0
47.39423,4,4792,0
47.4358967,4,4802,0
47.4775633,4,4813,1
47.51923,4,4825,2
47.5608967,4,4836,2
