time,births,population,reported_cases
44.01923,30,37882,2
44.0608967,30,37785,0
44.1025633,30,37697,0
44.14423,30,37617,0
44.1858967,30,37546,0
44.2275633,29,37483,0
44.26923,29,37428,2
44.3108967,29,37381,11
44.3525633,29,37341,1
44.39423,29,37308,0
44.4358967,29,37282,0
44.4775633,29,37263,0
44.51923,29,37250,0
44.5608967,28,37242,2
44.6025633,28,37241,1
44.64423,28,37245,1
44.6858967,28,37255,0
44.7275633,28,37270,0
44.76923,28,37289,0
44.8108967,28,37313,0
44.8525633,27,37341,1
44.89423,27,37373,1
44.9358967,27,37408,0
44.9775633,27,37448,0
45.01923,27,37490,0
45.0608967,27,37535,6
45.1025633,27,37583,40
45.14423,27,37634,174
45.1858967,27,37687,314
45.2275633,27,37742,219
45.26923,26,37799,60
45.3108967,26,37858,14
45.3525633,26,37918,8
45.39423,26,37979,3
45.4358967,26,38042,3
45.4775633,26,38105,7
45.51923,26,38169,2
45.5608967,26,38234,2
45.6025633,26,38299,0
45.64423,26,38364,1
45.6858967,26,38428,0
45.7275633,26,38493,0
45.76923,26,38556,0
45.8108967,27,38620,0
45.8525633,27,38682,0
45.89423,27,38742,0
45.9358967,27,38802,0
45.9775633,27,38860,0
46.01923,27,38916,0
46.0608967,27,38970,0
46.1025633,27,39022,0
46.14423,28,39072,0
46.1858967,28,39121,0
46.2275633,28,39167,0
46.26923,28,39212,0
46.3108967,28,39254,0
46.3525633,28,39295,0
46.39423,29,39334,2
46.4358967,29,39372,0
46.4775633,29,39407,0
46.51923,29,39441,0
46.5608967,29,39472,0
46.6025633,29,39502,0
46.64423,30,39531,0
46.6858967,30,39557,0
46.7275633,30,39582,0
46.76923,30,39604,0
46.8108967,30,39626,0
46.8525633,30,39645,0
46.89423,30,39663,0
46.9358967,30,39679,0
46.9775633,30,39693,0
47.01923,30,39706,2
47.0608967,30,39717,3
47.1025633,30,39726,2
47.14423,30,39734,0
47.1858967,30,39740,5
47.2275633,30,39745,2
47.26923,30,39749,1
47.3108967,30,39752,4
47.3525633,30,39754,6
47.39423,30,39755,11
47.4358967,30,39755,6
47.4775633,30,39754,3
47.51923,29,39752,18
47.5608967,29,39750,53
47.6025633,29,39747,82
47.64423,29,39744,32
47.6858967,29,39740,10
47.7275633,29,39736,5
47.76923,28,39732,2
47.8108967,28,39728,4
47.8525633,28,39724,2
47.89423,28,39720,3
47.9358967,28,39716,3
47.9775633,28,39712,1
48.01923,27,39708,6
48.0608967,27,39705,4
48.1025633,27,39703,1
48.14423,27,39700,1
48.1858967,27,39699,0
48.2275633,27,39698,0
48.26923,27,39697,0
48.3108967,26,39697,2
48.3525633,26,39698,1
48.39423,26,39699,1
48.4358967,26,39702,1
48.4775633,26,39705,6
48.51923,26,39709,4
48.5608967,26,39713,7
48.6025633,26,39719,20
48.64423,26,39726,19
48.6858967,25,39734,21
48.7275633,25,39743,13
48.76923,25,39753,0
48.8108967,25,39764,2
48.8525633,25,39776,0
48.89423,25,39790,0
48.9358967,25,39804,2
48.9775633,25,39821,17
49.01923,25,39838,84
49.0608967,25,39857,154
49.1025633,25,39877,249
49.14423,24,39898,167
49.1858967,24,39920,126
49.2275633,24,39942,71
49.26923,24,39965,32
49.3108967,24,39987,6
49.3525633,24,40010,5
49.39423,24,40032,4
49.4358967,24,40054,1
49.4775633,24,40076,2
49.51923,24,40096,4
49.5608967,24,40116,8
49.6025633,24,40134,2
49.64423,24,40151,2
49.6858967,24,40166,0
49.7275633,24,40180,2
49.76923,24,40191,0
49.8108967,24,40200,0
49.8525633,24,40207,1
49.89423,24,40212,0
49.9358967,24,40213,0
49.9775633,24,40212,0
50.01923,24,40208,0
50.0608967,24,40200,0
50.1025633,24,40189,1
50.14423,24,40176,0
50.1858967,24,40160,0
50.2275633,24,40142,0
50.26923,24,40122,2
50.3108967,24,40100,3
50.3525633,24,40076,1
50.39423,24,40051,9
50.4358967,24,40025,12
50.4775633,24,39997,23
50.51923,24,39969,4
50.5608967,24,39941,8
50.6025633,24,39912,14
50.64423,24,39883,1
50.6858967,24,39854,3
50.7275633,23,39825,2
50.76923,23,39797,0
50.8108967,23,39769,0
50.8525633,23,39743,0
50.89423,23,39718,0
50.9358967,23,39694,1
50.9775633,23,39671,3
51.01923,23,39651,4
51.0608967,23,39632,2
51.1025633,23,39615,0
51.14423,22,39600,2
51.1858967,22,39587,17
51.2275633,22,39575,18
51.26923,22,39565,63
51.3108967,22,39556,64
51.3525633,22,39548,103
51.39423,21,39542,104
51.4358967,21,39537,103
51.4775633,21,39533,72
51.51923,21,39530,9
51.5608967,21,39528,14
51.6025633,21,39526,9
51.64423,21,39526,8
51.6858967,20,39526,1
51.7275633,20,39527,0
51.76923,20,39528,0
51.8108967,20,39529,0
51.8525633,20,39531,0
51.89423,20,39534,0
51.9358967,20,39536,0
51.9775633,20,39539,0
52.01923,20,39541,0
52.0608967,20,39544,0
52.1025633,20,39546,2
52.14423,20,39549,13
52.1858967,21,39552,1
52.2275633,21,39554,2
52.26923,21,39557,2
52.3108967,21,39560,1
52.3525633,21,39563,1
52.39423,22,39567,0
52.43589670000001,22,39570,2
52.47756329999999,22,39574,1
52.51923000000001,22,39578,1
52.56089670000001,22,39582,3
52.60256329999999,23,39587,7
52.64423000000001,23,39592,19
52.68589670000001,23,39597,5
52.72756329999999,23,39602,4
52.76923000000001,23,39608,1
52.81089670000001,23,39615,2
52.85256329999999,24,39622,14
52.89423000000001,24,39629,44
52.93589670000001,24,39637,42
52.97756329999999,24,39645,6
53.01923000000001,24,39654,17
53.06089670000001,24,39664,44
53.10256329999999,24,39674,98
53.14423000000001,24,39684,113
53.18589670000001,24,39695,99
53.22756329999999,23,39707,66
53.26923000000001,23,39719,39
53.31089670000001,23,39731,14
53.35256329999999,23,39744,12
53.39423000000001,23,39757,2
53.43589670000001,23,39771,1
53.47756329999999,22,39785,2
53.51923000000001,22,39799,2
53.56089670000001,22,39814,0
53.60256329999999,22,39830,3
53.64423000000001,22,39845,0
53.68589670000001,22,39861,0
53.72756329999999,21,39877,0
53.76923000000001,21,39894,0
53.81089670000001,21,39911,0
53.85256329999999,21,39928,0
53.89423000000001,21,39945,0
53.93589670000001,21,39963,0
53.97756329999999,21,39980,0
54.01923000000001,21,39998,0
54.06089670000001,21,40017,0
54.10256329999999,21,40035,0
54.14423000000001,21,40053,0
54.18589670000001,21,40071,0
54.22756329999999,21,40090,0
54.26923000000001,21,40108,0
54.31089670000001,21,40126,0
54.35256329999999,21,40143,0
54.39423000000001,21,40160,0
54.43589670000001,21,40177,0
54.47756329999999,21,40194,0
54.51923000000001,21,40209,0
54.56089670000001,22,40224,0
54.60256329999999,22,40239,0
54.64423000000001,22,40253,2
54.68589670000001,22,40266,0
54.72756329999999,22,40278,0
54.76923000000001,22,40289,0
54.81089670000001,22,40299,0
54.85256329999999,22,40308,0
54.89423000000001,22,40316,0
54.93589670000001,23,40322,0
54.97756329999999,23,40328,0
55.01923000000001,23,40332,0
55.06089670000001,23,40334,2
55.10256329999999,23,40336,8
55.14423000000001,23,40336,9
55.18589670000001,23,40336,6
55.22756329999999,23,40334,20
55.26923000000001,23,40332,58
55.31089670000001,22,40330,61
55.35256329999999,22,40326,31
55.39423000000001,22,40323,110
55.43589670000001,22,40319,179
55.47756329999999,22,40315,105
55.51923000000001,22,40311,39
55.56089670000001,22,40307,23
55.60256329999999,22,40303,12
55.64423000000001,22,40300,5
55.68589670000001,22,40297,5
55.72756329999999,22,40294,1
55.76923000000001,22,40292,0
55.81089670000001,21,40291,0
55.85256329999999,21,40291,0
55.89423000000001,21,40292,0
55.93589670000001,21,40294,0
55.97756329999999,21,40298,2
56.01923000000001,21,40302,0
56.06089670000001,21,40308,0
56.10256329999999,21,40316,0
56.14423000000001,21,40324,0
56.18589670000001,21,40334,0
56.22756329999999,21,40345,0
56.26923000000001,21,40356,0
56.31089670000001,21,40369,0
56.35256329999999,21,40382,0
56.39423000000001,21,40395,0
56.43589670000001,22,40410,0
56.47756329999999,22,40424,0
56.51923000000001,22,40439,0
56.56089670000001,22,40454,0
56.60256329999999,22,40469,0
56.64423000000001,22,40484,1
56.68589670000001,22,40500,2
56.72756329999999,22,40514,0
56.76923000000001,22,40529,0
56.81089670000001,23,40543,0
56.85256329999999,23,40557,1
56.89423000000001,23,40570,0
56.93589670000001,23,40582,0
56.97756329999999,23,40594,0
57.01923000000001,23,40605,0
57.06089670000001,23,40615,0
57.10256329999999,23,40624,0
57.14423000000001,23,40632,0
57.18589670000001,24,40640,0
57.22756329999999,24,40647,0
57.26923000000001,24,40654,0
57.31089670000001,24,40660,0
57.35256329999999,24,40666,5
57.39423000000001,24,40672,4
57.43589670000001,24,40678,9
57.47756329999999,24,40684,8
57.51923000000001,24,40690,0
57.56089670000001,25,40696,9
57.60256329999999,25,40703,5
57.64423000000001,25,40710,3
57.68589670000001,25,40718,0
57.72756329999999,25,40726,0
57.76923000000001,25,40735,0
57.81089670000001,25,40744,0
57.85256329999999,25,40755,0
57.89423000000001,25,40766,0
57.93589670000001,25,40779,0
57.97756329999999,25,40792,0
58.01923000000001,25,40807,0
58.06089670000001,26,40823,3
58.10256329999999,26,40840,38
58.14423000000001,26,40858,114
58.18589670000001,26,40877,112
58.22756329999999,26,40896,141
58.26923000000001,26,40916,119
58.31089670000001,26,40936,61
58.35256329999999,26,40956,21
58.39423000000001,26,40976,3
58.43589670000001,26,40995,2
58.47756329999999,26,41015,1
58.51923000000001,26,41033,0
58.56089670000001,26,41051,2
58.60256329999999,26,41068,2
58.64423000000001,26,41084,4
58.68589670000001,26,41098,3
58.72756329999999,26,41111,3
58.76923000000001,26,41123,0
58.81089670000001,26,41132,0
58.85256329999999,26,41140,0
58.89423000000001,26,41146,0
58.93589670000001,27,41149,0
58.97756329999999,27,41151,0
59.01923000000001,27,41149,2
59.06089670000001,27,41145,3
59.10256329999999,27,41139,13
59.14423000000001,27,41131,30
59.18589670000001,27,41121,19
59.22756329999999,27,41110,16
59.26923000000001,27,41099,28
59.31089670000001,27,41086,8
59.35256329999999,27,41074,9
59.39423000000001,27,41062,9
59.43589670000001,27,41050,19
59.47756329999999,27,41039,59
59.51923000000001,27,41029,48
59.56089670000001,27,41021,44
59.60256329999999,27,41015,17
59.64423000000001,27,41011,9
59.68589670000001,27,41009,1
59.72756329999999,27,41010,2
59.76923000000001,27,41014,0
59.81089670000001,27,41022,0
59.85256329999999,27,41033,0
59.89423000000001,27,41049,0
59.93589670000001,27,41069,1
59.97756329999999,27,41094,0
60.01923000000001,27,41125,0
60.06089670000001,27,41160,0
60.10256329999999,27,41200,0
60.14423000000001,27,41245,0
60.18589670000001,27,41293,0
60.22756329999999,26,41345,0
60.26923000000001,26,41400,2
60.31089670000001,26,41458,0
60.35256329999999,26,41518,0
60.39423000000001,26,41580,0
60.43589670000001,26,41644,0
