time,births,population,reported_cases
44.01923,9,9789,0
44.0608967,9,9782,0
44.1025633,8,9774,0
44.14423,8,9767,1
44.1858967,8,9759,0
44.2275633,8,9752,0
44.26923,8,9744,0
44.3108967,8,9737,0
44.3525633,8,9729,0
44.39423,8,9722,0
44.4358967,8,9716,0
44.4775633,8,9710,0
44.51923,8,9704,0
44.5608967,8,9699,0
44.6025633,8,9694,0
44.64423,8,9691,0
44.6858967,8,9688,0
44.7275633,8,9686,0
44.76923,8,9685,0
44.8108967,8,9684,0
44.8525633,8,9685,0
44.89423,8,9688,0
44.9358967,8,9691,0
44.9775633,8,9696,0
45.01923,8,9702,16
45.0608967,8,9710,6
45.1025633,8,9719,11
45.14423,9,9729,10
45.1858967,9,9741,20
45.2275633,9,9755,23
45.26923,9,9770,67
45.3108967,9,9786,49
45.3525633,9,9804,28
45.39423,9,9824,7
45.4358967,9,9845,7
45.4775633,9,9868,8
45.51923,9,9892,0
45.5608967,9,9918,4
45.6025633,10,9945,0
45.64423,10,9975,0
45.6858967,10,10005,0
45.7275633,10,10038,0
45.76923,10,10072,0
45.8108967,10,10107,0
45.8525633,10,10144,0
45.89423,10,10183,0
45.9358967,10,10224,0
45.9775633,10,10266,0
46.01923,10,10311,0
46.0608967,10,10356,0
46.1025633,10,10403,0
46.14423,10,10452,0
46.1858967,10,10502,0
46.2275633,10,10552,0
46.26923,10,10604,0
46.3108967,10,10656,0
46.3525633,10,10709,0
46.39423,10,10762,0
46.4358967,10,10815,0
46.4775633,10,10868,0
46.51923,10,10921,0
46.5608967,10,10974,0
46.6025633,10,11026,0
46.64423,10,11078,0
46.6858967,10,11129,1
46.7275633,10,11179,3
46.76923,10,11228,60
46.8108967,10,11275,20
46.8525633,10,11321,33
46.89423,10,11366,9
46.9358967,10,11408,0
46.9775633,10,11449,4
47.01923,10,11488,2
47.0608967,10,11524,0
47.1025633,10,11558,0
47.14423,10,11591,0
47.1858967,10,11621,0
47.2275633,10,11650,0
47.26923,10,11676,0
47.3108967,10,11701,0
47.3525633,10,11724,2
47.39423,10,11746,0
47.4358967,10,11766,2
47.4775633,10,11784,0
47.51923,10,11801,2
47.5608967,10,11817,4
47.6025633,10,11831,0
47.64423,10,11844,0
47.6858967,10,11855,0
47.7275633,10,11866,0
47.76923,10,11875,0
47.8108967,10,11883,0
47.8525633,10,11891,0
47.89423,10,11897,0
47.9358967,10,11903,0
47.9775633,10,11908,0
48.01923,10,11912,0
48.0608967,10,11915,0
48.1025633,10,11918,0
48.14423,10,11920,0
48.1858967,9,11922,0
48.2275633,9,11923,0
48.26923,9,11923,0
48.3108967,9,11924,6
48.3525633,9,11923,16
48.39423,9,11922,9
48.4358967,9,11921,1
48.4775633,9,11919,0
48.51923,9,11917,0
48.5608967,9,11915,0
48.6025633,9,11913,1
48.64423,9,11910,0
48.6858967,9,11907,1
48.7275633,9,11904,0
48.76923,9,11900,0
48.8108967,8,11897,0
48.8525633,8,11893,0
48.89423,8,11889,1
48.9358967,8,11886,3
48.9775633,8,11882,0
49.01923,8,11878,0
49.0608967,8,11875,4
49.1025633,8,11871,32
49.14423,8,11867,58
49.1858967,8,11864,48
49.2275633,8,11860,57
49.26923,8,11856,56
49.3108967,8,11852,75
49.3525633,8,11849,16
49.39423,8,11845,4
49.4358967,8,11841,4
49.4775633,8,11837,2
49.51923,8,11832,0
49.5608967,8,11828,0
49.6025633,8,11823,1
49.64423,8,11819,0
49.6858967,8,11814,0
49.7275633,8,11809,0
49.76923,8,11803,2
