time,births,population,reported_cases
44.01923,11,11589,0
44.0608967,11,11547,0
44.1025633,11,11509,3
44.14423,10,11477,0
44.1858967,10,11449,1
44.2275633,10,11425,2
44.26923,10,11406,2
44.3108967,9,11390,2
44.3525633,9,11379,2
44.39423,9,11371,0
44.4358967,9,11367,1
44.4775633,9,11366,0
44.51923,9,11369,0
44.5608967,9,11374,0
44.6025633,9,11383,0
44.64423,9,11394,0
44.6858967,8,11408,9
44.7275633,8,11424,41
44.76923,8,11443,11
44.8108967,8,11464,28
44.8525633,8,11486,20
44.89423,8,11511,65
44.9358967,8,11537,24
44.9775633,8,11565,24
45.01923,9,11593,7
45.0608967,9,11624,1
45.1025633,9,11655,12
45.14423,9,11687,8
45.1858967,9,11720,23
45.2275633,9,11753,4
45.26923,9,11788,0
45.3108967,9,11823,5
45.3525633,9,11858,0
45.39423,9,11894,1
45.4358967,9,11929,1
45.4775633,9,11965,0
45.51923,10,12001,0
45.5608967,10,12037,0
45.6025633,10,12072,0
45.64423,10,12108,0
45.6858967,10,12143,0
45.7275633,10,12177,0
45.76923,10,12210,0
45.8108967,10,12243,0
45.8525633,10,12275,1
45.89423,11,12306,0
45.9358967,11,12336,0
45.9775633,11,12365,0
46.01923,11,12393,0
46.0608967,11,12419,0
46.1025633,11,12444,0
46.14423,11,12467,0
46.1858967,11,12490,0
46.2275633,11,12511,0
46.26923,11,12532,0
46.3108967,11,12551,0
46.3525633,11,12570,0
46.39423,12,12588,3
46.4358967,12,12605,0
46.4775633,12,12621,0
46.51923,12,12637,0
46.5608967,12,12652,0
46.6025633,12,12666,1
46.64423,12,12680,7
46.6858967,12,12694,1
46.7275633,12,12707,0
46.76923,12,12720,0
46.8108967,12,12733,0
46.8525633,12,12746,0
46.89423,12,12758,0
46.9358967,12,12771,0
46.9775633,11,12783,4
47.01923,11,12796,4
47.0608967,11,12808,14
47.1025633,11,12821,75
47.14423,11,12834,74
47.1858967,11,12847,10
47.2275633,11,12859,6
47.26923,11,12872,4
47.3108967,11,12884,2
47.3525633,11,12896,5
47.39423,11,12908,2
47.4358967,10,12920,5
47.4775633,10,12931,0
47.51923,10,12942,3
