time,births,population,reported_cases
44.01923,129,139178,31
44.0608967,127,138551,14
44.1025633,125,138047,13
44.14423,124,137660,11
44.1858967,122,137387,13
44.2275633,121,137222,26
44.26923,120,137162,7
44.3108967,119,137200,14
44.3525633,118,137333,4
44.39423,118,137556,17
44.4358967,117,137864,30
44.4775633,117,138253,7
44.51923,117,138717,9
44.5608967,117,139252,6
44.6025633,117,139854,3
44.64423,117,140518,1
44.6858967,118,141239,1
44.7275633,118,142012,0
44.76923,119,142833,0
44.8108967,119,143697,1
44.8525633,120,144599,10
44.89423,121,145535,16
44.9358967,122,146500,21
44.9775633,123,147489,14
45.01923,124,148498,40
45.0608967,125,149523,87
45.1025633,126,150560,149
45.14423,128,151608,219
45.1858967,129,152663,249
45.2275633,131,153722,213
45.26923,132,154782,144
45.3108967,133,155841,124
45.3525633,135,156895,124
45.39423,137,157943,79
45.4358967,138,158980,30
45.4775633,140,160004,28
45.51923,141,161012,13
45.5608967,143,162001,11
45.6025633,145,162969,4
45.64423,146,163912,6
45.6858967,148,164827,3
45.7275633,149,165712,2
45.76923,151,166564,0
45.8108967,152,167380,0
45.8525633,154,168157,0
45.89423,155,168892,0
45.9358967,157,169582,0
45.9775633,158,170225,2
46.01923,160,170817,0
46.0608967,161,171358,2
46.1025633,162,171852,4
46.14423,163,172299,2
46.1858967,164,172704,2
46.2275633,165,173069,4
46.26923,166,173397,22
46.3108967,167,173690,28
46.3525633,168,173950,44
46.39423,169,174182,36
46.4358967,169,174386,82
46.4775633,170,174567,158
46.51923,170,174726,113
46.5608967,171,174867,89
46.6025633,171,174992,50
46.64423,171,175103,48
46.6858967,171,175204,27
46.7275633,171,175297,24
46.76923,171,175385,4
46.8108967,171,175471,7
46.8525633,171,175556,10
46.89423,170,175645,12
46.9358967,170,175739,16
46.9775633,169,175841,33
47.01923,169,175954,40
47.0608967,168,176078,77
47.1025633,167,176214,102
47.14423,166,176360,140
47.1858967,165,176514,103
47.2275633,163,176677,125
47.26923,162,176846,90
47.3108967,161,177022,92
47.3525633,160,177202,131
47.39423,158,177386,153
47.4358967,157,177574,176
47.4775633,155,177763,53
47.51923,154,177953,71
47.5608967,152,178144,35
47.6025633,151,178333,13
