time,births,population,reported_cases
44.01923,10,15057,0
44.0608967,10,15009,6
44.1025633,10,14967,4
44.14423,10,14928,2
44.1858967,10,14894,1
44.2275633,10,14864,0
44.26923,9,14837,0
44.3108967,9,14815,0
44.3525633,9,14795,0
44.39423,9,14780,0
44.4358967,9,14768,0
44.4775633,9,14759,0
44.51923,9,14753,0
44.5608967,9,14750,2
44.6025633,9,14749,5
44.64423,9,14752,0
44.6858967,9,14757,0
44.7275633,9,14764,2
44.76923,9,14773,0
44.8108967,9,14785,0
44.8525633,9,14798,2
44.89423,9,14814,9
44.9358967,9,14831,61
44.9775633,9,14849,14
45.01923,9,14869,39
45.0608967,9,14891,30
45.1025633,9,14913,43
45.14423,9,14937,52
45.1858967,9,14961,49
45.2275633,9,14987,23
45.26923,9,15014,0
45.3108967,9,15041,3
45.3525633,9,15069,0
45.39423,9,15098,0
45.4358967,9,15127,0
45.4775633,10,15157,0
45.51923,10,15187,0
45.5608967,10,15218,0
45.6025633,10,15248,0
45.64423,10,15279,0
45.6858967,10,15311,0
45.7275633,10,15342,0
45.76923,10,15373,0
45.8108967,10,15404,0
45.8525633,10,15434,0
45.89423,11,15465,0
45.9358967,11,15495,0
45.9775633,11,15524,0
46.01923,11,15553,0
46.0608967,11,15582,0
46.1025633,11,15610,0
46.14423,11,15637,0
46.1858967,11,15664,0
46.2275633,11,15691,0
46.26923,11,15717,0
46.3108967,11,15742,0
46.3525633,12,15768,3
46.39423,12,15793,0
46.4358967,12,15818,0
46.4775633,12,15842,0
46.51923,12,15866,0
46.5608967,12,15890,2
46.6025633,12,15914,0
46.64423,12,15938,0
46.6858967,12,15962,0
46.7275633,12,15985,0
46.76923,12,16009,0
46.8108967,12,16032,3
46.8525633,12,16056,2
46.89423,12,16080,1
46.9358967,12,16103,14
46.9775633,12,16127,18
47.01923,12,16151,23
47.0608967,12,16175,10
47.1025633,12,16199,20
47.14423,12,16223,24
47.1858967,12,16247,37
47.2275633,12,16270,7
47.26923,12,16293,0
47.3108967,12,16316,6
47.3525633,12,16337,1
47.39423,12,16358,8
47.4358967,12,16379,14
47.4775633,12,16398,24
47.51923,12,16416,3
47.5608967,11,16433,2
47.6025633,11,16448,2
47.64423,11,16462,0
47.6858967,11,16475,1
47.7275633,11,16486,2
47.76923,11,16495,1
47.8108967,11,16503,0
47.8525633,11,16508,2
47.89423,11,16511,0
47.9358967,11,16513,0
47.9775633,11,16512,0
48.01923,11,16508,0
48.0608967,11,16502,0
48.1025633,11,16495,0
48.14423,11,16486,2
48.1858967,11,16477,23
48.2275633,11,16467,36
48.26923,11,16457,27
48.3108967,11,16447,26
48.3525633,11,16439,9
48.39423,11,16432,3
48.4358967,11,16427,4
48.4775633,11,16425,2
48.51923,11,16425,7
48.5608967,11,16429,19
48.6025633,11,16437,6
48.64423,11,16448,2
48.6858967,11,16465,0
48.7275633,11,16487,4
48.76923,11,16514,2
48.8108967,11,16548,2
48.8525633,12,16588,5
48.89423,12,16635,5
48.9358967,12,16690,1
48.9775633,12,16753,4
49.01923,12,16824,0
49.0608967,12,16903,19
49.1025633,12,16991,20
49.14423,12,17085,33
49.1858967,12,17185,6
49.2275633,12,17291,5
49.26923,12,17402,7
49.3108967,12,17516,1
49.3525633,12,17634,0
49.39423,12,17755,0
49.4358967,12,17877,2
49.4775633,12,18001,0
49.51923,12,18125,0
49.5608967,12,18248,0
49.6025633,12,18371,0
49.64423,12,18492,1
49.6858967,12,18610,0
49.7275633,12,18726,0
49.76923,12,18837,0
49.8108967,12,18944,0
49.8525633,12,19045,0
49.89423,12,19140,1
49.9358967,12,19229,0
49.9775633,12,19310,0
50.01923,12,19383,2
50.0608967,12,19447,0
50.1025633,11,19503,0
50.14423,11,19552,0
50.1858967,11,19593,2
50.2275633,11,19628,0
50.26923,11,19656,0
50.3108967,11,19679,0
50.3525633,11,19696,0
50.39423,11,19707,0
50.4358967,10,19714,0
50.4775633,10,19717,2
50.51923,10,19716,0
50.5608967,10,19712,0
50.6025633,10,19704,2
50.64423,10,19694,0
50.6858967,10,19681,0
50.7275633,10,19667,0
50.76923,10,19652,0
50.8108967,9,19635,17
50.8525633,9,19618,16
50.89423,9,19601,33
50.9358967,9,19584,25
50.9775633,9,19568,18
51.01923,9,19553,2
51.0608967,9,19540,13
51.1025633,9,19527,29
51.14423,9,19516,6
51.1858967,9,19505,8
51.2275633,9,19495,15
51.26923,9,19486,23
51.3108967,9,19477,5
51.3525633,9,19469,34
51.39423,9,19461,23
51.4358967,10,19454,14
51.4775633,10,19446,12
51.51923,10,19438,18
51.5608967,10,19430,12
51.6025633,10,19422,3
51.64423,10,19413,1
51.6858967,10,19404,0
51.7275633,10,19393,0
51.76923,10,19382,0
51.8108967,10,19370,2
51.8525633,10,19357,0
51.89423,10,19343,0
51.9358967,10,19327,0
51.9775633,11,19310,0
52.01923,11,19291,0
52.0608967,11,19271,0
52.1025633,11,19249,1
52.14423,11,19226,0
52.1858967,11,19202,0
52.2275633,11,19178,0
52.26923,11,19153,0
52.3108967,11,19127,2
52.3525633,11,19102,0
52.39423,11,19077,0
52.43589670000001,11,19052,0
52.47756329999999,11,19028,0
52.51923000000001,11,19005,1
52.56089670000001,10,18983,1
52.60256329999999,10,18962,0
52.64423000000001,10,18943,0
52.68589670000001,10,18925,0
52.72756329999999,10,18909,3
52.76923000000001,10,18896,9
52.81089670000001,10,18884,54
52.85256329999999,10,18876,16
52.89423000000001,10,18870,20
52.93589670000001,10,18868,23
52.97756329999999,10,18868,27
53.01923000000001,10,18872,73
53.06089670000001,10,18880,40
53.10256329999999,10,18891,25
53.14423000000001,10,18905,38
53.18589670000001,10,18921,15
53.22756329999999,10,18940,16
53.26923000000001,10,18961,0
53.31089670000001,10,18984,6
53.35256329999999,10,19008,1
53.39423000000001,10,19034,3
53.43589670000001,10,19061,3
53.47756329999999,11,19089,1
53.51923000000001,11,19118,0
53.56089670000001,11,19147,2
53.60256329999999,11,19175,2
53.64423000000001,11,19204,0
53.68589670000001,11,19232,0
53.72756329999999,11,19259,0
53.76923000000001,11,19285,0
53.81089670000001,11,19310,0
53.85256329999999,11,19334,0
53.89423000000001,11,19355,0
53.93589670000001,11,19375,0
53.97756329999999,11,19392,0
54.01923000000001,11,19406,0
54.06089670000001,11,19418,0
54.10256329999999,11,19428,0
54.14423000000001,11,19435,0
54.18589670000001,11,19440,0
54.22756329999999,11,19443,0
54.26923000000001,11,19445,0
54.31089670000001,11,19445,0
54.35256329999999,11,19445,0
54.39423000000001,11,19443,0
54.43589670000001,11,19441,0
54.47756329999999,11,19438,0
54.51923000000001,11,19435,0
54.56089670000001,11,19431,0
54.60256329999999,11,19428,0
54.64423000000001,11,19426,0
54.68589670000001,11,19424,0
54.72756329999999,11,19422,0
54.76923000000001,11,19422,0
54.81089670000001,11,19423,0
54.85256329999999,11,19426,0
54.89423000000001,11,19430,1
54.93589670000001,11,19436,1
54.97756329999999,11,19445,6
55.01923000000001,11,19455,7
55.06089670000001,11,19468,3
55.10256329999999,11,19484,4
55.14423000000001,11,19501,31
55.18589670000001,11,19521,39
55.22756329999999,11,19543,16
55.26923000000001,11,19567,16
55.31089670000001,11,19592,5
55.35256329999999,12,19620,7
55.39423000000001,12,19649,37
55.43589670000001,12,19680,16
55.47756329999999,12,19712,10
55.51923000000001,12,19746,11
55.56089670000001,12,19781,18
55.60256329999999,12,19817,3
55.64423000000001,12,19855,0
55.68589670000001,12,19894,0
55.72756329999999,13,19933,0
55.76923000000001,13,19974,0
55.81089670000001,13,20015,0
55.85256329999999,13,20057,0
55.89423000000001,13,20100,0
55.93589670000001,13,20143,0
55.97756329999999,13,20186,0
56.01923000000001,13,20230,0
56.06089670000001,13,20275,0
56.10256329999999,13,20319,0
56.14423000000001,13,20364,0
56.18589670000001,14,20409,0
56.22756329999999,14,20455,0
56.26923000000001,14,20501,0
56.31089670000001,14,20547,0
56.35256329999999,14,20594,0
56.39423000000001,14,20641,0
56.43589670000001,14,20688,0
56.47756329999999,14,20736,0
56.51923000000001,14,20784,0
56.56089670000001,14,20833,0
56.60256329999999,14,20882,0
56.64423000000001,14,20931,0
56.68589670000001,14,20981,0
56.72756329999999,14,21031,0
56.76923000000001,14,21082,0
56.81089670000001,15,21133,0
56.85256329999999,15,21184,0
56.89423000000001,15,21236,0
56.93589670000001,15,21288,0
56.97756329999999,15,21341,0
57.01923000000001,15,21395,0
57.06089670000001,15,21448,4
57.10256329999999,15,21502,4
57.14423000000001,15,21556,1
57.18589670000001,15,21610,0
57.22756329999999,15,21664,28
57.26923000000001,15,21716,0
57.31089670000001,15,21769,19
57.35256329999999,15,21820,37
57.39423000000001,15,21870,22
57.43589670000001,15,21919,37
57.47756329999999,16,21966,10
57.51923000000001,16,22012,5
57.56089670000001,16,22056,0
57.60256329999999,16,22098,0
57.64423000000001,16,22138,0
57.68589670000001,16,22175,0
57.72756329999999,16,22210,0
57.76923000000001,16,22242,0
57.81089670000001,16,22271,0
57.85256329999999,16,22296,0
57.89423000000001,16,22319,0
57.93589670000001,16,22338,0
57.97756329999999,16,22353,0
