time,births,population,reported_cases
44.01923,31,44661,0
44.0608967,31,44394,0
44.1025633,31,44172,0
44.14423,30,43992,0
44.1858967,30,43854,1
44.2275633,30,43756,0
44.26923,30,43696,0
44.3108967,30,43672,0
44.3525633,30,43684,0
44.39423,31,43728,1
44.4358967,31,43803,4
44.4775633,31,43909,6
44.51923,31,44042,22
44.5608967,31,44202,11
44.6025633,32,44386,7
44.64423,32,44594,0
44.6858967,32,44823,0
44.7275633,32,45072,0
44.76923,33,45339,2
44.8108967,33,45623,0
44.8525633,34,45921,4
44.89423,34,46232,0
44.9358967,34,46555,1
44.9775633,35,46887,0
45.01923,35,47228,2
45.0608967,36,47576,4
45.1025633,36,47929,11
45.14423,37,48287,30
45.1858967,37,48648,118
45.2275633,37,49012,132
45.26923,38,49377,45
45.3108967,38,49743,98
45.3525633,39,50108,30
45.39423,39,50472,26
45.4358967,40,50832,33
45.4775633,40,51189,31
45.51923,41,51541,4
45.5608967,41,51888,2
45.6025633,42,52227,1
45.64423,42,52558,0
45.6858967,43,52880,1
45.7275633,43,53192,0
45.76923,44,53493,0
45.8108967,44,53782,0
45.8525633,45,54057,0
45.89423,45,54319,0
45.9358967,45,54564,0
45.9775633,46,54794,0
46.01923,46,55006,0
46.0608967,46,55200,0
46.1025633,47,55377,0
46.14423,47,55539,0
46.1858967,47,55686,4
46.2275633,48,55818,2
46.26923,48,55938,6
46.3108967,48,56045,6
46.3525633,48,56140,34
46.39423,48,56225,29
46.4358967,48,56301,50
46.4775633,49,56367,78
46.51923,49,56426,84
46.5608967,49,56478,30
46.6025633,49,56523,17
46.64423,49,56564,6
46.6858967,49,56599,1
46.7275633,49,56632,4
46.76923,49,56662,0
46.8108967,49,56690,0
46.8525633,49,56717,0
46.89423,49,56744,3
46.9358967,48,56773,1
46.9775633,48,56803,1
47.01923,48,56836,2
47.0608967,48,56871,7
47.1025633,48,56910,18
47.14423,47,56951,27
47.1858967,47,56995,23
47.2275633,47,57040,39
47.26923,47,57088,10
47.3108967,46,57136,12
47.3525633,46,57187,8
47.39423,46,57238,17
47.4358967,45,57290,5
47.4775633,45,57342,23
47.51923,45,57395,13
47.5608967,44,57448,7
47.6025633,44,57500,16
47.64423,44,57552,11
47.6858967,43,57604,6
47.7275633,43,57654,0
47.76923,43,57703,2
47.8108967,42,57750,2
47.8525633,42,57796,0
47.89423,42,57840,0
