time,births,population,reported_cases
44.01923,3,3970,0
44.0608967,3,3959,0
44.1025633,3,3949,0
44.14423,3,3940,0
44.1858967,3,3932,0
44.2275633,3,3926,15
44.26923,3,3920,13
44.3108967,3,3916,9
44.3525633,3,3912,1
44.39423,3,3909,7
44.4358967,3,3907,4
44.4775633,3,3906,4
44.51923,3,3906,4
44.5608967,3,3906,2
44.6025633,3,3908,3
44.64423,3,3910,0
44.6858967,3,3912,0
44.7275633,3,3916,0
44.76923,3,3919,0
44.8108967,3,3924,0
44.8525633,3,3929,0
44.89423,3,3934,0
44.9358967,3,3940,0
44.9775633,3,3946,0
45.01923,3,3953,0
45.0608967,3,3960,0
45.1025633,3,3968,0
45.14423,3,3975,0
45.1858967,3,3984,0
45.2275633,3,3992,0
45.26923,3,4000,0
45.3108967,3,4009,0
45.3525633,3,4018,1
45.39423,3,4027,3
45.4358967,3,4037,0
45.4775633,3,4046,0
45.51923,3,4056,0
45.5608967,3,4065,0
45.6025633,3,4075,0
45.64423,3,4084,0
45.6858967,3,4094,0
45.7275633,3,4103,0
45.76923,3,4113,0
45.8108967,3,4122,0
45.8525633,3,4131,0
45.89423,3,4141,0
45.9358967,3,4150,0
45.9775633,3,4158,0
46.01923,3,4167,0
46.0608967,3,4175,0
46.1025633,3,4183,1
46.14423,3,4191,0
46.1858967,3,4199,0
46.2275633,3,4206,0
46.26923,3,4214,0
46.3108967,3,4221,0
46.3525633,3,4227,0
46.39423,3,4234,0
46.4358967,3,4240,0
46.4775633,3,4247,0
46.51923,3,4253,0
46.5608967,3,4259,0
46.6025633,4,4264,0
46.64423,4,4270,0
46.6858967,4,4275,0
46.7275633,4,4280,2
46.76923,4,4285,0
46.8108967,4,4290,0
46.8525633,4,4295,0
46.89423,4,4299,0
46.9358967,4,4304,0
46.9775633,4,4308,0
47.01923,4,4312,0
47.0608967,4,4316,2
47.1025633,4,4320,0
47.14423,4,4323,0
47.1858967,4,4327,1
47.2275633,4,4330,10
47.26923,4,4334,20
47.3108967,4,4337,18
47.3525633,4,4340,2
47.39423,4,4343,0
47.4358967,4,4346,0
47.4775633,4,4350,0
47.51923,4,4353,0
47.5608967,4,4356,1
47.6025633,4,4359,0
47.64423,4,4362,0
47.6858967,4,4365,0
47.7275633,4,4368,0
47.76923,3,4371,0
47.8108967,3,4374,0
47.8525633,3,4378,0
47.89423,3,4381,0
47.9358967,3,4385,0
47.9775633,3,4388,0
48.01923,3,4392,0
48.0608967,3,4395,0
48.1025633,3,4399,0
48.14423,3,4403,0
48.1858967,3,4408,0
48.2275633,3,4412,0
48.26923,3,4417,2
48.3108967,3,4421,2
48.3525633,3,4427,1
48.39423,3,4432,4
48.4358967,3,4438,1
48.4775633,3,4443,0
48.51923,3,4450,0
48.5608967,3,4456,0
48.6025633,3,4463,1
48.64423,3,4470,0
48.6858967,3,4478,0
48.7275633,3,4486,0
48.76923,3,4495,0
48.8108967,3,4504,0
48.8525633,3,4513,0
48.89423,3,4523,0
48.9358967,3,4533,0
48.9775633,3,4544,0
49.01923,3,4555,0
49.0608967,3,4567,1
49.1025633,3,4579,14
49.14423,3,4592,50
49.1858967,3,4605,31
49.2275633,3,4618,19
49.26923,3,4631,18
49.3108967,3,4644,0
49.3525633,3,4657,0
49.39423,3,4670,1
49.4358967,3,4682,12
