time,births,population,reported_cases
44.01923,20,25231,0
44.0608967,19,25071,0
44.1025633,19,24924,0
44.14423,18,24789,1
44.1858967,18,24666,0
44.2275633,18,24555,0
44.26923,17,24455,0
44.3108967,17,24366,3
44.3525633,17,24287,1
44.39423,17,24218,0
44.4358967,16,24159,16
44.4775633,16,24109,2
44.51923,16,24068,0
44.5608967,16,24036,0
44.6025633,16,24011,12
44.64423,16,23993,1
44.6858967,16,23983,0
44.7275633,16,23979,0
44.76923,16,23982,0
44.8108967,17,23990,1
44.8525633,17,24004,1
44.89423,17,24023,0
44.9358967,17,24046,0
44.9775633,17,24074,0
45.01923,17,24105,0
45.0608967,17,24139,2
45.1025633,18,24177,1
45.14423,18,24217,7
45.1858967,18,24261,1
45.2275633,18,24306,25
45.26923,19,24353,53
45.3108967,19,24403,47
45.3525633,19,24454,48
45.39423,19,24506,9
45.4358967,19,24560,1
45.4775633,20,24614,2
45.51923,20,24669,0
45.5608967,20,24724,0
45.6025633,20,24779,0
45.64423,21,24834,0
45.6858967,21,24888,0
45.7275633,21,24942,0
45.76923,21,24995,0
45.8108967,21,25047,0
45.8525633,21,25097,0
45.89423,22,25146,0
45.9358967,22,25193,0
45.9775633,22,25237,0
46.01923,22,25279,0
46.0608967,22,25319,0
46.1025633,22,25356,0
46.14423,22,25391,0
46.1858967,22,25424,0
46.2275633,22,25455,0
46.26923,22,25485,0
46.3108967,22,25513,0
46.3525633,22,25540,0
46.39423,22,25566,0
46.4358967,22,25592,1
46.4775633,22,25616,0
46.51923,22,25641,4
46.5608967,22,25665,2
46.6025633,22,25689,0
46.64423,22,25713,6
46.6858967,22,25737,0
46.7275633,22,25762,0
46.76923,22,25788,0
46.8108967,22,25814,0
46.8525633,22,25841,0
46.89423,22,25870,0
46.9358967,22,25900,0
46.9775633,21,25932,0
47.01923,21,25966,0
47.0608967,21,26001,2
47.1025633,21,26038,2
47.14423,21,26077,3
47.1858967,21,26116,0
47.2275633,21,26156,0
47.26923,21,26197,13
47.3108967,21,26239,7
47.3525633,21,26281,19
47.39423,21,26323,12
47.4358967,21,26364,8
47.4775633,21,26405,4
47.51923,20,26446,12
47.5608967,20,26485,1
47.6025633,20,26524,0
47.64423,20,26561,0
47.6858967,20,26596,0
47.7275633,20,26630,2
47.76923,20,26662,0
47.8108967,20,26691,20
47.8525633,20,26718,28
47.89423,20,26742,7
47.9358967,20,26763,5
47.9775633,19,26782,3
48.01923,19,26796,2
48.0608967,19,26808,0
48.1025633,19,26816,1
48.14423,19,26822,1
48.1858967,19,26826,0
48.2275633,19,26828,0
48.26923,19,26828,2
48.3108967,19,26827,0
48.3525633,18,26826,3
48.39423,18,26824,18
48.4358967,18,26822,15
48.4775633,18,26821,35
48.51923,18,26820,55
48.5608967,18,26821,10
48.6025633,18,26823,13
48.64423,18,26827,0
48.6858967,18,26833,0
48.7275633,17,26842,0
48.76923,17,26854,0
48.8108967,17,26869,0
48.8525633,17,26888,0
48.89423,17,26911,2
48.9358967,17,26938,1
48.9775633,17,26970,0
49.01923,17,27008,2
49.0608967,17,27051,6
49.1025633,17,27098,15
49.14423,17,27149,43
49.1858967,17,27203,36
49.2275633,17,27260,40
49.26923,17,27320,102
49.3108967,17,27380,71
49.3525633,17,27441,64
49.39423,17,27503,7
49.4358967,17,27564,1
49.4775633,17,27624,0
49.51923,17,27682,0
49.5608967,17,27738,0
49.6025633,17,27791,0
49.64423,17,27841,0
49.6858967,17,27886,0
49.7275633,17,27927,0
49.76923,17,27962,0
49.8108967,17,27991,0
49.8525633,17,28013,0
49.89423,17,28028,0
49.9358967,17,28036,0
49.9775633,17,28034,0
50.01923,17,28024,0
50.0608967,17,28004,0
50.1025633,17,27976,0
50.14423,17,27940,0
50.1858967,17,27896,0
50.2275633,17,27846,0
50.26923,17,27789,0
50.3108967,17,27727,0
50.3525633,17,27659,0
50.39423,17,27587,0
50.4358967,17,27511,0
50.4775633,17,27432,0
50.51923,17,27350,0
50.5608967,17,27266,0
50.6025633,17,27181,3
50.64423,17,27094,1
50.6858967,17,27007,1
50.7275633,17,26920,0
50.76923,17,26834,0
50.8108967,17,26750,0
50.8525633,17,26667,1
50.89423,17,26587,0
50.9358967,17,26511,0
50.9775633,17,26438,2
51.01923,17,26369,0
51.0608967,17,26305,0
51.1025633,17,26245,4
51.14423,17,26190,9
51.1858967,17,26139,25
51.2275633,17,26092,20
51.26923,17,26048,82
51.3108967,17,26009,64
51.3525633,17,25974,57
51.39423,17,25941,38
51.4358967,17,25913,24
51.4775633,17,25887,4
51.51923,17,25865,46
51.5608967,17,25846,74
51.6025633,17,25829,43
51.64423,17,25815,10
51.6858967,17,25804,1
51.7275633,17,25795,6
51.76923,17,25789,0
51.8108967,17,25785,0
51.8525633,17,25783,0
51.89423,17,25783,0
51.9358967,17,25784,0
51.9775633,17,25788,0
52.01923,17,25792,2
52.0608967,17,25799,0
52.1025633,17,25806,0
52.14423,17,25816,0
52.1858967,16,25826,1
52.2275633,16,25838,0
52.26923,16,25851,2
52.3108967,16,25866,1
52.3525633,16,25882,0
52.39423,16,25900,0
52.43589670000001,16,25918,0
52.47756329999999,16,25939,0
52.51923000000001,16,25960,0
52.56089670000001,16,25983,1
52.60256329999999,16,26007,0
52.64423000000001,16,26032,6
52.68589670000001,16,26059,0
52.72756329999999,16,26087,0
52.76923000000001,16,26116,0
52.81089670000001,16,26147,0
52.85256329999999,16,26178,1
52.89423000000001,16,26211,0
52.93589670000001,16,26245,0
52.97756329999999,16,26280,7
53.01923000000001,16,26317,68
53.06089670000001,16,26355,98
53.10256329999999,16,26393,145
53.14423000000001,16,26432,64
53.18589670000001,16,26472,77
53.22756329999999,17,26513,29
53.26923000000001,17,26554,0
53.31089670000001,17,26595,0
53.35256329999999,17,26635,1
53.39423000000001,17,26676,1
53.43589670000001,17,26717,3
53.47756329999999,17,26756,1
53.51923000000001,17,26796,0
53.56089670000001,17,26834,0
53.60256329999999,17,26872,0
53.64423000000001,17,26908,0
53.68589670000001,17,26943,0
53.72756329999999,17,26977,0
53.76923000000001,17,27009,0
53.81089670000001,18,27039,2
53.85256329999999,18,27067,0
53.89423000000001,18,27094,0
53.93589670000001,17,27118,0
53.97756329999999,17,27139,0
54.01923000000001,17,27158,0
54.06089670000001,17,27175,0
54.10256329999999,17,27189,0
54.14423000000001,17,27201,0
54.18589670000001,17,27211,0
54.22756329999999,17,27219,0
54.26923000000001,17,27226,0
54.31089670000001,17,27231,0
54.35256329999999,17,27235,0
54.39423000000001,16,27238,1
54.43589670000001,16,27240,1
54.47756329999999,16,27241,0
54.51923000000001,16,27242,2
54.56089670000001,16,27243,0
54.60256329999999,16,27243,0
54.64423000000001,15,27244,0
54.68589670000001,15,27245,0
54.72756329999999,15,27246,0
54.76923000000001,15,27248,0
54.81089670000001,15,27251,0
54.85256329999999,15,27255,0
54.89423000000001,15,27260,0
54.93589670000001,15,27267,0
54.97756329999999,15,27275,0
55.01923000000001,15,27285,0
55.06089670000001,15,27297,0
55.10256329999999,15,27310,0
55.14423000000001,15,27325,0
55.18589670000001,15,27341,0
55.22756329999999,15,27358,0
55.26923000000001,15,27375,0
55.31089670000001,15,27393,0
55.35256329999999,15,27412,6
55.39423000000001,15,27430,86
55.43589670000001,15,27449,168
55.47756329999999,15,27467,63
55.51923000000001,15,27485,124
55.56089670000001,15,27501,84
55.60256329999999,16,27517,34
55.64423000000001,16,27532,6
55.68589670000001,16,27545,0
55.72756329999999,16,27557,2
55.76923000000001,16,27567,2
55.81089670000001,16,27575,0
55.85256329999999,16,27581,0
55.89423000000001,16,27584,0
55.93589670000001,16,27585,0
55.97756329999999,16,27582,0
56.01923000000001,17,27577,0
56.06089670000001,17,27569,0
56.10256329999999,17,27557,0
56.14423000000001,17,27543,0
56.18589670000001,17,27527,0
56.22756329999999,17,27509,0
56.26923000000001,17,27488,0
56.31089670000001,17,27466,0
56.35256329999999,17,27442,0
56.39423000000001,17,27417,0
56.43589670000001,17,27390,0
56.47756329999999,17,27363,0
56.51923000000001,17,27335,0
56.56089670000001,17,27307,1
56.60256329999999,17,27279,8
56.64423000000001,17,27250,8
56.68589670000001,17,27222,0
56.72756329999999,17,27194,0
56.76923000000001,17,27167,0
56.81089670000001,17,27141,0
56.85256329999999,17,27116,0
56.89423000000001,17,27093,0
56.93589670000001,17,27070,0
56.97756329999999,17,27050,0
57.01923000000001,17,27032,0
57.06089670000001,17,27016,0
57.10256329999999,17,27001,1
57.14423000000001,17,26989,1
57.18589670000001,17,26979,0
57.22756329999999,17,26971,2
57.26923000000001,17,26964,2
57.31089670000001,17,26959,2
57.35256329999999,17,26956,3
57.39423000000001,17,26954,6
57.43589670000001,17,26954,54
57.47756329999999,17,26955,53
57.51923000000001,18,26958,27
57.56089670000001,18,26962,16
57.60256329999999,18,26967,11
57.64423000000001,18,26974,1
57.68589670000001,18,26982,0
57.72756329999999,18,26990,0
57.76923000000001,18,27000,0
57.81089670000001,18,27011,0
57.85256329999999,18,27023,0
57.89423000000001,18,27035,0
57.93589670000001,18,27048,0
57.97756329999999,18,27062,0
58.01923000000001,18,27077,0
58.06089670000001,18,27092,3
58.10256329999999,18,27107,30
58.14423000000001,18,27123,110
58.18589670000001,18,27140,69
58.22756329999999,18,27156,38
58.26923000000001,18,27172,44
58.31089670000001,18,27189,5
58.35256329999999,18,27205,2
58.39423000000001,18,27221,0
58.43589670000001,18,27237,0
58.47756329999999,18,27252,0
58.51923000000001,18,27267,0
58.56089670000001,18,27281,0
58.60256329999999,18,27295,6
58.64423000000001,18,27308,31
58.68589670000001,17,27319,34
58.72756329999999,17,27330,18
58.76923000000001,17,27340,34
58.81089670000001,17,27349,40
58.85256329999999,17,27356,11
58.89423000000001,17,27362,35
58.93589670000001,17,27366,16
58.97756329999999,17,27369,5
59.01923000000001,17,27370,7
59.06089670000001,17,27370,0
59.10256329999999,17,27368,4
59.14423000000001,17,27366,7
59.18589670000001,17,27362,12
59.22756329999999,17,27358,27
59.26923000000001,17,27354,15
59.31089670000001,17,27350,19
59.35256329999999,17,27347,1
59.39423000000001,17,27344,1
59.43589670000001,17,27342,9
59.47756329999999,17,27342,4
59.51923000000001,17,27343,0
59.56089670000001,17,27346,7
59.60256329999999,17,27351,14
59.64423000000001,17,27358,10
59.68589670000001,17,27368,1
59.72756329999999,17,27381,0
59.76923000000001,18,27397,0
59.81089670000001,18,27417,0
59.85256329999999,18,27441,0
59.89423000000001,18,27469,4
59.93589670000001,18,27501,0
59.97756329999999,18,27538,2
60.01923000000001,18,27580,0
60.06089670000001,18,27627,0
60.10256329999999,18,27678,3
60.14423000000001,19,27733,2
60.18589670000001,19,27792,4
60.22756329999999,19,27853,2
60.26923000000001,19,27917,0
60.31089670000001,19,27983,4
60.35256329999999,19,28051,0
60.39423000000001,20,28119,1
60.43589670000001,20,28188,1
60.47756329999999,20,28257,0
60.51923000000001,20,28325,0
60.56089670000001,20,28393,0
60.60256329999999,20,28459,0
60.64423000000001,20,28523,1
60.68589670000001,20,28585,0
60.72756329999999,21,28643,0
60.76923000000001,21,28698,2
60.81089670000001,21,28750,0
60.85256329999999,21,28797,0
60.89423000000001,21,28839,0
60.93589670000001,21,28875,1
60.97756329999999,21,28906,1
61.01923000000001,21,28930,2
61.06089670000001,21,28948,7
61.10256329999999,21,28961,0
61.14423000000001,21,28967,1
61.18589670000001,21,28969,39
61.22756329999999,21,28965,2
61.26923000000001,21,28958,4
61.31089670000001,20,28947,8
61.35256329999999,20,28933,10
61.39423000000001,20,28917,38
61.43589670000001,20,28898,95
61.47756329999999,20,28877,130
61.51923000000001,20,28854,205
61.56089670000001,20,28831,63
61.60256329999999,20,28808,30
61.64423000000001,20,28784,10
61.68589670000001,19,28761,1
61.72756329999999,19,28739,2
61.76923000000001,19,28718,0
61.81089670000001,19,28699,0
61.85256329999999,19,28683,0
61.89423000000001,19,28669,3
61.93589670000001,19,28659,0
61.97756329999999,19,28652,0
62.01923000000001,18,28649,0
62.06089670000001,18,28651,0
62.10256329999999,18,28657,0
62.14423000000001,18,28667,0
62.18589670000001,18,28681,0
62.22756329999999,18,28698,0
62.26923000000001,18,28719,0
62.31089670000001,18,28744,0
62.35256329999999,18,28772,3
62.39423000000001,18,28803,14
62.43589670000001,18,28837,0
62.47756329999999,18,28874,0
62.51923000000001,18,28914,0
62.56089670000001,18,28956,0
62.60256329999999,18,29001,0
62.64423000000001,18,29048,0
62.68589670000001,18,29097,0
62.72756329999999,19,29148,1
62.76923000000001,19,29201,0
62.81089670000001,19,29255,0
62.85256329999999,19,29312,0
62.89423000000001,19,29369,0
62.93589670000001,19,29428,0
62.97756329999999,19,29487,0
63.01923000000001,19,29548,0
63.06089670000001,19,29609,4
63.10256329999999,19,29671,38
63.14423000000001,19,29733,40
63.18589670000001,20,29794,26
63.22756329999999,20,29854,15
63.26923000000001,20,29912,4
63.31089670000001,20,29969,14
63.35256329999999,20,30024,14
63.39423000000001,20,30077,13
63.43589670000001,20,30126,48
63.47756329999999,20,30173,33
63.51923000000001,20,30215,27
63.56089670000001,20,30254,30
63.60256329999999,21,30288,13
63.64423000000001,21,30317,2
63.68589670000001,21,30341,1
63.72756329999999,21,30359,2
63.76923000000001,21,30371,0
63.81089670000001,21,30377,2
63.85256329999999,21,30375,1
63.89423000000001,21,30367,2
63.93589670000001,21,30351,1
63.97756329999999,21,30326,0
