time,births,population,reported_cases
44.01923,5,7349,0
44.0608967,5,7396,0
44.1025633,5,7437,0
44.14423,4,7473,1
44.1858967,4,7505,0
44.2275633,4,7531,0
44.26923,4,7552,0
44.3108967,4,7570,0
44.3525633,4,7583,0
44.39423,4,7591,0
44.4358967,4,7596,1
44.4775633,4,7597,0
44.51923,4,7595,0
44.5608967,4,7589,0
44.6025633,4,7580,0
44.64423,4,7568,0
44.6858967,4,7553,0
44.7275633,4,7536,0
44.76923,4,7515,0
44.8108967,4,7493,8
44.8525633,4,7468,1
44.89423,4,7442,0
44.9358967,4,7414,0
44.9775633,4,7384,0
45.01923,4,7352,2
45.0608967,4,7320,0
45.1025633,4,7286,1
45.14423,4,7251,0
45.1858967,4,7216,0
45.2275633,4,7179,0
45.26923,4,7142,0
45.3108967,4,7105,2
45.3525633,4,7067,5
45.39423,4,7029,19
45.4358967,4,6991,3
45.4775633,4,6952,0
45.51923,4,6915,0
45.5608967,4,6877,0
45.6025633,4,6840,1
45.64423,5,6803,0
45.6858967,5,6767,0
45.7275633,5,6732,0
45.76923,5,6698,0
45.8108967,5,6665,0
45.8525633,5,6633,0
45.89423,5,6603,0
45.9358967,5,6574,0
45.9775633,5,6547,0
46.01923,5,6521,0
46.0608967,5,6498,0
46.1025633,5,6476,0
46.14423,5,6456,0
46.1858967,5,6437,0
46.2275633,5,6420,0
46.26923,5,6405,0
46.3108967,5,6391,0
46.3525633,5,6379,1
46.39423,5,6368,0
46.4358967,5,6358,0
46.4775633,5,6350,0
46.51923,5,6343,0
46.5608967,5,6337,0
46.6025633,5,6332,0
46.64423,5,6329,0
46.6858967,5,6326,0
46.7275633,5,6325,0
46.76923,5,6324,0
46.8108967,5,6324,0
46.8525633,5,6326,0
46.89423,5,6328,1
46.9358967,5,6330,0
46.9775633,5,6334,0
47.01923,5,6338,0
47.0608967,5,6343,8
47.1025633,5,6348,17
47.14423,5,6354,15
47.1858967,5,6360,26
47.2275633,5,6367,6
47.26923,5,6374,7
47.3108967,5,6381,6
47.3525633,5,6388,3
47.39423,5,6396,6
47.4358967,5,6403,2
47.4775633,5,6411,0
47.51923,5,6418,1
47.5608967,5,6426,0
47.6025633,5,6433,0
47.64423,5,6440,0
47.6858967,5,6447,0
47.7275633,4,6453,0
47.76923,4,6459,0
47.8108967,4,6465,0
47.8525633,4,6470,0
47.89423,4,6474,0
47.9358967,4,6478,0
47.9775633,4,6482,0
48.01923,4,6484,0
48.0608967,4,6486,0
48.1025633,4,6487,0
48.14423,4,6487,0
48.1858967,4,6487,0
48.2275633,4,6486,1
48.26923,4,6485,0
48.3108967,4,6483,0
48.3525633,4,6480,0
48.39423,4,6478,0
48.4358967,4,6475,1
48.4775633,4,6471,0
48.51923,4,6467,0
48.5608967,4,6464,0
48.6025633,4,6459,0
48.64423,4,6455,0
48.6858967,4,6451,2
48.7275633,4,6447,2
48.76923,4,6442,2
48.8108967,4,6438,19
48.8525633,4,6434,10
48.89423,4,6430,0
48.9358967,4,6426,0
48.9775633,4,6422,0
49.01923,4,6418,0
49.0608967,4,6415,0
49.1025633,4,6412,0
49.14423,4,6410,0
49.1858967,4,6408,0
49.2275633,4,6406,0
49.26923,4,6404,0
49.3108967,4,6403,0
49.3525633,4,6402,0
49.39423,4,6402,0
49.4358967,4,6402,1
49.4775633,4,6402,0
49.51923,4,6403,0
49.5608967,4,6404,0
49.6025633,4,6406,0
49.64423,4,6408,0
49.6858967,4,6411,0
49.7275633,4,6414,0
49.76923,4,6417,0
49.8108967,4,6422,0
49.8525633,4,6426,0
49.89423,4,6431,0
49.9358967,4,6437,0
49.9775633,4,6443,0
50.01923,4,6450,0
50.0608967,4,6458,0
50.1025633,4,6465,13
50.14423,4,6474,2
50.1858967,4,6482,0
50.2275633,4,6491,0
50.26923,4,6500,0
50.3108967,4,6509,4
50.3525633,4,6519,0
50.39423,4,6528,0
50.4358967,3,6537,0
50.4775633,3,6546,0
50.51923,3,6555,0
50.5608967,3,6564,0
50.6025633,3,6572,0
50.64423,3,6580,1
50.6858967,3,6588,0
50.7275633,3,6595,0
50.76923,3,6601,0
50.8108967,3,6607,0
50.8525633,3,6611,0
50.89423,3,6616,0
50.9358967,3,6619,0
50.9775633,3,6621,2
51.01923,3,6622,0
51.0608967,3,6623,0
51.1025633,3,6622,1
51.14423,3,6621,0
51.1858967,3,6618,0
51.2275633,3,6615,1
51.26923,3,6611,2
51.3108967,3,6607,0
51.3525633,3,6602,1
51.39423,3,6597,0
51.4358967,3,6591,1
51.4775633,3,6585,4
51.51923,3,6578,22
51.5608967,3,6571,8
51.6025633,3,6564,12
51.64423,3,6557,0
51.6858967,3,6550,13
51.7275633,3,6543,0
51.76923,3,6536,0
51.8108967,3,6529,23
51.8525633,3,6523,15
51.89423,3,6516,16
51.9358967,3,6510,1
51.9775633,3,6505,0
52.01923,3,6500,2
52.0608967,3,6495,0
52.1025633,3,6491,0
52.14423,3,6487,0
52.1858967,3,6484,0
52.2275633,3,6481,0
52.26923,3,6479,0
52.3108967,3,6477,1
52.3525633,3,6475,0
52.39423,3,6474,0
52.43589670000001,3,6472,0
52.47756329999999,3,6472,2
52.51923000000001,3,6471,0
52.56089670000001,3,6471,0
52.60256329999999,3,6470,0
52.64423000000001,3,6470,0
52.68589670000001,3,6471,0
52.72756329999999,3,6471,0
52.76923000000001,3,6471,0
52.81089670000001,3,6472,0
52.85256329999999,3,6472,0
52.89423000000001,3,6473,0
52.93589670000001,3,6473,0
52.97756329999999,3,6474,0
53.01923000000001,3,6474,0
53.06089670000001,3,6475,0
53.10256329999999,3,6475,6
53.14423000000001,3,6476,0
53.18589670000001,3,6476,0
53.22756329999999,3,6476,0
53.26923000000001,3,6477,0
53.31089670000001,3,6477,0
53.35256329999999,3,6477,0
