time,births,population,reported_cases
44.01923,14,15993,0
44.0608967,14,15940,0
44.1025633,14,15892,0
44.14423,14,15849,0
44.1858967,13,15811,0
44.2275633,13,15778,0
44.26923,13,15750,0
44.3108967,13,15726,0
44.3525633,13,15706,0
44.39423,13,15690,0
44.4358967,13,15679,0
44.4775633,13,15671,0
44.51923,13,15666,0
44.5608967,13,15665,0
44.6025633,13,15666,1
44.64423,13,15671,1
44.6858967,13,15678,0
44.7275633,13,15688,0
44.76923,12,15700,0
44.8108967,12,15714,1
44.8525633,12,15731,11
44.89423,12,15748,2
44.9358967,12,15768,5
44.9775633,12,15788,4
45.01923,12,15810,27
45.0608967,12,15833,34
45.1025633,12,15857,31
45.14423,12,15881,36
45.1858967,12,15906,33
45.2275633,12,15932,24
45.26923,12,15958,0
45.3108967,12,15984,0
45.3525633,12,16011,1
45.39423,12,16037,1
45.4358967,12,16064,0
45.4775633,12,16090,0
45.51923,12,16117,0
45.5608967,12,16143,0
45.6025633,13,16168,0
45.64423,13,16193,0
45.6858967,13,16218,0
45.7275633,13,16242,0
45.76923,13,16264,0
45.8108967,13,16286,0
45.8525633,13,16307,0
45.89423,13,16326,0
45.9358967,13,16345,0
45.9775633,13,16362,0
46.01923,13,16377,0
46.0608967,13,16391,0
46.1025633,13,16403,0
46.14423,13,16414,0
46.1858967,14,16425,1
46.2275633,14,16434,0
46.26923,14,16442,0
46.3108967,14,16450,2
46.3525633,14,16457,3
46.39423,14,16463,3
46.4358967,14,16469,1
46.4775633,14,16475,5
46.51923,14,16481,4
46.5608967,14,16487,2
46.6025633,14,16494,13
46.64423,15,16500,3
46.6858967,15,16507,2
46.7275633,15,16515,0
46.76923,15,16524,4
46.8108967,15,16533,0
46.8525633,15,16543,1
46.89423,15,16555,0
46.9358967,15,16568,0
46.9775633,15,16582,2
47.01923,15,16597,10
47.0608967,15,16615,17
47.1025633,15,16633,45
47.14423,15,16653,27
47.1858967,15,16674,23
47.2275633,15,16696,11
47.26923,15,16720,8
47.3108967,15,16743,18
47.3525633,14,16768,13
47.39423,14,16793,28
47.4358967,14,16818,12
47.4775633,14,16843,8
47.51923,14,16869,1
47.5608967,14,16895,3
47.6025633,14,16920,6
47.64423,14,16945,2
47.6858967,14,16970,1
47.7275633,14,16994,0
47.76923,14,17018,0
47.8108967,14,17041,2
47.8525633,13,17062,2
47.89423,13,17083,1
47.9358967,13,17103,0
47.9775633,13,17121,8
48.01923,13,17138,8
48.0608967,13,17153,0
48.1025633,13,17167,1
48.14423,13,17179,11
48.1858967,13,17190,12
48.2275633,13,17200,18
48.26923,13,17209,25
48.3108967,13,17216,0
48.3525633,13,17223,9
48.39423,13,17228,26
48.4358967,13,17232,21
48.4775633,13,17236,40
48.51923,13,17239,23
48.5608967,13,17241,12
48.6025633,13,17242,5
48.64423,13,17243,1
48.6858967,13,17243,0
48.7275633,13,17242,0
48.76923,13,17241,0
48.8108967,13,17240,0
48.8525633,13,17238,1
48.89423,12,17236,1
48.9358967,12,17234,0
48.9775633,12,17231,2
49.01923,12,17229,0
49.0608967,12,17226,2
49.1025633,12,17224,1
49.14423,12,17221,19
49.1858967,12,17218,51
49.2275633,12,17216,7
49.26923,12,17213,6
49.3108967,12,17210,8
49.3525633,12,17208,1
49.39423,11,17205,3
49.4358967,11,17202,0
49.4775633,11,17200,5
49.51923,11,17198,6
49.5608967,11,17195,0
49.6025633,11,17193,4
49.64423,11,17191,0
49.6858967,11,17189,1
49.7275633,11,17187,0
49.76923,11,17186,0
49.8108967,10,17184,0
49.8525633,10,17183,0
49.89423,10,17182,1
49.9358967,10,17181,1
49.9775633,10,17180,9
50.01923,10,17180,4
50.0608967,10,17180,0
50.1025633,10,17180,3
50.14423,10,17180,7
50.1858967,10,17180,3
50.2275633,10,17181,28
50.26923,10,17181,6
50.3108967,10,17181,30
50.3525633,10,17182,50
50.39423,10,17182,52
50.4358967,10,17183,82
50.4775633,10,17183,30
50.51923,10,17183,16
50.5608967,10,17183,10
50.6025633,10,17182,4
50.64423,10,17181,1
50.6858967,10,17181,0
50.7275633,10,17179,0
50.76923,10,17178,2
50.8108967,10,17175,1
50.8525633,10,17173,0
50.89423,10,17170,1
50.9358967,10,17166,1
50.9775633,10,17162,0
51.01923,10,17158,0
51.0608967,10,17153,6
51.1025633,10,17147,8
51.14423,10,17141,7
51.1858967,10,17134,7
51.2275633,10,17127,2
51.26923,10,17120,6
51.3108967,10,17112,9
51.3525633,10,17105,6
51.39423,10,17097,3
51.4358967,10,17089,5
51.4775633,10,17081,10
51.51923,10,17073,25
51.5608967,10,17065,4
51.6025633,10,17057,19
51.64423,10,17050,2
51.6858967,10,17042,1
51.7275633,10,17035,2
51.76923,10,17029,0
51.8108967,10,17022,2
51.8525633,10,17016,0
51.89423,10,17011,0
51.9358967,10,17006,1
51.9775633,10,17002,4
52.01923,10,16998,8
52.0608967,10,16996,1
52.1025633,10,16993,3
52.14423,10,16992,1
52.1858967,10,16991,2
52.2275633,10,16990,59
52.26923,10,16990,45
52.3108967,10,16991,49
52.3525633,10,16992,5
52.39423,10,16993,23
52.43589670000001,10,16995,8
52.47756329999999,10,16997,5
52.51923000000001,10,17000,0
52.56089670000001,10,17002,2
52.60256329999999,10,17005,0
52.64423000000001,10,17008,0
52.68589670000001,10,17012,0
52.72756329999999,10,17015,0
52.76923000000001,10,17019,0
52.81089670000001,10,17023,0
52.85256329999999,10,17027,2
52.89423000000001,10,17030,3
52.93589670000001,10,17034,3
52.97756329999999,10,17038,0
53.01923000000001,10,17042,0
53.06089670000001,10,17045,0
53.10256329999999,10,17049,3
53.14423000000001,10,17052,2
53.18589670000001,11,17056,4
53.22756329999999,11,17059,12
53.26923000000001,11,17063,12
53.31089670000001,11,17067,1
53.35256329999999,11,17070,0
53.39423000000001,11,17074,13
53.43589670000001,11,17078,6
53.47756329999999,11,17083,0
53.51923000000001,11,17087,2
53.56089670000001,11,17092,0
53.60256329999999,11,17096,1
53.64423000000001,11,17102,1
53.68589670000001,11,17107,1
53.72756329999999,11,17113,0
53.76923000000001,11,17119,0
53.81089670000001,11,17125,0
53.85256329999999,11,17132,1
53.89423000000001,11,17139,0
53.93589670000001,11,17147,1
53.97756329999999,12,17155,0
54.01923000000001,12,17164,0
54.06089670000001,12,17173,10
54.10256329999999,12,17183,36
54.14423000000001,12,17193,32
54.18589670000001,12,17204,16
54.22756329999999,12,17215,4
54.26923000000001,12,17227,0
54.31089670000001,12,17240,0
54.35256329999999,12,17253,0
54.39423000000001,12,17266,0
54.43589670000001,12,17280,0
54.47756329999999,12,17295,4
54.51923000000001,12,17310,35
54.56089670000001,12,17326,13
54.60256329999999,12,17343,5
54.64423000000001,12,17360,4
54.68589670000001,12,17377,1
54.72756329999999,12,17396,7
54.76923000000001,12,17414,2
54.81089670000001,12,17434,2
54.85256329999999,12,17454,1
54.89423000000001,12,17475,1
54.93589670000001,12,17496,5
54.97756329999999,12,17518,7
55.01923000000001,12,17541,4
55.06089670000001,12,17564,0
55.10256329999999,12,17588,8
55.14423000000001,12,17612,12
55.18589670000001,12,17637,1
55.22756329999999,12,17662,1
55.26923000000001,12,17687,0
55.31089670000001,11,17713,4
55.35256329999999,11,17739,2
55.39423000000001,11,17765,0
55.43589670000001,11,17791,1
55.47756329999999,11,17818,0
55.51923000000001,11,17844,4
55.56089670000001,11,17870,0
55.60256329999999,11,17897,0
55.64423000000001,11,17923,2
55.68589670000001,11,17948,1
55.72756329999999,11,17974,0
55.76923000000001,11,17999,0
55.81089670000001,11,18024,0
55.85256329999999,11,18048,0
55.89423000000001,11,18072,0
55.93589670000001,11,18095,0
55.97756329999999,11,18118,0
56.01923000000001,11,18140,0
56.06089670000001,11,18161,0
56.10256329999999,11,18182,27
56.14423000000001,11,18202,9
56.18589670000001,11,18222,8
56.22756329999999,11,18242,2
56.26923000000001,11,18261,4
56.31089670000001,12,18280,3
56.35256329999999,12,18298,12
56.39423000000001,12,18317,29
56.43589670000001,12,18336,32
56.47756329999999,12,18355,19
56.51923000000001,12,18374,21
56.56089670000001,12,18393,21
56.60256329999999,13,18413,16
56.64423000000001,13,18433,3
56.68589670000001,13,18453,1
56.72756329999999,13,18474,0
56.76923000000001,13,18496,0
56.81089670000001,13,18518,0
56.85256329999999,13,18541,1
56.89423000000001,13,18565,2
56.93589670000001,13,18590,3
56.97756329999999,14,18616,2
57.01923000000001,14,18643,4
57.06089670000001,14,18671,0
57.10256329999999,14,18700,10
57.14423000000001,14,18730,14
57.18589670000001,14,18760,38
57.22756329999999,14,18792,16
57.26923000000001,14,18825,2
57.31089670000001,14,18858,10
57.35256329999999,14,18892,0
57.39423000000001,14,18926,10
57.43589670000001,14,18961,0
57.47756329999999,14,18996,15
57.51923000000001,14,19032,0
57.56089670000001,14,19068,4
57.60256329999999,14,19104,5
57.64423000000001,14,19141,3
57.68589670000001,14,19177,3
57.72756329999999,14,19214,0
57.76923000000001,14,19250,0
57.81089670000001,14,19287,0
57.85256329999999,14,19323,0
57.89423000000001,14,19360,0
57.93589670000001,14,19395,0
57.97756329999999,14,19431,0
58.01923000000001,14,19466,0
58.06089670000001,14,19501,0
58.10256329999999,14,19535,0
58.14423000000001,14,19569,1
58.18589670000001,14,19603,0
58.22756329999999,14,19637,0
58.26923000000001,14,19670,0
58.31089670000001,15,19704,8
58.35256329999999,15,19737,1
58.39423000000001,15,19770,2
58.43589670000001,15,19803,0
58.47756329999999,15,19837,0
58.51923000000001,15,19870,1
58.56089670000001,15,19904,1
58.60256329999999,15,19937,0
58.64423000000001,15,19971,2
58.68589670000001,16,20006,0
58.72756329999999,16,20041,0
58.76923000000001,16,20076,0
58.81089670000001,16,20111,0
58.85256329999999,16,20147,4
58.89423000000001,16,20184,6
58.93589670000001,16,20221,41
58.97756329999999,16,20259,68
59.01923000000001,16,20298,346
59.06089670000001,16,20337,46
59.10256329999999,16,20377,38
59.14423000000001,16,20417,48
59.18589670000001,16,20458,12
59.22756329999999,16,20499,2
59.26923000000001,16,20540,0
59.31089670000001,16,20582,0
59.35256329999999,16,20623,9
59.39423000000001,16,20664,0
59.43589670000001,16,20705,0
59.47756329999999,16,20746,0
59.51923000000001,16,20786,0
59.56089670000001,16,20826,2
59.60256329999999,16,20865,0
59.64423000000001,16,20904,0
59.68589670000001,16,20941,1
59.72756329999999,16,20978,0
59.76923000000001,16,21014,0
59.81089670000001,16,21049,0
59.85256329999999,16,21082,0
59.89423000000001,16,21114,0
59.93589670000001,16,21145,8
59.97756329999999,16,21175,4
60.01923000000001,16,21203,0
60.06089670000001,16,21229,3
60.10256329999999,16,21254,4
60.14423000000001,16,21277,1
60.18589670000001,16,21299,1
60.22756329999999,16,21320,1
60.26923000000001,16,21339,2
60.31089670000001,16,21358,2
60.35256329999999,16,21376,4
60.39423000000001,16,21392,4
60.43589670000001,16,21408,1
60.47756329999999,16,21424,9
60.51923000000001,16,21438,10
60.56089670000001,16,21452,1
60.60256329999999,16,21466,1
60.64423000000001,16,21479,6
60.68589670000001,16,21492,0
60.72756329999999,16,21505,0
60.76923000000001,17,21517,6
60.81089670000001,17,21530,0
60.85256329999999,17,21543,0
60.89423000000001,17,21556,0
60.93589670000001,17,21569,4
60.97756329999999,17,21583,2
61.01923000000001,17,21596,12
61.06089670000001,17,21611,45
61.10256329999999,17,21626,28
61.14423000000001,18,21641,5
61.18589670000001,18,21657,7
61.22756329999999,18,21673,4
61.26923000000001,18,21690,12
61.31089670000001,18,21708,9
61.35256329999999,18,21726,27
61.39423000000001,18,21744,34
61.43589670000001,19,21763,33
61.47756329999999,19,21782,15
61.51923000000001,19,21802,12
61.56089670000001,19,21823,6
61.60256329999999,19,21843,8
61.64423000000001,19,21865,6
61.68589670000001,19,21887,0
61.72756329999999,19,21909,0
61.76923000000001,20,21932,4
61.81089670000001,20,21956,0
61.85256329999999,20,21980,0
61.89423000000001,20,22005,0
61.93589670000001,20,22030,0
61.97756329999999,20,22056,3
62.01923000000001,20,22082,0
62.06089670000001,20,22109,0
62.10256329999999,20,22137,0
62.14423000000001,20,22165,1
62.18589670000001,20,22193,0
62.22756329999999,20,22222,0
62.26923000000001,20,22252,0
62.31089670000001,20,22282,0
62.35256329999999,20,22313,0
62.39423000000001,20,22345,0
62.43589670000001,19,22377,0
62.47756329999999,19,22409,0
62.51923000000001,19,22443,0
62.56089670000001,19,22476,0
62.60256329999999,19,22511,3
62.64423000000001,19,22546,2
62.68589670000001,19,22581,0
62.72756329999999,19,22618,2
62.76923000000001,19,22655,0
62.81089670000001,19,22692,0
62.85256329999999,18,22730,1
62.89423000000001,18,22769,0
62.93589670000001,18,22808,1
62.97756329999999,18,22848,11
63.01923000000001,18,22889,51
63.06089670000001,18,22930,30
63.10256329999999,18,22972,34
63.14423000000001,18,23015,50
63.18589670000001,18,23058,34
63.22756329999999,18,23102,75
63.26923000000001,18,23146,117
63.31089670000001,18,23192,16
63.35256329999999,18,23238,22
63.39423000000001,18,23285,11
63.43589670000001,18,23332,3
63.47756329999999,18,23381,9
63.51923000000001,18,23430,0
63.56089670000001,18,23480,2
63.60256329999999,18,23531,0
63.64423000000001,18,23583,1
63.68589670000001,18,23635,0
63.72756329999999,19,23689,0
63.76923000000001,19,23743,0
63.81089670000001,19,23798,0
63.85256329999999,19,23854,0
63.89423000000001,20,23911,1
63.93589670000001,20,23969,0
63.97756329999999,20,24028,3
