time,births,population,reported_cases
44.01923,2,2804,0
44.0608967,2,2782,0
44.1025633,2,2760,0
44.14423,2,2740,0
44.1858967,2,2721,0
44.2275633,2,2703,0
44.26923,2,2687,0
44.3108967,2,2671,0
44.3525633,2,2657,0
44.39423,2,2643,0
44.4358967,2,2631,0
44.4775633,2,2620,0
44.51923,2,2609,0
44.5608967,2,2600,0
44.6025633,2,2591,0
44.64423,2,2584,0
44.6858967,2,2577,0
44.7275633,2,2571,0
44.76923,2,2567,0
44.8108967,2,2562,0
44.8525633,2,2559,0
44.89423,2,2556,0
44.9358967,2,2555,4
44.9775633,2,2553,0
45.01923,2,2553,0
45.0608967,2,2553,0
45.1025633,2,2554,0
45.14423,2,2555,0
45.1858967,2,2557,0
45.2275633,2,2560,0
45.26923,2,2563,0
45.3108967,2,2566,0
45.3525633,2,2570,0
45.39423,2,2575,0
45.4358967,2,2579,0
45.4775633,2,2585,0
45.51923,2,2590,0
45.5608967,2,2596,0
45.6025633,2,2602,0
45.64423,2,2609,0
45.6858967,2,2615,0
45.7275633,2,2622,0
45.76923,2,2629,0
45.8108967,2,2637,0
45.8525633,2,2644,0
45.89423,2,2652,0
45.9358967,2,2659,0
45.9775633,2,2667,0
46.01923,2,2675,0
46.0608967,2,2682,0
46.1025633,2,2690,0
46.14423,2,2698,0
46.1858967,2,2705,1
46.2275633,2,2713,0
46.26923,2,2720,0
46.3108967,2,2728,0
46.3525633,2,2735,0
46.39423,2,2742,0
46.4358967,2,2749,0
46.4775633,2,2756,0
46.51923,2,2762,0
46.5608967,2,2769,0
46.6025633,2,2775,0
46.64423,2,2781,0
46.6858967,2,2787,0
46.7275633,2,2792,0
46.76923,2,2797,0
46.8108967,2,2802,0
46.8525633,2,2807,0
46.89423,2,2811,0
46.9358967,2,2815,0
46.9775633,2,2818,0
47.01923,2,2821,0
47.0608967,2,2824,0
47.1025633,2,2826,0
47.14423,2,2828,0
47.1858967,2,2830,0
47.2275633,2,2832,0
47.26923,2,2833,0
47.3108967,2,2834,0
47.3525633,2,2834,0
47.39423,2,2835,0
47.4358967,2,2835,0
47.4775633,2,2836,0
47.51923,2,2836,0
47.5608967,2,2836,0
47.6025633,2,2836,0
47.64423,2,2836,0
47.6858967,2,2836,0
47.7275633,2,2836,0
47.76923,2,2837,0
47.8108967,2,2837,0
47.8525633,2,2837,0
47.89423,2,2838,0
47.9358967,2,2839,0
47.9775633,2,2839,0
48.01923,2,2841,0
48.0608967,2,2842,0
48.1025633,2,2843,0
48.14423,2,2845,0
48.1858967,2,2847,0
48.2275633,2,2849,0
48.26923,2,2851,0
48.3108967,2,2854,0
48.3525633,2,2856,0
48.39423,2,2859,0
48.4358967,2,2861,0
48.4775633,2,2864,0
48.51923,2,2866,0
48.5608967,2,2869,0
48.6025633,2,2871,0
48.64423,2,2874,0
48.6858967,2,2876,1
48.7275633,2,2878,0
48.76923,2,2881,7
48.8108967,2,2883,3
48.8525633,2,2885,0
48.89423,2,2886,0
48.9358967,2,2888,0
48.9775633,2,2889,0
49.01923,2,2891,0
49.0608967,2,2891,2
49.1025633,2,2892,33
49.14423,2,2893,54
49.1858967,2,2893,16
49.2275633,2,2893,1
49.26923,2,2893,0
49.3108967,2,2893,0
49.3525633,2,2892,0
49.39423,2,2892,0
49.4358967,2,2891,0
49.4775633,2,2890,0
49.51923,2,2889,0
49.5608967,2,2888,0
49.6025633,2,2886,0
49.64423,2,2885,0
49.6858967,2,2884,0
49.7275633,2,2882,0
49.76923,2,2880,0
49.8108967,2,2879,0
49.8525633,2,2877,0
49.89423,2,2875,0
49.9358967,2,2873,0
49.9775633,2,2871,0
50.01923,2,2869,0
