time,births,population,reported_cases
44.01923,2,2155,0
44.0608967,2,2143,0
44.1025633,2,2132,0
44.14423,2,2123,0
44.1858967,2,2115,0
44.2275633,2,2109,2
44.26923,2,2104,0
44.3108967,2,2100,0
44.3525633,2,2098,0
44.39423,2,2096,0
44.4358967,2,2096,0
44.4775633,2,2097,0
44.51923,2,2098,0
44.5608967,2,2100,0
44.6025633,2,2103,0
44.64423,2,2107,0
44.6858967,2,2112,0
44.7275633,2,2117,0
44.76923,2,2123,0
44.8108967,2,2129,0
44.8525633,2,2135,0
44.89423,2,2142,0
44.9358967,2,2149,0
44.9775633,2,2156,2
45.01923,2,2163,0
45.0608967,2,2171,0
45.1025633,2,2178,0
45.14423,2,2186,0
45.1858967,2,2193,0
45.2275633,2,2201,0
45.26923,2,2208,0
45.3108967,2,2215,0
45.3525633,2,2222,2
45.39423,2,2229,3
45.4358967,2,2235,10
45.4775633,2,2242,2
45.51923,2,2248,44
45.5608967,2,2254,31
45.6025633,2,2259,4
45.64423,2,2264,2
45.6858967,2,2268,3
45.7275633,2,2272,0
45.76923,2,2276,0
45.8108967,2,2279,0
45.8525633,2,2281,0
45.89423,2,2283,0
45.9358967,2,2284,0
45.9775633,2,2285,0
46.01923,2,2285,0
46.0608967,2,2284,0
46.1025633,2,2283,0
46.14423,2,2281,1
46.1858967,2,2278,0
46.2275633,2,2275,0
46.26923,2,2272,0
46.3108967,2,2268,0
46.3525633,2,2264,0
46.39423,2,2260,0
46.4358967,2,2255,0
46.4775633,2,2251,0
46.51923,2,2246,0
46.5608967,2,2241,0
46.6025633,2,2237,0
46.64423,2,2233,0
46.6858967,2,2228,0
46.7275633,2,2225,0
46.76923,2,2221,0
46.8108967,2,2218,0
46.8525633,2,2215,0
46.89423,2,2212,0
46.9358967,2,2211,0
46.9775633,2,2209,0
47.01923,2,2209,0
47.0608967,2,2209,1
47.1025633,2,2210,1
47.14423,2,2211,0
47.1858967,2,2213,2
47.2275633,2,2215,0
47.26923,2,2218,1
47.3108967,2,2222,2
47.3525633,2,2226,0
47.39423,2,2230,0
47.4358967,2,2234,0
47.4775633,2,2239,2
47.51923,2,2245,0
47.5608967,2,2250,0
47.6025633,2,2256,0
47.64423,2,2262,0
47.6858967,2,2268,1
47.7275633,2,2275,0
47.76923,2,2281,0
47.8108967,2,2288,0
47.8525633,2,2294,0
47.89423,2,2301,0
47.9358967,2,2307,0
47.9775633,2,2314,0
48.01923,2,2320,0
48.0608967,2,2326,0
48.1025633,2,2332,0
48.14423,2,2338,0
48.1858967,2,2344,0
48.2275633,2,2350,0
48.26923,2,2356,0
48.3108967,2,2361,0
48.3525633,2,2367,1
48.39423,2,2372,4
48.4358967,2,2377,0
48.4775633,2,2382,0
48.51923,2,2387,0
48.5608967,2,2392,0
48.6025633,2,2397,0
48.64423,2,2401,0
48.6858967,2,2406,0
48.7275633,2,2410,0
48.76923,2,2414,0
48.8108967,2,2418,0
48.8525633,2,2422,0
48.89423,2,2426,0
48.9358967,2,2430,0
48.9775633,2,2433,0
49.01923,2,2437,0
