time,births,population,reported_cases
44.01923,36,43940,0
44.0608967,35,43706,0
44.1025633,34,43504,6
44.14423,33,43334,21
44.1858967,33,43194,18
44.2275633,32,43084,19
44.26923,32,43002,17
44.3108967,31,42947,19
44.3525633,31,42919,22
44.39423,30,42914,45
44.4358967,30,42934,24
44.4775633,30,42976,3
44.51923,30,43040,0
44.5608967,30,43123,1
44.6025633,29,43226,1
44.64423,29,43346,0
44.6858967,29,43484,0
44.7275633,30,43637,2
44.76923,30,43804,2
44.8108967,30,43985,1
44.8525633,30,44177,6
44.89423,30,44381,5
44.9358967,30,44595,1
44.9775633,31,44817,0
45.01923,31,45047,0
45.0608967,31,45283,0
45.1025633,32,45526,7
45.14423,32,45773,3
45.1858967,33,46024,9
45.2275633,33,46279,13
45.26923,34,46537,39
45.3108967,34,46796,17
45.3525633,35,47057,16
45.39423,35,47318,21
45.4358967,36,47579,13
45.4775633,36,47839,9
45.51923,37,48096,11
45.5608967,37,48352,6
45.6025633,38,48603,4
45.64423,39,48850,6
45.6858967,39,49093,0
45.7275633,40,49329,0
45.76923,40,49559,0
45.8108967,41,49782,0
45.8525633,41,49997,1
45.89423,42,50203,0
45.9358967,42,50399,0
45.9775633,43,50585,0
46.01923,43,50759,11
46.0608967,44,50922,0
46.1025633,44,51075,0
46.14423,45,51217,2
46.1858967,45,51349,6
46.2275633,46,51471,19
46.26923,46,51585,43
46.3108967,46,51690,18
46.3525633,47,51787,15
46.39423,47,51876,21
46.4358967,47,51959,39
46.4775633,47,52034,54
46.51923,48,52104,35
46.5608967,48,52167,33
46.6025633,48,52226,22
46.64423,48,52279,3
46.6858967,48,52329,0
46.7275633,48,52374,0
46.76923,48,52416,0
46.8108967,48,52455,4
46.8525633,48,52492,0
46.89423,48,52527,1
46.9358967,48,52560,0
46.9775633,47,52593,2
47.01923,47,52625,9
47.0608967,47,52656,13
47.1025633,47,52687,41
47.14423,46,52718,69
47.1858967,46,52748,61
47.2275633,45,52777,21
47.26923,45,52805,11
47.3108967,44,52833,16
47.3525633,44,52860,9
47.39423,43,52885,21
47.4358967,43,52909,21
47.4775633,42,52933,10
47.51923,42,52954,6
47.5608967,41,52975,5
47.6025633,40,52994,1
47.64423,40,53011,8
47.6858967,39,53027,2
47.7275633,39,53040,2
47.76923,38,53052,2
47.8108967,38,53062,0
47.8525633,37,53070,1
47.89423,37,53076,5
47.9358967,36,53079,13
47.9775633,36,53080,22
48.01923,35,53079,19
48.0608967,35,53075,13
48.1025633,35,53070,6
48.14423,34,53062,31
48.1858967,34,53052,15
48.2275633,34,53040,26
48.26923,33,53027,19
48.3108967,33,53013,55
48.3525633,33,52997,52
48.39423,33,52981,55
48.4358967,33,52964,68
48.4775633,33,52946,27
48.51923,32,52927,13
48.5608967,32,52909,6
48.6025633,32,52890,4
48.64423,32,52871,0
48.6858967,32,52853,1
48.7275633,32,52835,0
