time,births,population,reported_cases
44.01923,6,9107,0
44.0608967,6,9149,0
44.1025633,6,9191,0
44.14423,6,9232,0
44.1858967,6,9273,0
44.2275633,6,9313,7
44.26923,6,9352,4
44.3108967,6,9390,5
44.3525633,6,9427,4
44.39423,6,9463,4
44.4358967,5,9497,4
44.4775633,5,9530,27
44.51923,5,9561,57
44.5608967,5,9590,17
44.6025633,5,9618,0
44.64423,5,9643,4
44.6858967,5,9666,0
44.7275633,5,9686,0
44.76923,5,9705,0
44.8108967,5,9720,0
44.8525633,5,9733,0
44.89423,5,9742,0
44.9358967,5,9749,0
44.9775633,5,9753,0
45.01923,5,9753,0
45.0608967,5,9753,1
45.1025633,5,9752,7
45.14423,5,9751,1
45.1858967,5,9750,1
45.2275633,5,9749,0
45.26923,5,9748,0
45.3108967,5,9746,0
45.3525633,5,9744,0
45.39423,5,9743,2
45.4358967,5,9741,11
45.4775633,5,9739,16
45.51923,5,9737,6
45.5608967,5,9735,0
45.6025633,6,9733,0
45.64423,6,9732,0
45.6858967,6,9730,1
45.7275633,6,9728,0
45.76923,6,9727,0
45.8108967,6,9726,0
45.8525633,6,9725,0
45.89423,6,9724,0
45.9358967,6,9723,0
45.9775633,6,9723,0
46.01923,6,9723,0
46.0608967,6,9726,0
46.1025633,6,9731,0
46.14423,6,9739,0
46.1858967,6,9748,0
46.2275633,6,9760,0
46.26923,6,9773,0
46.3108967,6,9788,2
46.3525633,6,9804,1
46.39423,6,9822,0
46.4358967,6,9840,0
46.4775633,6,9860,0
46.51923,6,9879,0
46.5608967,6,9900,0
46.6025633,6,9920,0
46.64423,6,9941,0
46.6858967,7,9961,0
46.7275633,7,9981,0
46.76923,7,10001,0
46.8108967,7,10020,0
46.8525633,7,10037,0
46.89423,7,10054,0
46.9358967,7,10069,0
46.9775633,7,10083,0
47.01923,7,10096,0
47.0608967,7,10107,0
47.1025633,7,10118,0
47.14423,7,10129,0
47.1858967,7,10140,0
47.2275633,6,10150,0
47.26923,6,10160,0
47.3108967,6,10170,0
47.3525633,6,10179,0
47.39423,6,10189,0
47.4358967,6,10198,0
47.4775633,6,10207,1
47.51923,6,10216,20
47.5608967,6,10225,4
47.6025633,6,10234,0
47.64423,6,10244,0
47.6858967,5,10253,0
47.7275633,5,10262,0
47.76923,5,10272,0
47.8108967,5,10282,0
47.8525633,5,10292,0
47.89423,5,10302,0
47.9358967,5,10313,0
47.9775633,5,10324,0
48.01923,5,10335,0
48.0608967,5,10347,0
48.1025633,5,10359,0
48.14423,5,10372,0
48.1858967,5,10385,0
48.2275633,5,10398,0
48.26923,5,10412,0
48.3108967,5,10425,0
48.3525633,5,10439,0
48.39423,5,10453,0
48.4358967,5,10467,0
48.4775633,5,10482,0
48.51923,5,10496,0
48.5608967,5,10510,2
48.6025633,5,10524,0
48.64423,5,10538,0
48.6858967,5,10552,0
48.7275633,5,10566,0
48.76923,5,10580,0
48.8108967,5,10593,0
48.8525633,5,10606,0
48.89423,5,10619,0
48.9358967,5,10632,0
48.9775633,5,10644,0
49.01923,5,10655,0
49.0608967,5,10668,0
49.1025633,5,10681,5
49.14423,5,10694,6
49.1858967,5,10707,4
49.2275633,5,10721,0
49.26923,5,10735,0
49.3108967,5,10749,0
49.3525633,5,10763,1
49.39423,5,10777,0
49.4358967,5,10790,0
49.4775633,5,10803,0
49.51923,5,10816,0
49.5608967,5,10828,4
49.6025633,5,10840,2
49.64423,5,10850,1
49.6858967,5,10860,0
49.7275633,6,10870,0
49.76923,6,10878,0
49.8108967,6,10885,0
49.8525633,6,10891,0
49.89423,6,10895,0
49.9358967,6,10898,0
49.9775633,6,10900,0
50.01923,6,10900,0
50.0608967,6,10898,0
50.1025633,6,10895,0
50.14423,6,10890,0
50.1858967,6,10884,0
50.2275633,6,10876,0
50.26923,6,10867,0
50.3108967,6,10857,0
50.3525633,6,10846,1
50.39423,6,10834,1
50.4358967,6,10821,0
50.4775633,6,10808,0
50.51923,6,10794,0
50.5608967,6,10779,0
50.6025633,6,10764,0
50.64423,6,10749,0
50.6858967,6,10733,1
50.7275633,6,10718,2
50.76923,6,10702,0
50.8108967,6,10686,0
50.8525633,6,10671,0
50.89423,6,10656,2
50.9358967,6,10641,0
50.9775633,6,10627,0
51.01923,6,10614,0
51.0608967,6,10599,0
51.1025633,6,10582,0
51.14423,6,10565,0
51.1858967,6,10546,0
51.2275633,6,10526,0
51.26923,6,10506,0
51.3108967,5,10485,0
51.3525633,5,10464,0
51.39423,5,10443,9
51.4358967,5,10422,5
51.4775633,5,10401,2
51.51923,5,10380,0
51.5608967,5,10361,5
51.6025633,5,10342,4
51.64423,5,10324,10
51.6858967,5,10307,7
51.7275633,5,10292,14
51.76923,4,10278,30
51.8108967,4,10266,26
51.8525633,4,10256,44
51.89423,4,10249,20
51.9358967,4,10243,8
51.9775633,4,10240,0
52.01923,4,10240,8
52.0608967,4,10242,0
52.1025633,4,10246,0
52.14423,4,10251,0
52.1858967,4,10258,0
52.2275633,4,10267,2
52.26923,4,10276,0
52.3108967,5,10287,0
52.3525633,5,10299,0
52.39423,5,10311,0
52.4358967,5,10323,0
52.4775633,5,10336,0
52.51923,5,10349,0
52.5608967,5,10363,0
52.6025633,5,10376,0
52.64423,5,10388,0
52.6858967,5,10401,0
52.7275633,5,10412,0
52.76923,5,10423,2
52.8108967,6,10433,0
52.8525633,6,10441,0
52.89423,6,10449,0
52.9358967,6,10454,0
52.9775633,6,10459,0
53.01923,6,10461,0
53.0608967,6,10463,0
53.1025633,6,10465,0
53.14423,6,10467,0
53.1858967,6,10469,0
53.2275633,6,10471,0
53.26923,6,10473,0
53.3108967,5,10475,0
53.3525633,5,10476,0
53.39423,5,10478,0
53.4358967,5,10479,0
53.4775633,5,10481,0
53.51923,5,10482,0
53.5608967,5,10483,0
53.6025633,5,10485,1
53.64423,5,10486,0
53.6858967,5,10487,0
53.7275633,5,10487,0
53.76923,5,10488,0
53.8108967,5,10489,0
53.8525633,5,10489,0
53.89423,5,10490,0
53.9358967,5,10490,0
53.9775633,5,10490,0
54.01923,5,10490,0
54.0608967,5,10490,0
54.1025633,5,10489,0
54.14423,5,10489,0
54.1858967,5,10488,0
54.2275633,5,10488,0
54.26923,5,10487,0
54.3108967,5,10486,0
54.3525633,5,10484,0
