time,births,population,reported_cases
44.01923,3,2691,0
44.0608967,3,2693,0
44.1025633,3,2695,0
44.14423,3,2697,0
44.1858967,3,2699,0
44.2275633,3,2701,0
44.26923,3,2703,0
44.3108967,3,2705,0
44.3525633,3,2707,0
44.39423,2,2709,0
44.4358967,2,2711,0
44.4775633,2,2713,0
44.51923,2,2715,0
44.5608967,2,2717,0
44.6025633,2,2718,0
44.64423,2,2720,0
44.6858967,2,2722,0
44.7275633,2,2724,0
44.76923,2,2726,0
44.8108967,2,2728,0
44.8525633,2,2730,0
44.89423,2,2731,0
44.9358967,2,2733,0
44.9775633,2,2735,0
45.01923,2,2737,0
45.0608967,2,2739,0
45.1025633,2,2741,2
45.14423,2,2743,0
45.1858967,2,2745,0
45.2275633,2,2747,0
45.26923,2,2749,0
45.3108967,2,2752,2
45.3525633,2,2754,10
45.39423,2,2756,1
45.4358967,2,2758,0
45.4775633,2,2760,0
45.51923,2,2762,0
45.5608967,2,2764,0
45.6025633,2,2766,0
45.64423,2,2768,0
45.6858967,2,2770,0
45.7275633,2,2771,0
45.76923,2,2772,0
45.8108967,2,2773,0
45.8525633,2,2774,0
45.89423,2,2775,0
45.9358967,2,2776,0
45.9775633,2,2776,0
46.01923,2,2776,0
46.0608967,2,2775,0
46.1025633,2,2773,0
46.14423,2,2771,0
46.1858967,2,2767,0
46.2275633,2,2763,0
46.26923,2,2759,0
46.3108967,2,2754,0
46.3525633,2,2749,0
46.39423,2,2743,0
46.4358967,2,2737,0
46.4775633,2,2731,0
46.51923,2,2725,0
46.5608967,2,2719,0
46.6025633,2,2713,0
46.64423,2,2708,0
46.6858967,2,2702,0
46.7275633,2,2697,0
46.76923,2,2693,0
46.8108967,2,2689,0
46.8525633,2,2686,0
46.89423,2,2683,0
46.9358967,2,2681,0
46.9775633,2,2680,0
47.01923,2,2680,0
47.0608967,2,2680,2
47.1025633,2,2681,0
47.14423,2,2681,0
47.1858967,2,2682,0
47.2275633,2,2683,0
47.26923,2,2685,0
47.3108967,2,2686,0
47.3525633,2,2688,1
47.39423,2,2689,0
47.4358967,2,2691,0
47.4775633,2,2693,0
47.51923,2,2695,0
47.5608967,2,2697,0
47.6025633,2,2699,0
47.64423,2,2701,0
47.6858967,2,2704,0
47.7275633,2,2706,0
47.76923,2,2708,0
47.8108967,2,2710,0
47.8525633,2,2713,0
47.89423,2,2715,0
47.9358967,2,2717,0
47.9775633,2,2719,0
48.01923,2,2721,0
48.0608967,2,2723,0
48.1025633,2,2726,0
48.14423,2,2728,0
48.1858967,2,2731,0
48.2275633,2,2734,0
48.26923,2,2738,0
48.3108967,2,2741,0
48.3525633,2,2744,0
48.39423,2,2748,0
48.4358967,2,2751,0
48.4775633,2,2754,0
48.51923,2,2757,0
48.5608967,2,2761,15
48.6025633,2,2764,10
48.64423,2,2767,7
48.6858967,2,2769,0
48.7275633,2,2772,0
48.76923,2,2774,0
48.8108967,2,2776,0
48.8525633,2,2777,2
48.89423,2,2779,0
48.9358967,2,2779,0
48.9775633,2,2780,0
49.01923,2,2780,0
49.0608967,2,2780,0
49.1025633,2,2780,0
49.14423,2,2780,2
49.1858967,2,2780,0
49.2275633,2,2780,0
49.26923,2,2780,0
49.3108967,2,2780,0
49.3525633,2,2780,0
49.39423,2,2780,0
49.4358967,2,2780,1
49.4775633,2,2780,0
49.51923,2,2780,0
49.5608967,2,2780,0
49.6025633,2,2780,0
49.64423,2,2780,1
49.6858967,2,2780,0
49.7275633,2,2780,0
49.76923,2,2780,0
49.8108967,2,2780,0
49.8525633,2,2780,1
49.89423,2,2780,0
49.9358967,2,2780,0
49.9775633,2,2780,0
50.01923,2,2780,0
50.0608967,2,2782,0
50.1025633,2,2784,0
50.14423,2,2788,0
50.1858967,2,2793,0
50.2275633,2,2799,0
50.26923,2,2806,0
50.3108967,2,2814,0
50.3525633,2,2822,0
50.39423,2,2831,0
50.4358967,2,2840,0
50.4775633,2,2850,0
50.51923,2,2860,0
50.5608967,2,2870,0
50.6025633,2,2880,2
50.64423,2,2889,0
50.6858967,2,2899,0
50.7275633,2,2908,0
50.76923,2,2916,0
50.8108967,2,2924,0
50.8525633,2,2932,0
50.89423,2,2938,0
50.9358967,2,2944,0
50.9775633,2,2948,0
51.01923,2,2951,0
51.0608967,2,2955,0
51.1025633,2,2957,0
51.14423,2,2960,0
51.1858967,2,2963,0
51.2275633,2,2965,0
51.26923,2,2968,0
51.3108967,2,2970,0
51.3525633,2,2972,0
51.39423,2,2974,0
51.4358967,2,2976,0
51.4775633,2,2978,0
51.51923,2,2980,0
51.5608967,2,2982,0
51.6025633,2,2984,0
51.64423,2,2985,0
51.6858967,2,2987,0
51.7275633,2,2989,0
51.76923,2,2990,2
51.8108967,2,2992,0
51.8525633,2,2994,0
51.89423,2,2996,0
51.9358967,2,2997,0
51.9775633,2,2999,0
52.01923,2,3001,0
52.0608967,2,3003,0
52.1025633,2,3005,0
52.14423,2,3007,0
52.1858967,2,3008,0
52.2275633,2,3010,0
52.26923,2,3012,0
52.3108967,2,3014,0
52.3525633,2,3016,0
52.39423,2,3018,0
52.4358967,2,3020,0
52.4775633,2,3022,0
