time,births,population,reported_cases
44.01923,6,6397,0
44.0608967,6,6398,2
44.1025633,6,6400,0
44.14423,6,6403,0
44.1858967,6,6406,0
44.2275633,6,6411,0
44.26923,6,6416,0
44.3108967,6,6422,0
44.3525633,6,6428,0
44.39423,6,6435,0
44.4358967,6,6443,0
44.4775633,6,6451,0
44.51923,6,6460,0
44.5608967,6,6470,0
44.6025633,6,6479,0
44.64423,6,6490,0
44.6858967,6,6500,0
44.7275633,6,6511,0
44.76923,6,6522,0
44.8108967,6,6534,0
44.8525633,6,6546,0
44.89423,6,6557,0
44.9358967,6,6569,0
44.9775633,6,6581,6
45.01923,6,6594,9
45.0608967,6,6610,19
45.1025633,6,6629,6
45.14423,6,6652,4
45.1858967,6,6677,2
45.2275633,6,6704,10
45.26923,6,6734,33
45.3108967,6,6766,24
45.3525633,6,6798,5
45.39423,6,6832,9
45.4358967,6,6866,6
45.4775633,6,6900,0
45.51923,6,6935,0
45.5608967,6,6968,2
45.6025633,6,7001,1
45.64423,6,7033,2
45.6858967,6,7063,1
45.7275633,6,7091,0
45.76923,6,7117,0
45.8108967,6,7140,0
45.8525633,6,7160,0
45.89423,6,7176,1
45.9358967,6,7189,1
45.9775633,6,7197,0
46.01923,6,7202,0
46.0608967,6,7205,0
46.1025633,6,7208,0
46.14423,6,7211,4
46.1858967,6,7214,0
46.2275633,6,7216,3
46.26923,7,7218,2
46.3108967,7,7220,0
46.3525633,7,7222,1
46.39423,7,7223,2
46.4358967,7,7225,1
46.4775633,7,7226,0
46.51923,7,7228,0
46.5608967,7,7229,0
46.6025633,7,7230,2
46.64423,7,7232,0
46.6858967,7,7233,0
46.7275633,8,7235,0
46.76923,8,7237,0
46.8108967,8,7239,2
46.8525633,8,7241,19
46.89423,8,7243,32
46.9358967,8,7245,35
46.9775633,8,7248,9
47.01923,8,7252,0
47.0608967,8,7256,3
47.1025633,8,7261,12
47.14423,8,7266,34
47.1858967,8,7273,17
47.2275633,8,7280,10
47.26923,8,7288,7
47.3108967,7,7296,2
47.3525633,7,7304,5
47.39423,7,7313,1
47.4358967,7,7321,2
47.4775633,7,7330,0
47.51923,7,7339,0
47.5608967,7,7348,0
