cases,year
0.00E+00,1925
0.00E+00,1925.083
0.00E+00,1925.167
0.00E+00,1925.25
2,1925.333
0.00E+00,1925.417
0.00E+00,1925.5
1,1925.583
0.00E+00,1925.667
0.00E+00,1925.75
0.00E+00,1925.833
1,1925.917
2,1926
0.00E+00,1926.083
0.00E+00,1926.167
1,1926.25
3,1926.333
3,1926.417
3,1926.5
16,1926.583
35,1926.667
36,1926.75
58,1926.833
115,1926.917
97,1927
94,1927.083
131,1927.167
309,1927.25
444,1927.333
205,1927.417
148,1927.5
31,1927.583
8,1927.667
2,1927.75
2,1927.833
0.00E+00,1927.917
0.00E+00,1928
3,1928.083
7,1928.167
10,1928.25
0.00E+00,1928.333
0.00E+00,1928.417
0.00E+00,1928.5
0.00E+00,1928.583
0.00E+00,1928.667
0.00E+00,1928.75
0.00E+00,1928.833
0.00E+00,1928.917
0.00E+00,1929
1,1929.083
0.00E+00,1929.167
1,1929.25
0.00E+00,1929.333
1,1929.417
0.00E+00,1929.5
1,1929.583
0.00E+00,1929.667
2,1929.75
1,1929.833
1,1929.917
1,1930
1,1930.083
0.00E+00,1930.167
0.00E+00,1930.25
0.00E+00,1930.333
1,1930.417
1,1930.5
0.00E+00,1930.583
1,1930.667
0.00E+00,1930.75
1,1930.833
1,1930.917
0.00E+00,1931
0.00E+00,1931.083
3,1931.167
1,1931.25
1,1931.333
2,1931.417
0.00E+00,1931.5
0.00E+00,1931.583
1,1931.667
0.00E+00,1931.75
7,1931.833
0.00E+00,1931.917
0.00E+00,1932
0.00E+00,1932.083
1,1932.167
3,1932.25
4,1932.333
2,1932.417
0.00E+00,1932.5
0.00E+00,1932.583
1,1932.667
0.00E+00,1932.75
0.00E+00,1932.833
1,1932.917
1,1933
1,1933.083
2,1933.167
4,1933.25
0.00E+00,1933.333
0.00E+00,1933.417
2,1933.5
1,1933.583
0.00E+00,1933.667
0.00E+00,1933.75
2,1933.833
0.00E+00,1933.917
1,1934
0.00E+00,1934.083
0.00E+00,1934.167
1,1934.25
1,1934.333
0.00E+00,1934.417
0.00E+00,1934.5
0.00E+00,1934.583
1,1934.667
61,1934.75
64,1934.833
126,1934.917
306,1935
1326,1935.083
489,1935.167
195,1935.25
81,1935.333
16,1935.417
3,1935.5
0.00E+00,1935.583
1,1935.667
1,1935.75
